rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,time/time_elapsed
1258.0,0.017506731674075127,-4.89168025,5032,4,-171.0263214111328,4931,23,-121.94593811035156,0.0008459126528049375,1.8196121454238892,216
1258.0,0.0012461304431781173,-3.8896765,10064,8,-38.81053924560547,9963,25,-127.23839569091797,0.0008459126528049375,2.0593087673187256,400
1258.0,0.0008752126013860106,-3.1549414166666665,15096,12,193.6187744140625,14995,25,-110.51616668701172,0.0008459126528049375,6.204761505126953,601
1258.0,0.0006205328390933573,-2.9092999375,20128,16,-15.115696907043457,20027,25,-112.5177001953125,0.0008459126528049375,2.046316146850586,793
1258.0,0.0010079862549901009,-2.70855345,25160,20,140.31231689453125,25059,28,-81.30101013183594,0.0008459126528049375,6.712039947509766,5
1258.0,0.0008008865406736732,-2.581039458333333,30192,24,-49.680320739746094,30091,28,-64.51406860351562,0.0008459126528049375,2.4316155910491943,184
1258.0,0.0004546160635072738,-2.480491571428572,35224,28,-3.1460397243499756,35123,28,-61.99470520019531,0.0008459126528049375,0.9793421030044556,362
1258.0,0.0005838819197379053,-2.382194375,40256,32,-19.179546356201172,40155,28,-59.137733459472656,0.0008459126528049375,1.3688154220581055,535
1258.0,0.00026870251167565584,-2.3295271666666664,45288,36,-82.05709075927734,45187,27,-51.61393737792969,0.0008459126528049375,23.73549461364746,727
1258.0,0.00022104172967374325,-2.283574825,50320,40,-4.341407299041748,50219,31,-53.94172668457031,0.0008459126528049375,0.5560665130615234,10
1258.0,0.00032647105399519205,-2.2552407272727275,55352,44,9.400272369384766,55251,30,-51.40544891357422,0.0008459126528049375,2.895167112350464,173
1258.0,0.0002114650997100398,-2.222011125,60384,48,-130.20571899414062,60283,30,-46.9157600402832,0.0008459126528049375,0.5014879107475281,337
1258.0,0.00028354208916425705,-2.203244038461538,65416,52,-35.71275329589844,65315,30,-42.76152038574219,0.0008459126528049375,1.0536351203918457,503
1258.0,0.0001574840280227363,-2.174827178571429,70448,56,-81.92224884033203,70347,30,-37.71641540527344,0.0008459126528049375,4.384748935699463,670
1258.0,0.0002924665459431708,-2.1554734666666673,75480,60,-14.064313888549805,75379,28,-31.69459342956543,0.0008459126528049375,1.3015620708465576,16
1258.0,0.0008425546693615615,-2.1249938125,80512,64,2.889618396759033,80411,28,-23.02402114868164,0.0008459126528049375,8.12002944946289,194
1258.0,0.0008104295702651143,-2.107738088235294,85544,68,-22.61473274230957,85443,28,-27.898780822753906,0.0008459126528049375,1.3561582565307617,374
1258.0,0.0005488990573212504,-2.0960339444444447,90576,72,12.2626314163208,90475,28,-22.865406036376953,0.0008459126528049375,1.6968605518341064,553
1258.0,0.00048105051973834634,-2.078292131578947,95608,76,18.068031311035156,95507,28,-20.67453384399414,0.0008459126528049375,1.4586811065673828,731
