rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,time/time_elapsed
1258.0,0.01706959493458271,-4.9805934999999995,5032,4,-165.36322021484375,4931,34,-120.42877960205078,0.0008459126528049375,4.240764141082764,146
1258.0,0.0016251085326075554,-3.784418125,10064,8,23.407745361328125,9963,33,-122.94249725341797,0.0008459126528049375,6.0334577560424805,296
1258.0,0.0012908518547192216,-3.189867750000001,15096,12,-11.476938247680664,14995,33,-107.81088256835938,0.0008459126528049375,3.9984145164489746,448
1258.0,0.0006729354499839246,-2.881050375,20128,16,118.47927856445312,20027,33,-95.43572235107422,0.0008459126528049375,3.045840263366699,600
1258.0,0.0013961822260171175,-2.63742065,25160,20,159.99131774902344,25059,33,-78.90472412109375,0.0008459126528049375,12.26205062866211,4
1258.0,0.0006947583751752973,-2.5250258333333333,30192,24,-42.136966705322266,30091,32,-64.87767028808594,0.0008459126528049375,3.8310580253601074,159
1258.0,0.00023912369215395302,-2.416101535714286,35224,28,-53.83061981201172,35123,32,-63.25927734375,0.0008459126528049375,2.0970029830932617,315
1258.0,0.00020138673426117748,-2.3102465625,40256,32,-7.943428039550781,40155,32,-59.76786804199219,0.0008459126528049375,1.1098819971084595,473
1258.0,0.0003629219136200845,-2.2575183611111114,45288,36,104.2763671875,45187,32,-42.31782913208008,0.0008459126528049375,2.849480628967285,632
1258.0,0.0003111642727162689,-2.2263707,50320,40,165.34909057617188,50219,31,-35.493072509765625,0.0008459126528049375,1.139971375465393,10
1258.0,0.00021526418277062476,-2.202302363636364,55352,44,17.431486129760742,55251,31,-31.84950065612793,0.0008459126528049375,1.4344024658203125,169
1258.0,0.0002559250278864056,-2.1641736041666664,60384,48,-92.86388397216797,60283,31,-32.4444694519043,0.0008459126528049375,0.6603299379348755,329
1258.0,0.0001528104767203331,-2.141067519230769,65416,52,-48.364990234375,65315,31,-30.944137573242188,0.0008459126528049375,0.4848563075065613,490
1258.0,0.00016705182497389615,-2.1244632321428574,70448,56,-8.63514518737793,70347,31,-31.582672119140625,0.0008459126528049375,0.5160902738571167,653
1258.0,0.00015523155161645263,-2.095254816666667,75480,60,-41.92015838623047,75379,29,-30.47536277770996,0.0008459126528049375,0.5179881453514099,16
1258.0,0.00043510404066182673,-2.06407109375,80512,64,-52.87650680541992,80411,28,-23.195110321044922,0.0008459126528049375,0.9318529367446899,190
1258.0,0.0002819452784024179,-2.029870294117647,85544,68,-36.622772216796875,85443,28,-20.52313232421875,0.0008459126528049375,0.6432030200958252,366
1258.0,0.0001542872778372839,-2.016855361111111,90576,72,-63.069087982177734,90475,28,-10.874529838562012,0.0008459126528049375,31.232179641723633,542
1258.0,0.00010210903565166518,-2.0067441184210524,95608,76,32.66825866699219,95507,28,-15.359329223632812,0.0008459126528049375,0.5370275974273682,717
