train/n_updates,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss
4927,2.2172560691833496,-120.50687408447266,4,-4.829461500000001,24,202,5028,0.01711486093699932,0.0008459126528049375,1257.0,-164.98533630371094
9955,44.17497634887695,-124.74322509765625,8,-3.8028508750000003,25,387,10056,0.0009698258363641798,0.0008459126528049375,1257.0,18.01886558532715
14983,4.464694976806641,-131.3527069091797,12,-3.097166916666667,26,572,15084,0.0008862837566994131,0.0008459126528049375,1257.0,35.20329284667969
20011,7.376733779907227,-127.77241516113281,16,-2.7026480625,26,757,20112,0.0008462045225314796,0.0008459126528049375,1257.0,-24.0039005279541
25039,8.679738998413086,-116.37825012207031,20,-2.5650023999999996,29,4,25140,0.0007226814632304013,0.0008459126528049375,1257.0,-3.692821979522705
30067,5.920660972595215,-103.1361083984375,24,-2.4067052083333333,33,152,30168,0.0007536088232882321,0.0008459126528049375,1257.0,11.38723373413086
35095,4.227839469909668,-94.68329620361328,28,-2.319608678571428,34,293,35196,0.0003600421769078821,0.0008459126528049375,1257.0,-32.17534255981445
40123,3.8657150268554688,-90.18279266357422,32,-2.1978462499999996,34,440,40224,0.0004682348226197064,0.0008459126528049375,1257.0,17.48033905029297
45151,5.454453468322754,-86.90846252441406,36,-2.114743555555555,33,611,45252,0.0005701605696231127,0.0008459126528049375,1257.0,71.7045669555664
50179,1.4630458354949951,-82.20924377441406,40,-2.0435097,29,9,50280,0.00043204176472499967,0.0008459126528049375,1257.0,18.714603424072266
55207,2.535428285598755,-74.54275512695312,44,-2.002760386363636,29,180,55308,0.0006261149537749588,0.0008459126528049375,1257.0,-68.73430633544922
60235,3.817295551300049,-68.06412506103516,48,-1.9724346666666666,29,351,60336,0.0006191759021021426,0.0008459126528049375,1257.0,25.701091766357422
65263,6.322202205657959,-65.81658935546875,52,-1.950263423076923,29,523,65364,0.00035502371611073613,0.0008459126528049375,1257.0,-53.61080551147461
70291,2.642489433288574,-61.57025909423828,56,-1.8985884821428571,29,693,70392,0.0006752291810698807,0.0008459126528049375,1257.0,-40.2333869934082
75319,1.5876142978668213,-59.882110595703125,60,-1.8614795999999998,29,14,75420,0.000565570080652833,0.0008459126528049375,1257.0,18.293643951416016
80347,1.7160563468933105,-58.205284118652344,64,-1.8233786093750002,28,190,80448,0.0009312139009125531,0.0008459126528049375,1257.0,14.078393936157227
85375,3.155466079711914,-51.03898239135742,68,-1.8033876911764708,30,348,85476,0.0012098667211830616,0.0008459126528049375,1257.0,14.889509201049805
90403,1.1319637298583984,-46.86674499511719,72,-1.7872615277777781,30,508,90504,0.0010506989201530814,0.0008459126528049375,1257.0,14.192671775817871
95431,4.366512775421143,-42.934486389160156,76,-1.7653054868421052,30,674,95532,0.0009011207148432732,0.0008459126528049375,1257.0,77.84996032714844
