train/n_updates,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss
4927,1.883345365524292,-120.58369445800781,4,-4.507919,32,154,5028,0.017242958769202232,0.0008459126528049375,1257.0,-185.95721435546875
9955,13.930949211120605,-122.9490966796875,8,-3.6336890000000004,33,299,10056,0.0010897032916545868,0.0008459126528049375,1257.0,12.830275535583496
14983,1.076796531677246,-119.08539581298828,12,-2.8281148333333337,34,440,15084,0.0006438935524784029,0.0008459126528049375,1257.0,67.45325469970703
20011,6.720766067504883,-107.76769256591797,16,-2.537462,33,592,20112,0.0006303393747657537,0.0008459126528049375,1257.0,-33.65275192260742
25039,4.710635185241699,-85.78915405273438,20,-2.3023789,30,4,25140,0.0007138846558518708,0.0008459126528049375,1257.0,-46.97771453857422
30067,5.993241310119629,-66.77005004882812,24,-2.135070666666667,30,169,30168,0.0010966716799885035,0.0008459126528049375,1257.0,-41.44301986694336
35095,2.8803861141204834,-56.20903015136719,28,-2.067998535714286,30,334,35196,0.0012182219652459025,0.0008459126528049375,1257.0,43.0235481262207
40123,2.358262062072754,-51.30398941040039,32,-1.9966469375,30,500,40224,0.0005765734240412712,0.0008459126528049375,1257.0,-49.30950164794922
45151,3.966892957687378,-46.503570556640625,36,-1.9377736944444446,30,664,45252,0.0005240823957137764,0.0008459126528049375,1257.0,25.469369888305664
50179,0.9615217447280884,-39.094207763671875,40,-1.90775795,30,9,50280,0.00020281955949030817,0.0008459126528049375,1257.0,84.76820373535156
55207,0.28790780901908875,-34.54135513305664,44,-1.870129568181818,30,172,55308,0.00038438409683294594,0.0008459126528049375,1257.0,13.845355033874512
60235,1.1081926822662354,-26.634471893310547,48,-1.8200679791666667,30,336,60336,0.0005095835076645017,0.0008459126528049375,1257.0,-27.795166015625
65263,2.7791056632995605,-5.5826921463012695,52,-1.7803525769230772,30,501,65364,0.001004763413220644,0.0008459126528049375,1257.0,0.8167835474014282
70291,8.83647632598877,-0.16299067437648773,56,-1.7737910714285714,30,667,70392,0.0002683099592104554,0.0008459126528049375,1257.0,16.491100311279297
75319,3.1620419025421143,2.5695242881774902,60,-1.75814305,32,12,75420,0.0003154305450152606,0.0008459126528049375,1257.0,-30.886878967285156
80347,10.694681167602539,3.9075000286102295,64,-1.732677828125,31,171,80448,0.0002459451789036393,0.0008459126528049375,1257.0,51.58935546875
85375,0.18080610036849976,5.408775806427002,68,-1.7133279852941175,31,332,85476,0.0004004266520496458,0.0008459126528049375,1257.0,-24.473590850830078
90403,12.306337356567383,10.418242454528809,72,-1.6946447638888888,31,491,90504,0.00046825804747641087,0.0008459126528049375,1257.0,-48.53028106689453
95431,1.056666612625122,17.653045654296875,76,-1.6869203157894734,31,646,95532,0.00032308942172676325,0.0008459126528049375,1257.0,36.432491302490234
