time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
21504,42,1335,16,-43.51019096374512,0.9856312870979309,0.0004092704424510632,0.206298828125,0.0035190781418350525,-0.0180378220975399,-0.001603245735168457,-0.020220230595441535,0.017083162,0.2,656,-2.2605592352941177,1257.0
22016,43,1334,16,-43.53973639011383,0.9876582026481628,0.0004092704424510632,0.259033203125,0.15125916223041713,0.04117632284760475,0.0004184842109680176,-0.026443473558174446,0.021828882,0.2,672,-2.2605592352941177,1257.0
22528,44,1334,16,-43.57493317127228,0.9870922565460205,0.0004092704424510632,0.2435302734375,0.0038760814641136676,-0.03251153603196144,-0.04684746265411377,-0.02438299058121629,0.019652374,0.2,688,-2.2605592352941177,1257.0
23040,45,1334,17,-43.54198694229126,0.9865018129348755,0.0004092704424510632,0.208984375,0.004444718470040243,-0.03539136052131653,-0.00039839744567871094,-0.02347601533983834,0.0143914465,0.2,704,-2.2656169444444445,1257.0
23552,46,1334,17,-43.53650748729706,0.9865583777427673,0.0004092704424510632,0.240478515625,0.16575746750459075,0.048714134842157364,0.0002040863037109375,-0.02707333635771647,0.020341907,0.2,720,-2.2656169444444445,1257.0
24064,47,1334,18,-43.54097557067871,0.9866677522659302,0.0004092704424510632,0.2376708984375,0.004689305038482416,-0.0396261028945446,-0.006862640380859375,-0.023082444982719608,0.014392027,0.2,736,-2.2800059473684215,1257.0
24576,48,1333,18,-43.51512932777405,0.9844995141029358,0.0004092704424510632,0.2667236328125,0.16396768111735582,0.048741571605205536,0.00022852420806884766,-0.02685197544633411,0.019650307,0.2,752,-2.2800059473684215,1257.0
25088,49,1333,18,-43.45576548576355,0.9838077425956726,0.0004092704424510632,0.2491455078125,0.004031064519949723,-0.0373985655605793,-0.013134479522705078,-0.023644253036763985,0.021255182,0.2,768,-2.2800059473684215,1257.0
25600,50,1333,19,-43.45357418060303,0.9837988018989563,0.0004092704424510632,0.3009033203125,0.0035895396358682774,-0.04386039450764656,-0.0010513067245483398,-0.031551012201816775,0.019880414,0.2,784,-2.2812811500000003,1257.0
26112,51,1333,19,-43.45634388923645,0.9841052889823914,0.0004092704424510632,0.2606201171875,0.16785255912691355,0.036297865211963654,0.0002071857452392578,-0.021009940435760655,0.018223308,0.2,800,-2.2812811500000003,1257.0
