train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss
-123.23265838623047,1.2148429155349731,-4.887080500000001,0.017153088003396988,12,4,1258.0,411,5032,0.0008459126528049375,4931,-179.59750366210938
-131.3764190673828,3.269731044769287,-3.907894625,0.0010030673583969474,12,8,1258.0,838,10064,0.0008459126528049375,9963,-41.25590133666992
-133.585693359375,4.090116500854492,-3.3402784999999997,0.0012220425996929407,11,12,1258.0,1272,15096,0.0008459126528049375,14995,-64.06560516357422
-137.75405883789062,8.33253288269043,-3.0093916875,0.0010126210981979966,11,16,1258.0,1706,20128,0.0008459126528049375,20027,32.21788024902344
-141.77426147460938,7.949868202209473,-2.7984959999999997,0.00122643425129354,12,20,1258.0,12,25160,0.0008459126528049375,25059,-17.34056854248047
-136.7348175048828,6.6977009773254395,-2.654044708333333,0.0011474528582766652,11,24,1258.0,435,30192,0.0008459126528049375,30091,-87.94511413574219
-133.97848510742188,5.158051490783691,-2.5582474285714283,0.0009654005989432335,11,28,1258.0,872,35224,0.0008459126528049375,35123,24.52507209777832
-130.3420867919922,4.390674591064453,-2.4756785624999997,0.0003977940941695124,11,32,1258.0,1311,40256,0.0008459126528049375,40155,-89.84175872802734
-123.98881530761719,4.263850688934326,-2.4070012222222217,0.0007232123170979321,11,36,1258.0,1744,45288,0.0008459126528049375,45187,27.665578842163086
-105.14058685302734,9.495250701904297,-2.3566133000000002,0.0007209731847979128,11,40,1258.0,28,50320,0.0008459126528049375,50219,74.07923126220703
-101.55792999267578,5.496856212615967,-2.2993147954545456,0.0010498720221221447,11,44,1258.0,446,55352,0.0008459126528049375,55251,53.91718292236328
-99.702880859375,6.025416851043701,-2.2483072291666666,0.0009160182089544833,11,48,1258.0,871,60384,0.0008459126528049375,60283,38.61635971069336
-63.760398864746094,29.500946044921875,-2.1963150000000002,0.0011938291136175394,11,52,1258.0,1321,65416,0.0008459126528049375,65315,9.836467742919922
-55.892539978027344,8.338067054748535,-2.168472625,0.001210855320096016,11,56,1258.0,1770,70448,0.0008459126528049375,70347,24.753253936767578
-50.39644241333008,7.049807548522949,-2.1256368500000002,0.000980263575911522,11,60,1258.0,40,75480,0.0008459126528049375,75379,-1.6473472118377686
-42.33815002441406,7.074131011962891,-2.094878640625,0.0007255960954353213,11,64,1258.0,482,80512,0.0008459126528049375,80411,-44.72891616821289
-32.29437255859375,8.02056884765625,-2.0686050441176476,0.0006574105354957283,11,68,1258.0,928,85544,0.0008459126528049375,85443,1.5472447872161865
