rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/critic_loss
1257.0,0.01797674596309662,-124.40373992919922,-5.446208749999999,36,4927,5028,4,0.0008459126528049375,139,-172.96548461914062,0.8601813912391663
1257.0,0.0016496522584930062,-130.58148193359375,-4.328573375,35,9955,10056,8,0.0008459126528049375,282,71.0897216796875,1.8118581771850586
1257.0,0.0010131103917956352,-137.2542724609375,-3.6002685833333334,35,14983,15084,12,0.0008459126528049375,425,-9.141560554504395,2.0177125930786133
1257.0,0.0006081529427319765,-139.92929077148438,-3.2500388124999997,35,20011,20112,16,0.0008459126528049375,568,-28.308908462524414,2.5913074016571045
1257.0,0.000925116881262511,-142.4175262451172,-3.0219148500000004,35,25039,25140,20,0.0008459126528049375,3,55.98496627807617,3.1552467346191406
1257.0,0.00032339675817638636,-145.18215942382812,-2.8979877916666665,35,30067,30168,24,0.0008459126528049375,146,-50.741310119628906,3.1361465454101562
1257.0,0.0008082055137492716,-143.15330505371094,-2.7628792142857144,35,35095,35196,28,0.0008459126528049375,286,-23.95282554626465,1.859993815422058
1257.0,0.0015994093846529722,-129.69558715820312,-2.6617921875,35,40123,40224,32,0.0008459126528049375,427,25.75493621826172,18.658363342285156
1257.0,0.0006507576326839626,-128.74777221679688,-2.593436111111111,34,45151,45252,36,0.0008459126528049375,595,30.434202194213867,4.941317558288574
