time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss
180,-163.35870361328125,1257.0,0.0008459126528049375,5028,-5.4353545,0.01712505705654621,27,4,1.6704418659210205,4927,-120.06919860839844
388,44.64401626586914,1257.0,0.0008459126528049375,10056,-4.380048875,0.000852003286127001,25,8,44.31151580810547,9955,-124.93103790283203
587,34.1805305480957,1257.0,0.0008459126528049375,15084,-3.72146675,0.0010674470104277134,25,12,4.39279317855835,14983,-131.44383239746094
767,16.732315063476562,1257.0,0.0008459126528049375,20112,-3.3898409999999997,0.0016292247455567122,26,16,11.840019226074219,20011,-125.9129638671875
5,-20.381324768066406,1257.0,0.0008459126528049375,25140,-3.20607635,0.0010116525227203965,26,20,3.5936336517333984,25039,-115.00238037109375
189,-65.81513214111328,1257.0,0.0008459126528049375,30168,-3.0695486666666665,0.0007226648740470409,27,24,4.3495283126831055,30067,-101.54056549072266
391,24.098831176757812,1257.0,0.0008459126528049375,35196,-3.0235621071428573,0.0008513969369232655,26,28,6.5650200843811035,35095,-85.85608673095703
581,157.54388427734375,1257.0,0.0008459126528049375,40224,-2.9359911875,0.0004891215357929468,26,32,3.209909439086914,40123,-75.81626892089844
786,-30.77301025390625,1257.0,0.0008459126528049375,45252,-2.8302936388888886,0.0009882557205855846,25,36,3.2382497787475586,45151,-71.25060272216797
10,12.331452369689941,1257.0,0.0008459126528049375,50280,-2.7646688,0.0004845292423851788,26,40,1.6610400676727295,50179,-65.71647644042969
172,-37.59979248046875,1257.0,0.0008459126528049375,55308,-2.6894998863636363,0.0006324927089735866,30,44,2.6031765937805176,55207,-61.73481750488281
354,2.732297420501709,1257.0,0.0008459126528049375,60336,-2.6542340416666668,0.0009194849990308285,29,48,5.07731819152832,60235,-48.98789978027344
549,-19.719791412353516,1257.0,0.0008459126528049375,65364,-2.6454432307692306,0.0007509672432206571,27,52,13.922442436218262,65263,-41.459590911865234
711,-43.856204986572266,1257.0,0.0008459126528049375,70392,-2.6260667321428572,0.0008095678640529513,28,56,10.51302719116211,70291,-32.71852493286133
16,-69.46466064453125,1257.0,0.0008459126528049375,75420,-2.6041216666666673,0.0008199071744456887,24,60,2.347165107727051,75319,-30.194080352783203
191,8.088834762573242,1257.0,0.0008459126528049375,80448,-2.57352925,0.0006611531134694815,28,64,6.320351600646973,80347,-24.22956085205078
362,-8.935043334960938,1257.0,0.0008459126528049375,85476,-2.5557397205882353,0.0005949717015028,28,68,3.814680576324463,85375,-14.190879821777344
533,13.401019096374512,1257.0,0.0008459126528049375,90504,-2.553315347222222,0.0012064079055562615,29,72,9.53128433227539,90403,-5.726661682128906
705,-87.56932830810547,1257.0,0.0008459126528049375,95532,-2.533460986842105,0.001316370558924973,29,76,17.168983459472656,95431,5.300793647766113
