time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss
156,-168.0263214111328,1257.0,0.0008459126528049375,5028,-5.21410825,0.017163913697004318,32,4,3.7764954566955566,4927,-121.47894287109375
341,-52.83910369873047,1257.0,0.0008459126528049375,10056,-4.032947999999999,0.0014875293709337711,29,8,3.1553115844726562,9955,-128.60671997070312
528,3.173677921295166,1257.0,0.0008459126528049375,15084,-3.437233333333333,0.0008752159192226827,28,12,2.880427360534668,14983,-130.22178649902344
678,72.06913757324219,1257.0,0.0008459126528049375,20112,-3.0606049375,0.0017708559753373265,29,16,13.621992111206055,20011,-109.64385986328125
4,39.783851623535156,1257.0,0.0008459126528049375,25140,-2.84963855,0.0007124108960852027,33,20,1.6191473007202148,25039,-109.30567169189453
155,-44.028602600097656,1257.0,0.0008459126528049375,30168,-2.699632291666667,0.001504870830103755,33,24,3.440671920776367,30067,-67.13101959228516
321,-40.846046447753906,1257.0,0.0008459126528049375,35196,-2.576990535714286,0.001161838648840785,31,28,1.8318814039230347,35095,-58.987571716308594
507,16.980688095092773,1257.0,0.0008459126528049375,40224,-2.50118334375,0.000307957612676546,29,32,2.936809539794922,40123,-54.87379455566406
693,-56.91969680786133,1257.0,0.0008459126528049375,45252,-2.4414943888888887,0.0003543345374055207,29,36,0.9346840381622314,45151,-48.34642028808594
8,111.82463073730469,1257.0,0.0008459126528049375,50280,-2.3802586750000003,0.0002744229568634182,32,40,1.2167119979858398,50179,-40.565269470214844
183,231.52822875976562,1257.0,0.0008459126528049375,55308,-2.325409,0.000735385634470731,28,44,7.153200149536133,55207,-27.319772720336914
369,-33.93647766113281,1257.0,0.0008459126528049375,60336,-2.2816004166666666,0.0009329539607279003,27,48,3.5405325889587402,60235,-12.124814987182617
556,-50.01538848876953,1257.0,0.0008459126528049375,65364,-2.2431289807692307,0.0005119317793287337,27,52,1.738628625869751,65263,-4.712216377258301
742,1.5668480396270752,1257.0,0.0008459126528049375,70392,-2.216196107142857,0.0003553663264028728,27,56,2.35772705078125,70291,-2.2648472785949707
13,-50.602630615234375,1257.0,0.0008459126528049375,75420,-2.1777461333333332,0.0004701539874076843,32,60,5.138555526733398,75319,0.5027015805244446
173,152.1150360107422,1257.0,0.0008459126528049375,80448,-2.15797940625,0.0007932066801004112,31,64,12.85109806060791,80347,7.293829441070557
333,-33.68362045288086,1257.0,0.0008459126528049375,85476,-2.1344890588235295,0.0011063829297199845,31,68,2.795931339263916,85375,15.242025375366211
495,-33.7446174621582,1257.0,0.0008459126528049375,90504,-2.1186149444444444,0.001041106996126473,31,72,4.51892614364624,90403,22.57808494567871
658,-16.818662643432617,1257.0,0.0008459126528049375,95532,-2.1113553026315786,0.0008716487209312618,31,76,1.3557568788528442,95431,27.183853149414062
