time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss
161,-169.02154541015625,1257.0,0.0008459126528049375,5028,-5.450614249999999,0.017374509945511818,31,4,49.425262451171875,4927,-120.78614044189453
318,-41.33728790283203,1257.0,0.0008459126528049375,10056,-4.2462599999999995,0.0009332489571534097,31,8,3.184134006500244,9955,-126.20440673828125
475,10.086511611938477,1257.0,0.0008459126528049375,15084,-3.4744905833333326,0.0011001898674294353,31,12,41.754371643066406,14983,-128.93350219726562
634,8.179157257080078,1257.0,0.0008459126528049375,20112,-3.0450943125,0.000820652290713042,31,16,6.919673919677734,20011,-132.1947479248047
4,-5.13958215713501,1257.0,0.0008459126528049375,25140,-2.85418495,0.0009136951994150877,31,20,5.875704765319824,25039,-121.92741394042969
197,-74.37895965576172,1257.0,0.0008459126528049375,30168,-2.744122583333333,0.0007417090819217265,26,24,4.991387367248535,30067,-105.23363494873047
366,49.16118240356445,1257.0,0.0008459126528049375,35196,-2.644592821428571,0.0011955067748203874,27,28,2.8448221683502197,35095,-94.84664916992188
525,-17.502342224121094,1257.0,0.0008459126528049375,40224,-2.57163359375,0.0011797979241237044,28,32,6.172978401184082,40123,-87.42721557617188
683,-55.362518310546875,1257.0,0.0008459126528049375,45252,-2.550215777777778,0.0006602388457395136,29,36,1.3616386651992798,45151,-84.31329345703125
8,-51.07447052001953,1257.0,0.0008459126528049375,50280,-2.535894675,0.00027946874615736306,31,40,8.141590118408203,50179,-80.735107421875
167,-88.33914947509766,1257.0,0.0008459126528049375,55308,-2.515075659090909,0.00021468214981723577,31,44,1.193464756011963,55207,-76.24051666259766
327,0.5854307413101196,1257.0,0.0008459126528049375,60336,-2.46239725,0.0004043681838084012,31,48,5.169015407562256,60235,-68.9438705444336
502,-85.18696594238281,1257.0,0.0008459126528049375,65364,-2.449769480769231,0.0008847585995681584,30,52,9.552334785461426,65263,-60.72236251831055
701,-0.8890151977539062,1257.0,0.0008459126528049375,70392,-2.4246547857142855,0.000537256128154695,29,56,2.561734676361084,70291,-53.933692932128906
16,-32.76773452758789,1257.0,0.0008459126528049375,75420,-2.4053240166666665,0.00039238130557350814,24,60,1.526658296585083,75319,-50.279052734375
221,-0.5359772443771362,1257.0,0.0008459126528049375,80448,-2.3846546562500004,0.0013282160507515073,24,64,4.806482315063477,80347,-44.92481231689453
426,4.737448215484619,1257.0,0.0008459126528049375,85476,-2.356260735294118,0.0006775804213248193,24,68,2.528050422668457,85375,-40.38350296020508
631,46.00171661376953,1257.0,0.0008459126528049375,90504,-2.3387561666666667,0.0008512905333191156,24,72,1.2297784090042114,90403,-36.30842590332031
820,-7.276409149169922,1257.0,0.0008459126528049375,95532,-2.32377125,0.0006105431239120662,25,76,3.7953696250915527,95431,-33.98187255859375
