train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/critic_loss,time/episodes
0.0008459126528049375,0.01751125603914261,-124.46036529541016,-167.34967041015625,1258.0,-4.0525839999999995,433,5032,4931,11,1.9396157264709473,4
0.0008459126528049375,0.0012402740539982915,-132.1149444580078,13.9578857421875,1258.0,-3.0299834999999997,892,10064,9963,11,4.834875106811523,8
0.0008459126528049375,0.0008839603397063911,-135.151611328125,5.826483726501465,1258.0,-2.4421527499999995,1352,15096,14995,11,6.341562747955322,12
0.0008459126528049375,0.0012380623957142234,-136.22433471679688,-10.976689338684082,1258.0,-2.1452508125,1817,20128,20027,11,8.394159317016602,16
0.0008459126528049375,0.0013755029067397118,-119.30803680419922,75.07862854003906,1258.0,-1.96527475,14,25160,25059,10,5.164463043212891,20
0.0008459126528049375,0.002016636775806546,-92.63714599609375,52.12480926513672,1258.0,-1.8587580833333333,480,30192,30091,10,37.86646270751953,24
0.0008459126528049375,0.00045881239930167794,-91.21017456054688,26.889387130737305,1258.0,-1.7836333928571428,950,35224,35123,10,3.701508045196533,28
0.0008459126528049375,0.0006269434234127402,-90.7623291015625,4.588560581207275,1258.0,-1.7225852499999998,1418,40256,40155,10,3.0360097885131836,32
0.0008459126528049375,0.0007886782987043262,-89.62435913085938,-26.47149658203125,1258.0,-1.651620222222222,1891,45288,45187,10,3.291517972946167,36
0.0008459126528049375,0.0006803462747484446,-86.98023986816406,38.38327407836914,1258.0,-1.60322475,30,50320,50219,10,4.040549278259277,40
0.0008459126528049375,0.0011490487959235907,-75.23692321777344,-13.076061248779297,1258.0,-1.575746909090909,502,55352,55251,10,8.267309188842773,44
0.0008459126528049375,0.0022563464008271694,-38.97744369506836,-46.59130859375,1258.0,-1.5329368958333334,960,60384,60283,10,38.74384689331055,48
0.0008459126528049375,0.002676689764484763,-41.816322326660156,5.548140048980713,1258.0,-1.5122415576923076,1422,65416,65315,10,25.68804168701172,52
0.0008459126528049375,0.0005150118959136307,-28.8448486328125,-53.63645935058594,1258.0,-1.4883131607142857,1885,70448,70347,10,27.593046188354492,56
0.0008459126528049375,0.0014147539623081684,-25.037841796875,70.59876251220703,1258.0,-1.4439018666666665,45,75480,75379,10,19.76050567626953,60
0.0008459126528049375,0.0021732712630182505,4.554763317108154,-1.9563257694244385,1258.0,-1.4192725625,524,80512,80411,10,19.250045776367188,64
0.0008459126528049375,0.0022956104949116707,12.600845336914062,3.3504838943481445,1258.0,-1.404110632352941,996,85544,85443,10,12.182025909423828,68
0.0008459126528049375,0.0015043922467157245,18.77472686767578,-24.167497634887695,1258.0,-1.3872276944444444,1473,90576,90475,10,8.8804931640625,72
