time/episodes,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss
4,0.017215881496667862,4931,4.336441516876221,-171.02584838867188,-4.43422075,5032,1258.0,12,406,0.0008459126528049375,-123.57177734375
8,0.0012117979349568486,9963,6.48264217376709,-0.9584589004516602,-3.482261875,10064,1258.0,11,845,0.0008459126528049375,-130.4052734375
12,0.0008772255969233811,14995,7.174956321716309,-51.62560272216797,-2.7864272499999996,15096,1258.0,11,1281,0.0008459126528049375,-134.7772216796875
16,0.0009188183466903865,20027,7.313702583312988,8.390533447265625,-2.469269,20128,1258.0,11,1720,0.0008459126528049375,-136.89215087890625
20,0.0014656807761639357,25059,13.413959503173828,-45.27246856689453,-2.2174814,25160,1258.0,11,14,0.0008459126528049375,-125.88475799560547
24,0.0008034114143811166,30091,12.312270164489746,79.46835327148438,-2.053860333333333,30192,1258.0,11,460,0.0008459126528049375,-111.23497009277344
28,0.001761463237926364,35123,3.480778694152832,-4.939746856689453,-1.9273697857142857,35224,1258.0,11,906,0.0008459126528049375,-101.86544036865234
32,0.0017005340196192265,40155,10.308972358703613,-48.83839797973633,-1.845536875,40256,1258.0,11,1352,0.0008459126528049375,-75.87398529052734
36,0.0007565908599644899,45187,5.141161918640137,-13.719720840454102,-1.825894861111111,45288,1258.0,11,1800,0.0008459126528049375,-77.04325866699219
40,0.0005759691703133285,50219,4.176531791687012,-47.915992736816406,-1.7760392500000002,50320,1258.0,10,29,0.0008459126528049375,-68.26113891601562
44,0.0003984334762208164,55251,4.76902437210083,-66.56368255615234,-1.742773022727273,55352,1258.0,10,494,0.0008459126528049375,-61.896263122558594
48,0.0006230016588233411,60283,4.631783962249756,7.947464942932129,-1.6994725,60384,1258.0,10,947,0.0008459126528049375,-61.212493896484375
52,0.001022644224576652,65315,53.03532028198242,225.7825927734375,-1.6545588846153845,65416,1258.0,11,1399,0.0008459126528049375,-40.04640197753906
56,0.0026148029137402773,70347,10.317832946777344,28.60065269470215,-1.6053781785714285,70448,1258.0,11,1850,0.0008459126528049375,-41.09689712524414
60,0.0009287872817367315,75379,6.150260925292969,-39.786251068115234,-1.6041199833333333,75480,1258.0,10,44,0.0008459126528049375,-27.229286193847656
64,0.0022843906190246344,80411,10.191962242126465,36.99345397949219,-1.5941554999999998,80512,1258.0,10,517,0.0008459126528049375,-19.18650245666504
68,0.0022191384341567755,85443,27.152862548828125,20.92950439453125,-1.5750828970588233,85544,1258.0,10,992,0.0008459126528049375,-6.667549133300781
72,0.0012529878877103329,90475,9.312548637390137,-19.479707717895508,-1.5748083472222223,90576,1258.0,10,1470,0.0008459126528049375,4.24131965637207
76,0.0005998065462335944,95507,4.286705017089844,-16.6787109375,-1.5660532763157893,95608,1258.0,10,1955,0.0008459126528049375,6.517056941986084
