time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,4027,,,,,,,,,,,,,
2,0,1024,2666,1.0011858940124512,16,0.2066692925800453,0.018143382,0.2005615234375,-0.5249875783920288,0.2,-0.026687016710639,-44.00645065307617,0.0004092704424510632,-0.025061612657736987,,
3,0,1536,2405,1.001619815826416,32,0.004864376525802072,0.022016585,0.29736328125,0.00300520658493042,0.2,-0.04474150389432907,-44.0294668674469,0.0004092704424510632,-0.03109484913875349,1257.0,-2.489025
4,0,2048,2287,1.001555323600769,48,0.009094134671613574,0.025653511,0.333740234375,0.007675230503082275,0.2,-0.03806706517934799,-44.03608846664429,0.0004092704424510632,-0.030170562939019874,1257.0,-2.489025
5,1,2560,2220,1.001305103302002,64,0.0035013344095204957,0.013867079,0.23974609375,-0.014465928077697754,0.2,-0.026944853365421295,-44.028791189193726,0.0004092704424510632,-0.02475979330483824,1257.0,-2.408481
6,1,3072,2177,1.0007681846618652,80,0.013970423344289884,0.020920638,0.2921142578125,0.005031108856201172,0.2,-0.03438052162528038,-44.0186071395874,0.0004092704424510632,-0.031522626260994,1257.0,-2.408481
7,1,3584,2156,0.9992599487304688,96,0.002209120419138344,0.016601445,0.281494140625,-0.07410454750061035,0.2,-0.03805544599890709,-43.98528504371643,0.0004092704424510632,-0.031713037664303556,1257.0,-2.408481
8,1,4096,2134,0.9989181160926819,112,0.003478646875009872,0.01942396,0.304443359375,-0.009750604629516602,0.2,-0.046680331230163574,-43.948513865470886,0.0004092704424510632,-0.03527556516928598,1257.0,-2.353491
9,2,4608,2121,1.0008457899093628,128,0.022804335749242455,0.019337628,0.3184814453125,0.006245970726013184,0.2,-0.0364496186375618,-43.97199237346649,0.0004092704424510632,-0.03123413003049791,1257.0,-2.353491
10,2,5120,2114,1.0004216432571411,144,0.00388053702772595,0.016088871,0.2216796875,-0.016859769821166992,0.2,-0.047119010239839554,-44.00549113750458,0.0004092704424510632,-0.0238043837598525,1257.0,-2.3882547499999998
11,2,5632,2107,0.9965583086013794,160,0.03245173714822158,0.0135898525,0.2147216796875,0.011192917823791504,0.2,-0.00419784989207983,-43.93752121925354,0.0004092704424510632,-0.02168682542105671,1257.0,-2.3882547499999998
12,2,6144,2099,0.9938623905181885,176,0.0029685448498639744,0.01856136,0.26806640625,-0.3322368860244751,0.2,-0.04017800837755203,-43.823081970214844,0.0004092704424510632,-0.022747852315660566,1257.0,-2.3882547499999998
13,3,6656,2095,0.9926992654800415,192,0.002678558619663818,0.017570602,0.25439453125,-0.008449316024780273,0.2,-0.02376006916165352,-43.75964713096619,0.0004092704424510632,-0.026330481487093493,1257.0,-2.4453515999999995
14,3,7168,2091,0.9926347136497498,208,0.042283204733394086,0.027304817,0.34814453125,-0.0016807317733764648,0.2,-0.026852326467633247,-43.746437549591064,0.0004092704424510632,-0.03419660993677098,1257.0,-2.4453515999999995
15,3,7680,2086,0.9912933707237244,224,0.0030743008937861305,0.018530399,0.24853515625,0.001462697982788086,0.2,-0.025050431489944458,-43.72538125514984,0.0004092704424510632,-0.026488393588806503,1257.0,-2.420140333333333
