time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,4061,,,,,,,,,,,,,
2,0,1024,2689,0.999165952205658,16,0.08197910057060653,0.019471705,0.2779541015625,-1.106762409210205,0.2,-0.04040682688355446,-43.97180783748627,0.0004092704424510632,-0.035042415489442647,,
3,0,1536,2380,1.0006272792816162,32,0.0041581617333577015,0.017451176,0.2813720703125,-0.10950922966003418,0.2,-0.04351932182908058,-43.97961962223053,0.0004092704424510632,-0.031516880393610336,1257.0,-2.382821
4,0,2048,2257,0.9988285303115845,48,0.007366240650299005,0.023913966,0.3082275390625,0.005030632019042969,0.2,-0.04366637021303177,-43.98698818683624,0.0004092704424510632,-0.035346076168934815,1257.0,-2.382821
5,1,2560,2197,0.9954854846000671,64,0.00363203226152109,0.015580235,0.2271728515625,0.014886260032653809,0.2,-0.027745723724365234,-43.8961706161499,0.0004092704424510632,-0.0240667985053733,1257.0,-2.4850944999999998
6,1,3072,2163,0.9956567883491516,80,0.011188603908522055,0.017429387,0.2667236328125,0.0038344264030456543,0.2,-0.0180196650326252,-43.83764719963074,0.0004092704424510632,-0.023096579156117514,1257.0,-2.4850944999999998
7,1,3584,2137,0.9961440563201904,96,0.0028305782834650017,0.020115137,0.2725830078125,0.06832224130630493,0.2,-0.041539035737514496,-43.85732710361481,0.0004092704424510632,-0.02989550746860914,1257.0,-2.4850944999999998
8,1,4096,2119,0.9943209290504456,112,0.0027934771351283416,0.024789173,0.298583984375,-0.02633523941040039,0.2,-0.04495749995112419,-43.840959787368774,0.0004092704424510632,-0.03352775698294863,1257.0,-2.4391959999999995
9,2,4608,2098,0.9909660220146179,128,0.019187524128938094,0.019912481,0.303955078125,-0.004775047302246094,0.2,-0.03436564654111862,-43.75628697872162,0.0004092704424510632,-0.02850247742026113,1257.0,-2.4391959999999995
10,2,5120,2092,0.9890927672386169,144,0.00373922834842233,0.018923815,0.26708984375,-0.0008169412612915039,0.2,-0.03258851543068886,-43.66588258743286,0.0004092704424510632,-0.02574220867245458,1257.0,-2.4248132499999997
11,2,5632,2081,0.9892096519470215,160,0.03071431675925851,0.01818395,0.226806640625,0.0005588531494140625,0.2,-0.011603623628616333,-43.6387220621109,0.0004092704424510632,-0.021806122051202692,1257.0,-2.4248132499999997
12,2,6144,2074,0.9890208840370178,176,0.00320088084845338,0.016667053,0.2862548828125,0.031372785568237305,0.2,-0.03374474495649338,-43.64199435710907,0.0004092704424510632,-0.02944876451510936,1257.0,-2.4248132499999997
13,3,6656,2066,0.9892985224723816,192,0.0022089054582465906,0.018548511,0.26953125,0.0039424896240234375,0.2,-0.02618546597659588,-43.63756322860718,0.0004092704424510632,-0.027654574121697806,1257.0,-2.4163673999999995
14,3,7168,2056,0.9899100065231323,208,0.038685694395098835,0.01381179,0.2398681640625,-0.00024759769439697266,0.2,-0.016018373891711235,-43.65372669696808,0.0004092704424510632,-0.02360914702876471,1257.0,-2.4163673999999995
