time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4144,1,512,0,,,,,,,,,,,,,
1953,2,1024,0,-0.21317315101623535,0.2,-0.03604818135499954,0.27392578125,0.017798673,-43.980860471725464,16,0.0004092704424510632,0.07578680825827178,-0.03601137999794446,0.999728262424469,,
1662,3,1536,0,0.018138587474822998,0.2,-0.02199716866016388,0.252685546875,0.01496469,-43.9848358631134,32,0.0004092704424510632,0.0024379428250540514,-0.025389040260051843,1.0001604557037354,-2.278161,1223.0
1550,4,2048,1,0.0038919448852539062,0.2,-0.037588369101285934,0.2095947265625,0.011290267,-43.96524751186371,48,0.0004092704424510632,0.007089732825988904,-0.02455262427974958,0.9981384873390198,-2.278161,1223.0
1488,5,2560,1,0.016474246978759766,0.2,-0.03070615790784359,0.2611083984375,0.016495511,-43.911025047302246,64,0.0004092704424510632,0.001363304929327569,-0.027574680687393993,0.9975086450576782,-2.2814505,1223.0
1454,6,3072,2,-0.0013593435287475586,0.2,-0.020167015492916107,0.2674560546875,0.015791811,-43.91417741775513,80,0.0004092704424510632,0.009267087443731725,-0.024382228701142594,0.998126745223999,-2.2814505,1223.0
1432,7,3584,2,0.03199571371078491,0.2,-0.02812843769788742,0.2156982421875,0.013375757,-43.91160500049591,96,0.0004092704424510632,0.0018193201067333575,-0.02463170370174339,0.9970247149467468,-2.2814505,1223.0
1411,8,4096,2,0.024906694889068604,0.2,-0.03106451965868473,0.245361328125,0.017968662,-43.89098584651947,112,0.0004092704424510632,0.002292942659551045,-0.027213425004447345,0.9974449276924133,-2.2551243333333333,1223.0
1395,9,4608,3,0.0019849538803100586,0.2,-0.02548789232969284,0.263427734375,0.02266518,-43.9189178943634,128,0.0004092704424510632,0.019415908929659054,-0.02965682520880364,0.9986928105354309,-2.2551243333333333,1223.0
1377,10,5120,3,0.03538089990615845,0.2,-0.030983611941337585,0.3006591796875,0.024790466,-43.94488215446472,144,0.0004092704424510632,0.0017152292530226987,-0.02683344463002868,0.99892657995224,-2.262652,1223.0
1370,11,5632,4,0.004282534122467041,0.2,-0.014473427087068558,0.2237548828125,0.015778866,-43.94231390953064,160,0.0004092704424510632,0.025745632709003985,-0.024359020579140633,0.9985228180885315,-2.262652,1223.0
1363,12,6144,4,-0.00405573844909668,0.2,-0.041278861463069916,0.167236328125,0.011246521,-43.914310693740845,176,0.0004092704424510632,0.0016113329256768338,-0.021139868593309075,0.9971992373466492,-2.2531986,1223.0
1359,13,6656,4,0.005418360233306885,0.2,-0.024533318355679512,0.230224609375,0.01838919,-43.89674949645996,192,0.0004092704424510632,0.02967976708896458,-0.02329846753855236,0.9978086352348328,-2.2531986,1223.0
1353,14,7168,5,0.07183754444122314,0.2,-0.025334149599075317,0.219482421875,0.016659543,-43.91087865829468,208,0.0004092704424510632,0.0025593354330339935,-0.023797017136530485,0.9978891015052795,-2.2531986,1223.0
1349,15,7680,5,-0.01911938190460205,0.2,-0.0334504172205925,0.2369384765625,0.017666142,-43.89693081378937,224,0.0004092704424510632,0.002224190189735964,-0.024294804723467678,0.9967418313026428,-2.2380013333333335,1223.0
