time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1346,18,9216,6,0.020076498,-0.043989039957523346,0.2,0.0004092704424510632,-0.02314666609163396,0.2095947265625,0.9912808537483215,272,0.2443881630897522,0.005107616067107301,-43.73426043987274,1258.0,-2.317851142857143
1344,19,9728,7,0.024039052,0.003113742917776108,0.2,0.0004092704424510632,-0.02266116267128382,0.2474365234375,0.9897858500480652,288,0.22219610214233398,0.05481606244575232,-43.67661988735199,1258.0,-2.317851142857143
1341,20,10240,7,0.017949257,-0.018217766657471657,0.2,0.0004092704424510632,-0.023900512256659567,0.2412109375,0.9884455800056458,304,-0.07117891311645508,0.002670070571184624,-43.63959848880768,1258.0,-2.31367925
1338,21,10752,8,0.017940572,-0.020512914285063744,0.2,0.0004092704424510632,-0.03128657485649455,0.2791748046875,0.9887487888336182,320,0.06663745641708374,0.0689899183344096,-43.61533713340759,1258.0,-2.31367925
1337,22,11264,8,0.021268161,-0.01887238770723343,0.2,0.0004092704424510632,-0.022339924587868154,0.23291015625,0.988844633102417,336,-1.0080499649047852,0.00613070790132042,-43.625957012176514,1258.0,-2.31367925
1336,23,11776,8,0.016402189,-0.036159127950668335,0.2,0.0004092704424510632,-0.024934952816693112,0.219970703125,0.9880881309509277,352,0.1932334303855896,0.007047364444588311,-43.61670100688934,1258.0,-2.330157222222222
1333,24,12288,9,0.020791605,-0.01587190106511116,0.2,0.0004092704424510632,-0.02178625865781214,0.2935791015625,0.9864484667778015,368,0.22637158632278442,0.06884863437153399,-43.575480818748474,1258.0,-2.330157222222222
1331,25,12800,9,0.0196998,-0.04651077836751938,0.2,0.0004092704424510632,-0.03206799831241369,0.2794189453125,0.9860556721687317,384,-1.7506356239318848,0.006686929569696076,-43.53590226173401,1258.0,-2.3241947
1330,26,13312,10,0.028048456,-0.005756564438343048,0.2,0.0004092704424510632,-0.026478769374080002,0.2734375,0.9864247441291809,400,0.22073304653167725,0.0780447741271928,-43.53773331642151,1258.0,-2.3241947
1329,27,13824,10,0.013375619,-0.03415899723768234,0.2,0.0004092704424510632,-0.01978294737637043,0.1849365234375,0.9867737293243408,416,-2.7093594074249268,0.010162356462387834,-43.55065584182739,1258.0,-2.3241947
1327,28,14336,10,0.018976398,-0.038626912981271744,0.2,0.0004092704424510632,-0.026918784060399048,0.239501953125,0.9882278442382812,432,0.17891031503677368,0.005719471344491467,-43.5720157623291,1258.0,-2.3212471818181815
1326,29,14848,11,0.03579057,0.013792939484119415,0.2,0.0004092704424510632,-0.024773577169980854,0.3057861328125,0.9885136485099792,448,0.0538022518157959,0.07020610163453966,-43.6084223985672,1258.0,-2.3212471818181815
1325,30,15360,11,0.019624837,-0.028629353269934654,0.2,0.0004092704424510632,-0.025656295416411012,0.22705078125,0.9872568249702454,464,-2.1850616931915283,0.008142521321133245,-43.59158515930176,1258.0,-2.321103
1323,31,15872,11,0.022854045,-0.000982128083705902,0.2,0.0004092704424510632,-0.02697910415008664,0.2740478515625,0.9862568974494934,480,0.26525819301605225,0.11346399830654263,-43.55223202705383,1258.0,-2.321103
1323,32,16384,12,0.018018272,-0.022890014573931694,0.2,0.0004092704424510632,-0.023801780989742838,0.242431640625,0.9852889776229858,496,-1.0133566856384277,0.009553002906613983,-43.522297978401184,1258.0,-2.333878076923077
1322,33,16896,12,0.023998033,0.011768251657485962,0.2,0.0004092704424510632,-0.02340743246168131,0.2537841796875,0.9855183959007263,512,0.1952364444732666,0.12717293296009302,-43.5056529045105,1258.0,-2.333878076923077
1321,34,17408,13,0.015773252,-0.028951633721590042,0.2,0.0004092704424510632,-0.023506396799348295,0.2218017578125,0.9841806888580322,528,-1.3809478282928467,0.014055860578082502,-43.49464988708496,1258.0,-2.333878076923077
1320,35,17920,13,0.022013566,-0.03729206696152687,0.2,0.0004092704424510632,-0.02567911050573457,0.258056640625,0.9839283227920532,544,0.08340346813201904,0.003621261701482581,-43.457480788230896,1258.0,-2.327535357142857
1319,36,18432,13,0.022497188,0.011162083595991135,0.2,0.0004092704424510632,-0.030398081842577085,0.275390625,0.9837997555732727,560,0.06711286306381226,0.14382748608477414,-43.46330440044403,1258.0,-2.327535357142857
