train/actor_loss,train/ent_coef_loss,train/critic_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
-120.4532699584961,-181.84133911132812,2.0555508136749268,4,28,-4.20657425,0.017211809754371643,4927,0.0008459126528049375,177,1257.0,5028
-116.73908233642578,-100.99833679199219,3.837322950363159,8,29,-3.2937591250000002,0.0013716700486838818,9955,0.0008459126528049375,344,1257.0,10056
-99.49554443359375,247.5452117919922,13.905082702636719,12,30,-2.7061635833333337,0.00085463747382164,14983,0.0008459126528049375,497,1257.0,15084
-95.02800750732422,-30.0451717376709,2.845771312713623,16,30,-2.3371160625,0.0009123190538957715,20011,0.0008459126528049375,651,1257.0,20112
-90.06183624267578,12.177362442016602,2.4443349838256836,20,29,-2.0947267999999997,0.0008853937615640461,25039,0.0008459126528049375,4,1257.0,25140
-78.25894165039062,18.810033798217773,23.11296272277832,24,26,-1.936367333333333,0.0010709664784371853,30067,0.0008459126528049375,195,1257.0,30168
-61.904788970947266,32.37462615966797,2.060884714126587,28,26,-1.860939107142857,0.0004557168867904693,35095,0.0008459126528049375,385,1257.0,35196
-58.555416107177734,-19.04346466064453,5.7407121658325195,32,26,-1.7746835,0.0007657433161512017,40123,0.0008459126528049375,575,1257.0,40224
-45.62289047241211,-65.92445373535156,12.917197227478027,36,26,-1.7153566944444445,0.0006090314127504826,45151,0.0008459126528049375,764,1257.0,45252
-42.10365295410156,17.541027069091797,2.987292766571045,40,26,-1.6688549000000001,0.00041559035889804363,50179,0.0008459126528049375,10,1257.0,50280
-31.83283042907715,105.2681655883789,2.5404529571533203,44,26,-1.620857522727273,0.0007396175642497838,55207,0.0008459126528049375,197,1257.0,55308
-29.039997100830078,-60.63204574584961,3.1560535430908203,48,26,-1.587593166666667,0.0006804942386224866,60235,0.0008459126528049375,387,1257.0,60336
-10.280662536621094,63.318485260009766,2.713104009628296,52,27,-1.5409010192307693,0.0007804688066244125,65263,0.0008459126528049375,568,1257.0,65364
-7.578384876251221,-20.359939575195312,11.589278221130371,56,28,-1.5018212142857144,0.00043717623339034617,70291,0.0008459126528049375,722,1257.0,70392
1.4686596393585205,-2.47174072265625,0.44159895181655884,60,31,-1.4738058833333336,0.00043168323463760316,75319,0.0008459126528049375,13,1257.0,75420
2.669816493988037,-15.392871856689453,5.076006889343262,64,29,-1.4461023124999999,0.0005030562169849873,80347,0.0008459126528049375,186,1257.0,80448
3.2694039344787598,-78.104248046875,0.30564191937446594,68,27,-1.4252724705882351,0.00041847757529467344,85375,0.0008459126528049375,374,1257.0,85476
