time/fps,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,train/actor_loss
11,2.5610060691833496,4931,1258.0,-163.03555297851562,4,-4.5866342499999995,0.0008459126528049375,5032,0.017532428726553917,453,-123.62545776367188
10,3.7792701721191406,9963,1258.0,-31.2840518951416,8,-3.582044625,0.0008459126528049375,10064,0.0011970018967986107,916,-129.856689453125
10,4.959988594055176,14995,1258.0,-25.556499481201172,12,-2.9193817500000008,0.0008459126528049375,15096,0.0008495942456647754,1384,-135.16656494140625
10,5.834968566894531,20027,1258.0,-53.99531555175781,16,-2.587780875,0.0008459126528049375,20128,0.0010426341323181987,1854,-139.43142700195312
10,6.411507606506348,25059,1258.0,3.6125307083129883,20,-2.3527412500000002,0.0008459126528049375,25160,0.0007867483654990792,14,-141.65200805664062
10,3.952232837677002,30091,1258.0,9.183484077453613,24,-2.1899667916666665,0.0008459126528049375,30192,0.0010451603448018432,481,-136.01580810546875
10,4.781595706939697,35123,1258.0,-6.543999671936035,28,-2.101567785714286,0.0008459126528049375,35224,0.0007928829872980714,949,-125.83539581298828
10,6.1588664054870605,40155,1258.0,-5.161569595336914,32,-2.044476125,0.0008459126528049375,40256,0.0012017091503366828,1416,-126.11624145507812
10,18.50255584716797,45187,1258.0,59.87502670288086,36,-1.9897166666666668,0.0008459126528049375,45288,0.0011787655530497432,1879,-121.43170166015625
11,38.940162658691406,50219,1258.0,274.25592041015625,40,-1.9305726999999997,0.0008459126528049375,50320,0.0011312221176922321,29,-105.43801879882812
10,4.087710380554199,55251,1258.0,-22.078927993774414,44,-1.8863719090909086,0.0008459126528049375,55352,0.0006342788692563772,494,-99.79681396484375
10,12.478601455688477,60283,1258.0,-14.235169410705566,48,-1.850322875,0.0008459126528049375,60384,0.00041913200402632356,963,-93.02790069580078
10,4.770650386810303,65315,1258.0,-58.92784118652344,52,-1.805480903846154,0.0008459126528049375,65416,0.0011114432709291577,1426,-92.48371887207031
10,16.19888687133789,70347,1258.0,6.45162296295166,56,-1.7643488392857145,0.0008459126528049375,70448,0.00039523481973446906,1888,-88.35556030273438
10,17.30295753479004,75379,1258.0,12.37596321105957,60,-1.7154664166666669,0.0008459126528049375,75480,0.002027958631515503,46,-63.060157775878906
10,5.548679351806641,80411,1258.0,7.735615253448486,64,-1.6843725156250002,0.0008459126528049375,80512,0.0006862655282020569,535,-60.10552978515625
10,9.203388214111328,85443,1258.0,-22.941743850708008,68,-1.6839289705882354,0.0008459126528049375,85544,0.0005576823023147881,1022,-55.94633483886719
