rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss
1257.0,-173.56590270996094,-120.77627563476562,4,0.01704045571386814,0.0008459126528049375,21,4927,5028,238,-4.4017235,2.3086190223693848
1257.0,30.210176467895508,-120.29476165771484,8,0.0011171045480296016,0.0008459126528049375,18,9955,10056,535,-3.37989,1.9325813055038452
1257.0,-30.200899124145508,-113.87007141113281,12,0.000642364495433867,0.0008459126528049375,17,14983,15084,838,-2.64485275,2.77177095413208
1257.0,110.92850494384766,-89.030517578125,16,0.0009788281749933958,0.0008459126528049375,17,20011,20112,1149,-2.301132,10.334037780761719
1257.0,21.663360595703125,-79.87665557861328,20,0.0012225398095324636,0.0008459126528049375,17,25039,25140,8,-2.12407295,7.281795501708984
1257.0,7.334873199462891,-73.80055236816406,24,0.0004976245108991861,0.0008459126528049375,16,30067,30168,310,-1.988487958333333,5.538314342498779
1257.0,-8.435898780822754,-64.3341064453125,28,0.00041183194844052196,0.0008459126528049375,16,35095,35196,615,-1.8893003571428573,1.1218986511230469
1257.0,56.69767379760742,-64.0582504272461,32,0.00047519971849396825,0.0008459126528049375,16,40123,40224,919,-1.8203542187500001,1.7034251689910889
1257.0,-33.62801742553711,-46.889591217041016,36,0.000565744296181947,0.0008459126528049375,16,45151,45252,1225,-1.7327974166666666,1.72378671169281
1257.0,-6.823431015014648,-41.55954360961914,40,0.0002429813175695017,0.0008459126528049375,20,50179,50280,13,-1.673223475,0.6972142457962036
1257.0,-44.15134048461914,-36.68276596069336,44,0.0002820579393301159,0.0008459126528049375,21,55207,55308,246,-1.6228473636363638,2.0693912506103516
1257.0,-13.398632049560547,-33.07509231567383,48,0.0005192366079427302,0.0008459126528049375,21,60235,60336,488,-1.5720667083333335,0.9434525966644287
1257.0,-19.21234703063965,-22.493026733398438,52,0.0006554661085829139,0.0008459126528049375,21,65263,65364,719,-1.5346976153846157,7.059783935546875
1257.0,20.372821807861328,-18.99933624267578,56,0.0011453749611973763,0.0008459126528049375,21,70291,70392,950,-1.516469642857143,3.9657645225524902
1257.0,-93.97441101074219,28.58429718017578,60,0.003283083438873291,0.0008459126528049375,19,75319,75420,21,-1.4926278166666664,56.18880081176758
1257.0,-52.20954132080078,38.12864303588867,64,0.0010928827105090022,0.0008459126528049375,19,80347,80448,275,-1.4847084375,10.557071685791016
1257.0,42.259830474853516,46.54255294799805,68,0.0011803555535152555,0.0008459126528049375,19,85375,85476,534,-1.4772643970588235,12.164974212646484
1257.0,79.49549102783203,49.007694244384766,72,0.0007712484220974147,0.0008459126528049375,19,90403,90504,812,-1.4721649305555558,8.703180313110352
1257.0,-34.229759216308594,53.14119338989258,76,0.001071947393938899,0.0008459126528049375,18,95431,95532,1089,-1.4636107500000002,3.6870927810668945
