rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss
1257.0,-170.12318420410156,-120.6351547241211,4,0.017047828063368797,0.0008459126528049375,19,4927,5028,251,-4.417674249999999,2.356894016265869
1257.0,101.38430786132812,-126.80305480957031,8,0.00116433494258672,0.0008459126528049375,19,9955,10056,505,-3.3864756249999997,25.10312271118164
1257.0,-72.9742202758789,-121.52420043945312,12,0.0010208430467173457,0.0008459126528049375,19,14983,15084,776,-2.7307874166666664,8.437873840332031
1257.0,47.62403106689453,-108.9083251953125,16,0.0012624334776774049,0.0008459126528049375,19,20011,20112,1025,-2.3541759375,1.899897575378418
1257.0,-51.40129089355469,-105.24665832519531,20,0.0009471574448980391,0.0008459126528049375,19,25039,25140,7,-2.13280405,2.3752598762512207
1257.0,124.01416778564453,-81.24149322509766,24,0.0010865590302273631,0.0008459126528049375,20,30067,30168,253,-2.0027408333333336,3.817561626434326
1257.0,-8.388509750366211,-73.65245819091797,28,0.0005255972500890493,0.0008459126528049375,19,35095,35196,515,-1.9275884285714286,2.2500765323638916
1257.0,-34.0863151550293,-54.23150634765625,32,0.0007418356835842133,0.0008459126528049375,19,40123,40224,777,-1.84864725,3.048171281814575
1257.0,-88.4324951171875,-50.435272216796875,36,0.0004234480147715658,0.0008459126528049375,19,45151,45252,1036,-1.7895125277777777,1.1970188617706299
1257.0,-3.167856216430664,-35.59004211425781,40,0.0005727240932174027,0.0008459126528049375,19,50179,50280,14,-1.7334701250000002,2.1697301864624023
1257.0,-39.23601531982422,-31.090343475341797,44,0.000392514921259135,0.0008459126528049375,19,55207,55308,269,-1.7027684090909092,0.8134252429008484
1257.0,-98.07768249511719,-23.999719619750977,48,0.00022209296002984047,0.0008459126528049375,19,60235,60336,533,-1.6714703541666667,0.6169445514678955
1257.0,-27.037580490112305,-21.262161254882812,52,0.00015157503366935998,0.0008459126528049375,19,65263,65364,772,-1.6516293461538463,0.4379822611808777
1257.0,28.567781448364258,-17.853713989257812,56,0.00019298125698696822,0.0008459126528049375,19,70291,70392,1029,-1.6346339464285715,0.3555353581905365
1257.0,-54.560218811035156,-15.992549896240234,60,0.0001562569959787652,0.0008459126528049375,19,75319,75420,21,-1.6244780833333334,1.3894710540771484
1257.0,-35.21773910522461,-10.805816650390625,64,0.00014880301023367792,0.0008459126528049375,19,80347,80448,282,-1.603477,0.47036996483802795
1257.0,4.120338439941406,-5.493718147277832,68,0.00019208558660466224,0.0008459126528049375,19,85375,85476,547,-1.5798216029411765,0.45549511909484863
1257.0,-50.703773498535156,-2.68800687789917,72,0.0001788937661331147,0.0008459126528049375,19,90403,90504,812,-1.5592800972222223,0.3750421404838562
1257.0,-66.08993530273438,0.6844781637191772,76,0.00011466060823295265,0.0008459126528049375,19,95431,95532,1077,-1.5434228947368422,0.32113558053970337
