rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss
1257.0,-184.0956268310547,-118.14373779296875,4,0.017080504447221756,0.0008459126528049375,21,4927,5028,230,-4.61884725,39.37553024291992
1257.0,29.53797721862793,-121.81251525878906,8,0.0014441434759646654,0.0008459126528049375,21,9955,10056,464,-3.5169034999999997,7.339524269104004
1257.0,49.23130798339844,-111.54474639892578,12,0.0013017082819715142,0.0008459126528049375,21,14983,15084,699,-2.8541443333333327,2.850156784057617
1257.0,22.13520050048828,-106.75833892822266,16,0.0005457903607748449,0.0008459126528049375,21,20011,20112,934,-2.4530485625000003,5.967937469482422
1257.0,2.4792704582214355,-105.15571594238281,20,0.00044548744335770607,0.0008459126528049375,21,25039,25140,6,-2.2200419,1.5740668773651123
1257.0,-56.0225944519043,-84.83181762695312,24,0.0012173171853646636,0.0008459126528049375,21,30067,30168,241,-2.0564082083333335,4.023531436920166
1257.0,26.45684051513672,-69.0389404296875,28,0.0004228588077239692,0.0008459126528049375,21,35095,35196,474,-1.9610466071428572,10.8785400390625
1257.0,-1.1283655166625977,-63.78858184814453,32,0.0006261033122427762,0.0008459126528049375,21,40123,40224,707,-1.8823609687499998,1.1455641984939575
1257.0,-99.87551879882812,-51.1484375,36,0.0008199212606996298,0.0008459126528049375,21,45151,45252,940,-1.8317395833333332,3.0625576972961426
1257.0,-2.118466377258301,-27.249202728271484,40,0.0008542027790099382,0.0008459126528049375,21,50179,50280,12,-1.799381625,4.718505859375
1257.0,97.15689086914062,-20.672927856445312,44,0.001513022230938077,0.0008459126528049375,21,55207,55308,246,-1.746034590909091,11.76807975769043
1257.0,1.4089858531951904,-12.225554466247559,48,0.0007745081093162298,0.0008459126528049375,21,60235,60336,480,-1.7199021041666667,3.4700393676757812
1257.0,193.8927001953125,-3.7116427421569824,52,0.0006200989009812474,0.0008459126528049375,21,65263,65364,716,-1.6844928846153846,11.598067283630371
1257.0,-48.25086212158203,4.387935161590576,56,0.0006412798538804054,0.0008459126528049375,21,70291,70392,951,-1.6540113392857143,2.0202693939208984
1257.0,12.736191749572754,8.340145111083984,60,0.0003254030307289213,0.0008459126528049375,21,75319,75420,19,-1.6418901666666665,5.425332546234131
1257.0,2.024960994720459,14.006396293640137,64,0.0010326533811166883,0.0008459126528049375,18,80347,80448,287,-1.61306721875,11.611345291137695
1257.0,6.4315595626831055,17.921445846557617,68,0.0007636896334588528,0.0008459126528049375,18,85375,85476,552,-1.6094702499999998,2.9354300498962402
1257.0,12.782087326049805,19.56715202331543,72,0.0005141496658325195,0.0008459126528049375,18,90403,90504,820,-1.603656888888889,2.891422748565674
1257.0,7.958683967590332,24.106277465820312,76,0.00045550355571322143,0.0008459126528049375,18,95431,95532,1090,-1.5924734605263158,7.3568115234375
