train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/episodes,time/time_elapsed,train/critic_loss
4931,-4.8888745,0.017215050756931305,-177.922119140625,1258.0,-121.49530029296875,5032,76,0.0008459126528049375,4,65,1.208664894104004
9963,-3.90830625,0.0008854119223542511,-42.44447326660156,1258.0,-127.65043640136719,10064,75,0.0008459126528049375,8,132,4.169317722320557
14995,-3.168002583333333,0.0009928724030032754,-31.241207122802734,1258.0,-125.54441833496094,15096,74,0.0008459126528049375,12,201,4.951383590698242
20027,-2.85336775,0.0011810717405751348,-33.69915008544922,1258.0,-119.56461334228516,20128,74,0.0008459126528049375,16,269,7.820273399353027
25059,-2.6535469999999997,0.0006365173030644655,-33.6535530090332,1258.0,-115.9960708618164,25160,74,0.0008459126528049375,20,2,1.944981575012207
30091,-2.4858852500000004,0.0006894411635585129,-50.21810531616211,1258.0,-112.45884704589844,30192,74,0.0008459126528049375,24,69,2.4648497104644775
35123,-2.403102321428572,0.00045667251106351614,147.75372314453125,1258.0,-95.50016021728516,35224,74,0.0008459126528049375,28,137,233.54168701171875
40155,-2.3116965,0.0006536757573485374,35.176876068115234,1258.0,-86.99212646484375,40256,74,0.0008459126528049375,32,204,2.4865994453430176
45187,-2.234576861111111,0.0009057616698555648,6.476357936859131,1258.0,-66.01957702636719,45288,74,0.0008459126528049375,36,271,3.858031988143921
50219,-2.163863375,0.0015132487751543522,-20.82269859313965,1258.0,-50.02878952026367,50320,76,0.0008459126528049375,40,4,14.543947219848633
55251,-2.1332375227272724,0.0006818938418291509,-2.704221725463867,1258.0,-41.8453254699707,55352,75,0.0008459126528049375,44,70,6.58852481842041
60283,-2.097611666666667,0.00044033388257957995,2.1622257232666016,1258.0,-35.95475387573242,60384,75,0.0008459126528049375,48,137,4.325669288635254
65315,-2.0592747884615386,0.00040274273487739265,-32.3079833984375,1258.0,-30.523775100708008,65416,75,0.0008459126528049375,52,203,2.5205330848693848
70347,-2.033003357142857,0.0003302775148767978,95.18036651611328,1258.0,-25.968833923339844,70448,75,0.0008459126528049375,56,271,2.773697853088379
75379,-2.0009973666666667,0.0003035384288523346,-73.87397766113281,1258.0,-22.009716033935547,75480,72,0.0008459126528049375,60,6,2.2735891342163086
80411,-1.9588922187500002,0.0003237102646380663,14.001500129699707,1258.0,-16.552154541015625,80512,70,0.0008459126528049375,64,78,1.4531872272491455
85443,-1.9337989264705886,0.00046542094787582755,-15.33652400970459,1258.0,-13.782665252685547,85544,69,0.0008459126528049375,68,152,5.195219039916992
90475,-1.900864861111111,0.0005639381124638021,25.461973190307617,1258.0,2.1908822059631348,90576,68,0.0008459126528049375,72,226,178.65438842773438
