time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,4114,0,512,,,,,,,,,,,,,
2,2361,0,1024,0.0004092704424510632,1.0005422830581665,0.014877931,16,-1.0666508674621582,0.08756489379447885,-43.99240970611572,-0.02937908802414313,0.2197265625,0.2,-0.04306899011135101,,
3,2056,0,1536,0.0004092704424510632,0.9989086389541626,0.019845195,32,0.011131048202514648,0.0030274933196778875,-43.98528742790222,-0.029087196788168512,0.275146484375,0.2,-0.03461979702115059,-2.511479,1223.0
4,1933,1,2048,0.0004092704424510632,0.997138500213623,0.023112198,48,-0.007381319999694824,0.07099295617081225,-43.9215772151947,-0.027947040798608214,0.2744140625,0.2,0.006158426403999329,-2.511479,1223.0
5,1871,1,2560,0.0004092704424510632,0.9948065876960754,0.02024826,64,0.017921924591064453,0.0019315607314638328,-43.863951683044434,-0.031078718879143707,0.3009033203125,0.2,-0.04349718987941742,-2.5308384999999998,1223.0
6,1833,1,3072,0.0004092704424510632,0.9928551912307739,0.012275949,80,-2.384185791015625e-07,0.07586950552649796,-43.79164755344391,-0.01961118296458153,0.214111328125,0.2,0.012223223224282265,-2.5308384999999998,1223.0
7,1811,1,3584,0.0004092704424510632,0.9908577799797058,0.016589,96,0.027347266674041748,0.0022639102026005276,-43.73113393783569,-0.026582733873510733,0.279052734375,0.2,-0.048201512545347214,-2.5308384999999998,1223.0
8,1789,2,4096,0.0004092704424510632,0.9893033504486084,0.016818367,112,0.0017563700675964355,0.0026909191910817754,-43.67272090911865,-0.02285747827409068,0.2537841796875,0.2,-0.030143165960907936,-2.504888,1223.0
9,1766,2,4608,0.0004092704424510632,0.9879586100578308,0.022292258,128,0.0011463761329650879,0.0997313060797751,-43.62799000740051,-0.03000847971998155,0.315673828125,0.2,0.011582281440496445,-2.504888,1223.0
10,1751,2,5120,0.0004092704424510632,0.9885094165802002,0.020138223,144,0.014884531497955322,0.00143185011256719,-43.61008608341217,-0.028930241416674107,0.2962646484375,0.2,-0.038900282233953476,-2.474222,1223.0
11,1738,3,5632,0.0004092704424510632,0.9898691773414612,0.01639812,160,0.0036588311195373535,0.10419009230099618,-43.63968622684479,-0.021440798809635453,0.2569580078125,0.2,0.021312709897756577,-2.474222,1223.0
12,1732,3,6144,0.0004092704424510632,0.9906553626060486,0.013251284,176,0.04825103282928467,0.002027386854024371,-43.67661643028259,-0.0264072346908506,0.223876953125,0.2,-0.043826013803482056,-2.4620154,1223.0
13,1726,3,6656,0.0004092704424510632,0.9904380440711975,0.014986503,192,0.008029341697692871,0.1030155410990119,-43.684906125068665,-0.029239399518701248,0.274169921875,0.2,-0.001863636076450348,-2.4620154,1223.0
