time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,4281,0,512,,,,,,,,,,,,,
2,2225,0,1024,0.0004092704424510632,0.9974885582923889,0.0138448365,16,-0.9131425619125366,0.12392090183493565,-43.953556060791016,-0.027680067403707653,0.2113037109375,0.2,-0.0403083898127079,,
3,1999,0,1536,0.0004092704424510632,0.9974504113197327,0.020921383,32,0.0021912455558776855,0.003403363087272737,-43.89830708503723,-0.03350682638119906,0.3021240234375,0.2,-0.048675287514925,-2.454361,1223.0
4,1929,1,2048,0.0004092704424510632,0.9984056949615479,0.014413566,48,0.014011025428771973,0.00461844611709239,-43.920225739479065,-0.02646008093142882,0.23828125,0.2,-0.041490405797958374,-2.454361,1223.0
5,1891,1,2560,0.0004092704424510632,0.9977976679801941,0.018553186,64,0.004409968852996826,0.001551354724142584,-43.93018424510956,-0.024784604203887284,0.2586669921875,0.2,-0.02742050774395466,-2.408016,1223.0
6,1856,1,3072,0.0004092704424510632,0.9979918003082275,0.018980049,80,-0.011252999305725098,0.0067740035156020895,-43.9149307012558,-0.03156271233456209,0.2784423828125,0.2,-0.03729154169559479,-2.408016,1223.0
7,1839,1,3584,0.0004092704424510632,0.9973625540733337,0.014852237,96,0.041384756565093994,0.00204277867305791,-43.91235971450806,-0.02292367933841888,0.230224609375,0.2,-0.02849213033914566,-2.408016,1223.0
8,1830,2,4096,0.0004092704424510632,0.9969882965087891,0.016801741,112,0.02866154909133911,0.0030228347968659364,-43.89479660987854,-0.028256459772819653,0.2791748046875,0.2,-0.044667426496744156,-2.3940876666666666,1223.0
9,1822,2,4608,0.0004092704424510632,0.9955027103424072,0.018577227,128,0.005961418151855469,0.017200760456034914,-43.86759972572327,-0.025481892706011422,0.262939453125,0.2,-0.03066975064575672,-2.3940876666666666,1223.0
10,1814,2,5120,0.0004092704424510632,0.9958876967430115,0.020467266,144,0.041424572467803955,0.0016514357394044055,-43.84041440486908,-0.024584415572462603,0.26953125,0.2,-0.022915169596672058,-2.40275025,1223.0
11,1816,3,5632,0.0004092704424510632,0.998030960559845,0.020063167,160,0.021207690238952637,0.021360406826715916,-43.87790048122406,-0.02612049999879673,0.2548828125,0.2,-0.015758102759718895,-2.40275025,1223.0
12,1815,3,6144,0.0004092704424510632,0.998852550983429,0.020286605,176,0.04297745227813721,0.0021047671580163296,-43.9367800951004,-0.030750135101698106,0.2611083984375,0.2,-0.03056231513619423,-2.444644,1223.0
13,1814,3,6656,0.0004092704424510632,0.9963396787643433,0.027036276,192,0.007101595401763916,0.030015340889804065,-43.91142761707306,-0.031155949953245,0.292236328125,0.2,-0.022922493517398834,-2.444644,1223.0
