time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,4016,0,512,,,,,,,,,,,,,
2,2213,0,1024,0.0004092704424510632,0.9989591836929321,0.014015973,16,-0.8770289421081543,0.1755682203147444,-43.97318458557129,-0.023457205708837137,0.2039794921875,0.2,-0.026911567896604538,,
3,1881,0,1536,0.0004092704424510632,1.000250220298767,0.021595512,32,-0.0012357234954833984,0.003814160871115746,-43.966756105422974,-0.03365263427258469,0.272705078125,0.2,-0.05489008128643036,-2.555757,1223.0
4,1766,1,2048,0.0004092704424510632,1.002095103263855,0.024098586,48,-0.006319522857666016,0.018963767972309142,-44.02099537849426,-0.02325227708206512,0.3355712890625,0.2,-0.01765783689916134,-2.555757,1223.0
5,1714,1,2560,0.0004092704424510632,1.0006811618804932,0.016138058,64,-0.0015026330947875977,0.002207844732765807,-44.03613793849945,-0.02768940303940326,0.2703857421875,0.2,-0.038238752633333206,-2.5227245,1223.0
6,1679,1,3072,0.0004092704424510632,1.00054132938385,0.022209026,80,-0.0008625984191894531,0.007925996993435547,-43.993159532547,-0.02388686697668163,0.3101806640625,0.2,-0.020427078008651733,-2.5227245,1223.0
7,1655,2,3584,0.0004092704424510632,1.0013595819473267,0.018655743,96,0.0013331770896911621,0.0023534634201496374,-44.00865149497986,-0.025477450020844117,0.2733154296875,0.2,-0.035656508058309555,-2.5227245,1223.0
8,1638,2,4096,0.0004092704424510632,1.0016387701034546,0.014141008,112,-0.004829049110412598,0.0027496913280629087,-44.02638494968414,-0.02215078623703448,0.228759765625,0.2,-0.014451975002884865,-2.4974719999999997,1223.0
9,1621,2,4608,0.0004092704424510632,1.0021147727966309,0.015109915,128,-0.002237677574157715,0.0032362103265768383,-44.036964893341064,-0.023612938239239156,0.214599609375,0.2,-0.04031798616051674,-2.4974719999999997,1223.0
10,1606,3,5120,0.0004092704424510632,1.0045942068099976,0.023807332,144,0.0057801008224487305,0.0015723212891316507,-44.076844573020935,-0.026281364072929136,0.2794189453125,0.2,-0.03515956550836563,-2.4578284999999997,1223.0
11,1596,3,5632,0.0004092704424510632,1.003712773323059,0.015632546,160,-0.0052988529205322266,0.0029931853314337786,-44.113510608673096,-0.028959186165593565,0.2752685546875,0.2,-0.0392083004117012,-2.4578284999999997,1223.0
12,1587,3,6144,0.0004092704424510632,1.0012551546096802,0.01390169,176,-0.0020133256912231445,0.0016017471352824941,-44.05272817611694,-0.021175175046664663,0.2091064453125,0.2,-0.031220968812704086,-2.4843539999999997,1223.0
13,1582,4,6656,0.0004092704424510632,0.9988887906074524,0.015482856,192,-0.0003641843795776367,0.0046870316145941615,-43.97287046909332,-0.027683087857440114,0.2708740234375,0.2,-0.03490963578224182,-2.4843539999999997,1223.0
14,1578,4,7168,0.0004092704424510632,0.9970568418502808,0.015265159,208,0.00017952919006347656,0.0033514257083879784,-43.90990209579468,-0.028681689756922424,0.2421875,0.2,-0.03364650160074234,-2.4843539999999997,1223.0
15,1573,4,7680,0.0004092704424510632,0.9948428273200989,0.019830536,224,0.0010001063346862793,0.0030964456673245877,-43.84649419784546,-0.023741542478092015,0.23876953125,0.2,-0.04230974614620209,-2.4857026666666666,1223.0
16,1569,5,8192,0.0004092704424510632,0.9933884143829346,0.020132802,240,-0.0011328458786010742,0.01374682056484744,-43.783366084098816,-0.023372241586912423,0.26416015625,0.2,-0.023533601313829422,-2.4857026666666666,1223.0
17,1568,5,8704,0.0004092704424510632,0.9915424585342407,0.022389125,256,0.0014113187789916992,0.0018043497275357367,-43.74568521976471,-0.028267996618524194,0.29150390625,0.2,-0.029635576531291008,-2.5054327142857145,1223.0
18,1566,5,9216,0.0004092704424510632,0.9926397204399109,0.018450877,272,0.0006358623504638672,0.02063863369403407,-43.713518142700195,-0.035227929445682094,0.2930908203125,0.2,-0.05306105315685272,-2.5054327142857145,1223.0
19,1565,6,9728,0.0004092704424510632,0.9925593733787537,0.013299935,288,0.006995737552642822,0.0022800827464379836,-43.74825394153595,-0.022825807362096384,0.23388671875,0.2,-0.0335971862077713,-2.5054327142857145,1223.0
20,1565,6,10240,0.0004092704424510632,0.9912353754043579,0.017859802,304,-0.0034009218215942383,0.002848799624189269,-43.71807134151459,-0.028111461782827973,0.2640380859375,0.2,-0.023761795833706856,-2.498163,1223.0
21,1564,6,10752,0.0004092704424510632,0.9914166927337646,0.02713,320,0.0006641745567321777,0.037413507932797074,-43.69500505924225,-0.02618090485339053,0.2823486328125,0.2,-0.019842123612761497,-2.498163,1223.0
22,1564,7,11264,0.0004092704424510632,0.9894024133682251,0.017398357,336,-0.005544543266296387,0.003457273451203946,-43.677515268325806,-0.025464601887506433,0.235595703125,0.2,-0.050353702157735825,-2.5010103333333333,1223.0
23,1565,7,11776,0.0004092704424510632,0.9885356426239014,0.02010521,352,0.00041031837463378906,0.04992155579384416,-43.62167823314667,-0.023462315162760206,0.2391357421875,0.2,-0.01824869215488434,-2.5010103333333333,1223.0
24,1564,7,12288,0.0004092704424510632,0.9875127673149109,0.0117844045,368,0.0027003884315490723,0.0015560262836515903,-43.59499979019165,-0.018544577935244888,0.16796875,0.2,-0.026636816561222076,-2.4997913,1223.0
25,1564,8,12800,0.0004092704424510632,0.9861108064651489,0.014534646,384,0.0010125041007995605,0.05697130796033889,-43.55149757862091,-0.017915353731950745,0.179931640625,0.2,0.015581810846924782,-2.4997913,1223.0
26,1564,8,13312,0.0004092704424510632,0.9862655997276306,0.012916977,400,0.0011593103408813477,0.0026294131494069006,-43.531511545181274,-0.019634672629763372,0.18017578125,0.2,-0.035799186676740646,-2.4997913,1223.0
27,1563,8,13824,0.0004092704424510632,0.9851674437522888,0.018376242,416,-0.0007551908493041992,0.0037427844654303044,-43.51997995376587,-0.02849362876440864,0.2449951171875,0.2,-0.03294502943754196,-2.5016144545454546,1223.0
28,1562,9,14336,0.0004092704424510632,0.9842764735221863,0.023259422,432,0.0005123019218444824,0.07819990115240216,-43.487603545188904,-0.02112006733659655,0.2364501953125,0.2,0.011916682124137878,-2.5016144545454546,1223.0
29,1562,9,14848,0.0004092704424510632,0.983864963054657,0.024259156,448,-0.0023529529571533203,0.0014462028393609216,-43.463985443115234,-0.02974786757840775,0.2884521484375,0.2,-0.056458331644535065,-2.48998875,1223.0
30,1562,9,15360,0.0004092704424510632,0.9838353395462036,0.018163081,464,0.0006383061408996582,0.08169997937511653,-43.45869851112366,-0.02104951426736079,0.2138671875,0.2,0.010975569486618042,-2.48998875,1223.0
31,1562,10,15872,0.0004092704424510632,0.9832543134689331,0.02071785,480,0.036531925201416016,0.0018264577010995708,-43.44513964653015,-0.025162820631521754,0.22998046875,0.2,-0.029627883806824684,-2.48998875,1223.0
