time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,4134,0,512,,,,,,,,,,,,,
2,2364,0,1024,0.0004092704424510632,0.9998008012771606,0.013357955,16,-0.7116820812225342,0.1903223693734617,-43.982858180999756,-0.022669049896649085,0.1990966796875,0.2,-0.03255220502614975,,
3,2055,0,1536,0.0004092704424510632,1.0023415088653564,0.014249737,32,-0.003451704978942871,0.003043561435333686,-44.01446998119354,-0.028134460968431085,0.2222900390625,0.2,-0.02938143163919449,-2.477626,1223.0
4,1937,1,2048,0.0004092704424510632,1.004892110824585,0.01893285,48,0.007387220859527588,0.007900122975115664,-44.09596335887909,-0.028994990716455504,0.278564453125,0.2,-0.03780224919319153,-2.477626,1223.0
5,1872,1,2560,0.0004092704424510632,1.005477786064148,0.021933926,64,0.005096912384033203,0.001527447950138594,-44.14951241016388,-0.03424043976701796,0.3104248046875,0.2,-0.04196275398135185,-2.4850494999999997,1223.0
6,1836,1,3072,0.0004092704424510632,1.002889633178711,0.020106465,80,0.0002536177635192871,0.003837546129943803,-44.117897272109985,-0.026809571805642918,0.29296875,0.2,-0.02327578142285347,-2.4850494999999997,1223.0
7,1814,1,3584,0.0004092704424510632,1.001663088798523,0.018765733,96,0.0006991028785705566,0.0026778715473483317,-44.04565489292145,-0.03288779369177064,0.290283203125,0.2,-0.044925060123205185,-2.4850494999999997,1223.0
8,1795,2,4096,0.0004092704424510632,1.0010710954666138,0.016566448,112,-0.0018398761749267578,0.003581402968848124,-44.02338933944702,-0.022903525736182928,0.255615234375,0.2,-0.02538144588470459,-2.498607333333333,1223.0
9,1779,2,4608,0.0004092704424510632,1.000937819480896,0.021729939,128,0.0007917881011962891,0.0029822174219589215,-44.01120746135712,-0.03273754075053148,0.314208984375,0.2,-0.03025730885565281,-2.498607333333333,1223.0
10,1764,2,5120,0.0004092704424510632,0.9999881982803345,0.0301084,144,0.007259488105773926,0.0015614156836818438,-43.99935293197632,-0.03449687111424282,0.37353515625,0.2,-0.04483465850353241,-2.48184325,1223.0
11,1751,3,5632,0.0004092704424510632,1.0002639293670654,0.017354552,160,0.0006592273712158203,0.005316562746884301,-43.98017692565918,-0.024955912871519104,0.26708984375,0.2,-0.03597964718937874,-2.48184325,1223.0
12,1746,3,6144,0.0004092704424510632,1.0024155378341675,0.017580763,176,-0.003294229507446289,0.0014674691701657139,-44.01637589931488,-0.027195070710149594,0.28515625,0.2,-0.036975961178541183,-2.4674144,1223.0
13,1741,3,6656,0.0004092704424510632,1.004287600517273,0.01737236,192,-0.0010073184967041016,0.01016267790691927,-44.086835980415344,-0.028058838048309553,0.2520751953125,0.2,-0.03473373502492905,-2.4674144,1223.0
14,1736,4,7168,0.0004092704424510632,1.0048202276229858,0.014071911,208,0.005555510520935059,0.0031323355506174266,-44.12122619152069,-0.024551226844778284,0.2177734375,0.2,-0.03391656279563904,-2.4674144,1223.0
15,1731,4,7680,0.0004092704424510632,1.0049070119857788,0.022221837,224,0.0013595819473266602,0.003436782211792888,-44.12811541557312,-0.02711720521620009,0.25732421875,0.2,-0.0313529409468174,-2.4951101666666666,1223.0
16,1727,4,8192,0.0004092704424510632,1.003666639328003,0.020338729,240,0.0006663799285888672,0.02242898748954758,-44.11276137828827,-0.025210747902747244,0.2637939453125,0.2,-0.024215277284383774,-2.4951101666666666,1223.0
17,1724,5,8704,0.0004092704424510632,1.0050418376922607,0.013134291,256,0.014485955238342285,0.001967772835996584,-44.09917497634888,-0.020025812002131715,0.2197265625,0.2,-0.033871132880449295,-2.4762482857142856,1223.0
18,1720,5,9216,0.0004092704424510632,1.006883144378662,0.022929441,272,0.0007932186126708984,0.028255448560230434,-44.159626960754395,-0.02598114003194496,0.259765625,0.2,-0.02795274183154106,-2.4762482857142856,1223.0
19,1716,5,9728,0.0004092704424510632,1.0052236318588257,0.020578777,288,0.0077553391456604,0.002452621116390219,-44.16733372211456,-0.024621798787848093,0.22705078125,0.2,-0.04084310680627823,-2.4762482857142856,1223.0
20,1713,5,10240,0.0004092704424510632,1.0061407089233398,0.01842761,304,0.009763002395629883,0.003317833208711818,-44.139201641082764,-0.026278722871211357,0.229736328125,0.2,-0.03154933452606201,-2.490237875,1223.0
21,1708,6,10752,0.0004092704424510632,1.0048027038574219,0.011528061,320,0.002068042755126953,0.04097493161680177,-44.14650225639343,-0.018248188600409776,0.1888427734375,0.2,-0.010210821405053139,-2.490237875,1223.0
22,1706,6,11264,0.0004092704424510632,1.0019152164459229,0.017564088,336,0.024478912353515625,0.0020689416105597047,-44.07393205165863,-0.027239544040639885,0.2384033203125,0.2,-0.04499982297420502,-2.5051603333333334,1223.0
23,1704,6,11776,0.0004092704424510632,1.0013070106506348,0.01377803,352,0.0029029250144958496,0.054201737977564335,-44.01368498802185,-0.023653471405850723,0.2098388671875,0.2,-0.00990677997469902,-2.5051603333333334,1223.0
24,1701,7,12288,0.0004092704424510632,1.0008902549743652,0.015078078,368,-0.21082007884979248,0.0016103925972856814,-44.0041184425354,-0.023356804027571343,0.21240234375,0.2,-0.03542571887373924,-2.5007101,1223.0
