rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/actor_loss
1258.0,5032,-4.03255925,0.017501864582300186,0.0008459126528049375,409,4931,-174.26036071777344,1.6749883890151978,12,4,-123.97178649902344
1258.0,10064,-3.041238125,0.0011075858492404222,0.0008459126528049375,807,9963,11.19118881225586,9.851068496704102,12,8,-130.40162658691406
1258.0,15096,-2.452347916666667,0.0007942418451420963,0.0008459126528049375,1205,14995,25.67318344116211,17.178241729736328,12,12,-126.63282775878906
1258.0,20128,-2.0684714375,0.0010530030122026801,0.0008459126528049375,1606,20027,179.14358520507812,3.3624348640441895,12,16,-115.20501708984375
1258.0,25160,-1.86106805,0.001621153554879129,0.0008459126528049375,12,25059,-48.963809967041016,5.22944450378418,12,20,-94.97240447998047
1258.0,30192,-1.7664271666666664,0.0006967961089685559,0.0008459126528049375,423,30091,-64.93180847167969,2.2785935401916504,12,24,-89.94361114501953
1258.0,35224,-1.680215321428571,0.00038145174039527774,0.0008459126528049375,835,35123,40.14625930786133,1.655794620513916,12,28,-87.94234466552734
1258.0,40256,-1.58919778125,0.0012247179402038455,0.0008459126528049375,1250,40155,146.47610473632812,4.743923187255859,12,32,-83.67293548583984
1258.0,45288,-1.550215138888889,0.001254082890227437,0.0008459126528049375,1669,45187,-32.78227996826172,11.762989044189453,12,36,-59.410484313964844
1258.0,50320,-1.5047878749999999,0.0005387392011471093,0.0008459126528049375,25,50219,60.197425842285156,30.796977996826172,12,40,-55.108638763427734
1258.0,55352,-1.4888471818181819,0.0007346422644332051,0.0008459126528049375,437,55251,1.5770912170410156,13.382728576660156,12,44,-32.29490661621094
1258.0,60384,-1.4566433124999998,0.0006541347247548401,0.0008459126528049375,836,60283,-16.412588119506836,5.958896636962891,12,48,-27.031389236450195
1258.0,65416,-1.4484591153846151,0.00047017729957588017,0.0008459126528049375,1243,65315,20.042625427246094,7.182625770568848,12,52,-19.365970611572266
1258.0,70448,-1.4284133571428572,0.0017493320629000664,0.0008459126528049375,1652,70347,-4.37693977355957,5.429391860961914,12,56,-15.398759841918945
1258.0,75480,-1.4133518333333333,0.0018340108217671514,0.0008459126528049375,39,75379,59.98500061035156,29.05816650390625,12,60,2.381486177444458
