time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,2718,,,,,,,,,,,,,
0,2,1024,1714,16,0.0004092704424510632,0.9999602437019348,0.2523193359375,-0.027928293886361644,-43.9896274805069,-0.6149197816848755,0.2,0.09392028814545483,0.016242355,-0.05005989968776703,,
0,3,1536,1544,32,0.0004092704424510632,0.9995629191398621,0.33837890625,-0.031014511623652652,-43.97976243495941,-0.011842846870422363,0.2,0.010510607564356178,0.022152519,-0.03538481891155243,-3.339793,1258.0
1,4,2048,1471,48,0.0004092704424510632,0.9988383054733276,0.246826171875,-0.027693292911862954,-43.96008121967316,0.018826067447662354,0.2,0.0054971254139672965,0.01608942,-0.030358733609318733,-3.339793,1258.0
1,5,2560,1426,64,0.0004092704424510632,0.9975723624229431,0.295166015625,-0.029524048601160757,-43.92940008640289,0.006994962692260742,0.2,0.015167711564572528,0.017198391,-0.03209379315376282,-3.4282285,1258.0
2,6,3072,1399,80,0.0004092704424510632,0.9961993098258972,0.1923828125,-0.020655251835705712,-43.88829791545868,0.00426870584487915,0.2,0.008070627969573252,0.011393381,-0.012775200419127941,-3.4282285,1258.0
2,7,3584,1381,96,0.0004092704424510632,0.9959299564361572,0.28662109375,-0.030386810889467597,-43.85570669174194,0.0016907453536987305,0.2,0.009995416679885238,0.024440866,-0.042522527277469635,-3.4282285,1258.0
2,8,4096,1368,112,0.0004092704424510632,0.9969397783279419,0.2239990234375,-0.02535405608068686,-43.86883473396301,0.03613245487213135,0.2,0.0027328178875904996,0.014166073,-0.031468816101551056,-3.3605483333333335,1258.0
3,9,4608,1357,128,0.0004092704424510632,0.996969997882843,0.2740478515625,-0.027051353186834604,-43.889097571372986,0.0025762319564819336,0.2,0.019336527271661907,0.018220987,-0.03797755390405655,-3.3605483333333335,1258.0
3,10,5120,1349,144,0.0004092704424510632,0.9969776272773743,0.2899169921875,-0.02567381097469479,-43.88504767417908,0.010543465614318848,0.2,0.01004408166045323,0.022317123,-0.03962075337767601,-3.3167415,1258.0
4,11,5632,1343,160,0.0004092704424510632,0.99575275182724,0.2730712890625,-0.02423199897748418,-43.87022125720978,0.0037817955017089844,0.2,0.03140873817028478,0.018117314,-0.024804551154375076,-3.3167415,1258.0
4,12,6144,1337,176,0.0004092704424510632,0.9970912337303162,0.31396484375,-0.024435866362182423,-43.854299902915955,0.04820460081100464,0.2,0.009278337995056063,0.026708776,-0.0255298912525177,-3.3167415,1258.0
4,13,6656,1332,192,0.0004092704424510632,0.9982796907424927,0.231201171875,-0.02114797563990578,-43.90949845314026,0.02534705400466919,0.2,0.0031523618345090654,0.016824469,-0.031984224915504456,-3.2838154000000004,1258.0
5,14,7168,1359,208,0.0004092704424510632,0.9980586767196655,0.2969970703125,-0.026379486836958677,-43.91714823246002,0.002704024314880371,0.2,0.052187043242156506,0.022633329,-0.005479281768202782,-3.2838154000000004,1258.0
5,15,7680,1382,224,0.0004092704424510632,0.9987425804138184,0.275146484375,-0.0262781300698407,-43.919564843177795,0.058528244495391846,0.2,0.011696986039169133,0.023930714,-0.03059976175427437,-3.2503355000000003,1258.0
5,16,8192,1404,240,0.0004092704424510632,0.9991041421890259,0.25537109375,-0.023748089210130274,-43.93965971469879,0.026531219482421875,0.2,0.06563229521270841,0.017699838,-0.004666123539209366,-3.2503355000000003,1258.0
6,17,8704,1424,256,0.0004092704424510632,0.999472975730896,0.24951171875,-0.028582873914274387,-43.948755502700806,0.34608858823776245,0.2,0.007524349566665478,0.019118762,-0.04428730905056,-3.2503355000000003,1258.0
6,18,9216,1442,272,0.0004092704424510632,0.9999818205833435,0.2510986328125,-0.02684945848886855,-43.95672678947449,0.052037596702575684,0.2,0.0043242358733550645,0.019342754,-0.03944987431168556,-3.2644485714285714,1258.0
6,19,9728,1458,288,0.0004092704424510632,1.0005244016647339,0.240966796875,-0.026613824971718714,-43.97478711605072,0.012875020503997803,0.2,0.07114203413948417,0.022665769,-0.016938012093305588,-3.2644485714285714,1258.0
6,20,10240,1470,304,0.0004092704424510632,0.9993826746940613,0.2203369140625,-0.025489059888059273,-43.971495151519775,0.26498472690582275,0.2,0.010869444944546558,0.016913109,-0.03889233618974686,-3.2631959999999998,1258.0
7,21,10752,1485,320,0.0004092704424510632,0.99843430519104,0.255859375,-0.0247578356647864,-43.932530879974365,0.19933420419692993,0.2,0.0630926025332883,0.018872749,-0.004073575139045715,-3.2631959999999998,1258.0
7,22,11264,1498,336,0.0004092704424510632,0.9992809891700745,0.2347412109375,-0.024807089212117717,-43.92865180969238,-0.057489633560180664,0.2,0.007621339929755777,0.017831463,-0.036796122789382935,-3.2631959999999998,1258.0
7,23,11776,1511,352,0.0004092704424510632,1.0009490251541138,0.2486572265625,-0.026015240713604726,-43.97056448459625,-0.11784505844116211,0.2,0.003916649933671579,0.018426614,-0.031960081309080124,-3.2548039999999996,1258.0
8,24,12288,1522,368,0.0004092704424510632,1.0013893842697144,0.3404541015625,-0.02771787910023704,-44.007559299468994,0.051274895668029785,0.2,0.06592856906354427,0.03639648,-0.010539930313825607,-3.2548039999999996,1258.0
