time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,3960,,,,,,,,,,,,,
0,2,1024,2505,16,0.0004092704424510632,0.9974237680435181,0.2744140625,-0.031286624376662076,-43.94626832008362,-1.3184921741485596,0.2,0.1425500752957305,0.018657345,-0.03914090618491173,,
0,3,1536,2236,32,0.0004092704424510632,0.9960482716560364,0.3404541015625,-0.03309634706238285,-43.88257360458374,-0.006398439407348633,0.2,0.007572823102236725,0.029247852,-0.035027019679546356,-3.03052,1258.0
0,4,2048,2122,48,0.0004092704424510632,0.9938008189201355,0.2921142578125,-0.02591458146343939,-43.82900869846344,-0.00016319751739501953,0.2,0.02502994058886543,0.020600459,-0.01174263283610344,-3.03052,1258.0
1,5,2560,2057,64,0.0004092704424510632,0.9944931268692017,0.321044921875,-0.026519644889049232,-43.79438781738281,0.008236408233642578,0.2,0.011329166387440637,0.025227338,-0.03071971796452999,-3.1467935000000002,1258.0
1,6,3072,2019,80,0.0004092704424510632,0.995463490486145,0.325927734375,-0.02954691238119267,-43.83103954792023,0.0035784244537353516,0.2,0.03715186921181157,0.021500124,-0.025217168033123016,-3.1467935000000002,1258.0
1,7,3584,1991,96,0.0004092704424510632,0.9938451647758484,0.221435546875,-0.018744735905784182,-43.824326157569885,0.007471859455108643,0.2,0.00884474633494392,0.015705332,-0.017632607370615005,-3.1467935000000002,1258.0
2,8,4096,1971,112,0.0004092704424510632,0.994278073310852,0.2750244140625,-0.028186817857204005,-43.789196848869324,0.013543009757995605,0.2,0.0018236836149299052,0.015412122,-0.031087102368474007,-3.0581286666666667,1258.0
2,9,4608,1955,128,0.0004092704424510632,0.9942360520362854,0.2484130859375,-0.023151534522185102,-43.80858504772186,0.0017837285995483398,0.2,0.056522273807786405,0.016727384,-0.00041583552956581116,-3.0581286666666667,1258.0
2,10,5120,1943,144,0.0004092704424510632,0.9921982288360596,0.3006591796875,-0.031183016442810185,-43.77303171157837,0.023098230361938477,0.2,0.0106775845924858,0.025254976,-0.042255908250808716,-3.11332,1258.0
2,11,5632,1934,160,0.0004092704424510632,0.9923543334007263,0.2569580078125,-0.02797479258151725,-43.73506951332092,0.006568253040313721,0.2,0.07140516291838139,0.01760786,-0.007178056985139847,-3.11332,1258.0
3,12,6144,1926,176,0.0004092704424510632,0.9934648871421814,0.251953125,-0.026168312469962984,-43.75540053844452,0.19833791255950928,0.2,0.006977044366067275,0.017821414,-0.0361173041164875,-3.11332,1258.0
3,13,6656,1919,192,0.0004092704424510632,0.9923619627952576,0.29541015625,-0.03226667482522316,-43.766372203826904,0.09986323118209839,0.2,0.0029219916177680716,0.019311737,-0.03620520606637001,-3.1396116,1258.0
3,14,7168,1913,208,0.0004092704424510632,0.9904007911682129,0.2452392578125,-0.024630437983432785,-43.70854890346527,0.020485281944274902,0.2,0.08716203016228974,0.016328264,0.00534231960773468,-3.1396116,1258.0
4,15,7680,1908,224,0.0004092704424510632,0.98866206407547,0.277587890625,-0.028740972666128073,-43.650633811950684,0.2373594045639038,0.2,0.006443846672482323,0.021905098,-0.047552186995744705,-3.1213951666666664,1258.0
4,16,8192,1904,240,0.0004092704424510632,0.9882985353469849,0.2933349609375,-0.03267993221379584,-43.61472702026367,0.1043819785118103,0.2,0.09058454656042159,0.02763284,-0.008646037429571152,-3.1213951666666664,1258.0
4,17,8704,1900,256,0.0004092704424510632,0.9898031949996948,0.234130859375,-0.023390477988868952,-43.624913811683655,-0.1424248218536377,0.2,0.011562435567611828,0.019976318,-0.031690388917922974,-3.1213951666666664,1258.0
4,18,9216,1896,272,0.0004092704424510632,0.9903727173805237,0.279541015625,-0.030207896867068484,-43.667746901512146,0.23375582695007324,0.2,0.0032930821253103204,0.019499997,-0.04404953494668007,-3.11627,1258.0
5,19,9728,1893,288,0.0004092704424510632,0.989417314529419,0.294677734375,-0.02849242747470271,-43.65348517894745,0.08080065250396729,0.2,0.07739086786750704,0.030827854,-0.01620141789317131,-3.11627,1258.0
5,20,10240,1890,304,0.0004092704424510632,0.9894211888313293,0.20068359375,-0.021353447024011984,-43.637036204338074,-0.5437107086181641,0.2,0.013438881360343657,0.016316459,-0.03262406587600708,-3.12250375,1258.0
5,21,10752,1887,320,0.0004092704424510632,0.9894278049468994,0.264404296875,-0.02614290642668493,-43.639898896217346,0.16365975141525269,0.2,0.06595606717746705,0.017939463,-0.006784494966268539,-3.12250375,1258.0
5,22,11264,1885,336,0.0004092704424510632,0.9899938106536865,0.25732421875,-0.024502272841345984,-43.64246964454651,-0.5931844711303711,0.2,0.010033333470346406,0.02093019,-0.0382281169295311,-3.12250375,1258.0
6,23,11776,1884,352,0.0004092704424510632,0.9914233088493347,0.2364501953125,-0.02988184744026512,-43.674187421798706,0.1750410795211792,0.2,0.003579339070711285,0.019714907,-0.04087160900235176,-3.1392783333333334,1258.0
6,24,12288,1882,368,0.0004092704424510632,0.9925956130027771,0.27587890625,-0.02689071121858433,-43.7175372838974,0.1594119668006897,0.2,0.06234838895034045,0.023638071,-0.024135693907737732,-3.1392783333333334,1258.0
6,25,12800,1880,384,0.0004092704424510632,0.990351140499115,0.2803955078125,-0.031101052329177037,-43.708391070365906,-1.401366949081421,0.2,0.01614170882385224,0.025474751,-0.02904491499066353,-3.1610073,1258.0
7,26,13312,1879,400,0.0004092704424510632,0.9883812069892883,0.2462158203125,-0.024681284849066287,-43.6278737783432,0.4245259761810303,0.2,0.06786207878030837,0.020550048,-0.005678452551364899,-3.1610073,1258.0
7,27,13824,1878,416,0.0004092704424510632,0.9858782291412354,0.2093505859375,-0.022506453446112573,-43.562824726104736,0.20299476385116577,0.2,0.020741702086525038,0.019520747,-0.020036470144987106,-3.1610073,1258.0
7,28,14336,1876,432,0.0004092704424510632,0.9842962026596069,0.244873046875,-0.02703473334258888,-43.4908481836319,0.6759425401687622,0.2,0.013472792838001624,0.01948306,-0.028638416901230812,-3.1548299090909087,1258.0
7,29,14848,1875,448,0.0004092704424510632,0.9839120507240295,0.30419921875,-0.029181059740949422,-43.46180510520935,0.6180768013000488,0.2,0.03045533297699876,0.03964544,-0.02691975235939026,-3.1548299090909087,1258.0
8,30,15360,1874,464,0.0004092704424510632,0.9841119647026062,0.2279052734375,-0.027129333902848884,-43.463589906692505,-1.5786569118499756,0.2,0.010163925486267544,0.0175683,-0.025980105623602867,-3.1551101666666663,1258.0
