rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef
1257.0,153,3.5163931846618652,4927,-122.42121887207031,-174.0838623046875,4,32,-4.7203367499999995,0.0008459126528049375,5028,0.01687445305287838
1257.0,309,2.883759021759033,9955,-129.69198608398438,-28.74867057800293,8,32,-3.6041581249999997,0.0008459126528049375,10056,0.0006746916915290058
1257.0,466,5.31894588470459,14983,-122.26781463623047,25.183847427368164,12,32,-2.8546103333333335,0.0008459126528049375,15084,0.0015836162492632866
1257.0,623,78.34467315673828,20011,-109.21936798095703,175.77618408203125,16,32,-2.5548747499999998,0.0008459126528049375,20112,0.0013847583904862404
1257.0,5,2.126950740814209,25039,-105.29562377929688,43.014015197753906,20,25,-2.3714283,0.0008459126528049375,25140,0.000710995402187109
1257.0,204,2.383368968963623,30067,-102.32022857666016,60.053192138671875,24,25,-2.2432974583333336,0.0008459126528049375,30168,0.000354686810169369
1257.0,403,1.7948472499847412,35095,-96.51422882080078,4.277029514312744,28,25,-2.1027238571428573,0.0008459126528049375,35196,0.0008788685081526637
1257.0,601,93.20381164550781,40123,-78.69953918457031,350.2898864746094,32,25,-2.01737934375,0.0008459126528049375,40224,0.0006672218441963196
1257.0,791,9.930580139160156,45151,-75.41336059570312,12.49964714050293,36,25,-1.9569686944444444,0.0008459126528049375,45252,0.0004847235686611384
1257.0,8,1.9962759017944336,50179,-70.11222839355469,55.345787048339844,40,32,-1.9014499749999998,0.0008459126528049375,50280,0.000500535941682756
1257.0,163,2.2992165088653564,55207,-63.37489318847656,-76.10204315185547,44,32,-1.8574912045454546,0.0008459126528049375,55308,0.0003284278209321201
1257.0,318,1.2446728944778442,60235,-62.582496643066406,5.354348659515381,48,32,-1.800425854166667,0.0008459126528049375,60336,0.0007311496301554143
1257.0,508,2.2718734741210938,65263,-56.13642120361328,30.804624557495117,52,30,-1.7763833076923077,0.0008459126528049375,65364,0.00031682488042861223
1257.0,687,10.188791275024414,70291,-55.9734001159668,23.398067474365234,56,29,-1.753773375,0.0008459126528049375,70392,0.0004763204196933657
1257.0,13,2.471463203430176,75319,-53.31949234008789,59.389442443847656,60,31,-1.7294802833333336,0.0008459126528049375,75420,0.00041442399378865957
1257.0,177,1.374725341796875,80347,-50.92453384399414,-100.86288452148438,64,30,-1.702986125,0.0008459126528049375,80448,0.00024407263845205307
1257.0,346,2.3114242553710938,85375,-46.81857681274414,-29.07656478881836,68,30,-1.691220367647059,0.0008459126528049375,85476,0.0005313634173944592
1257.0,534,3.262908935546875,90403,-33.02705383300781,-33.617977142333984,72,29,-1.6670836666666669,0.0008459126528049375,90504,0.0006881769513711333
1257.0,722,1.1503167152404785,95431,-32.005313873291016,23.37076759338379,76,28,-1.657548763157895,0.0008459126528049375,95532,0.0007948567508719862
