rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef
1257.0,152,2.12632417678833,4927,-124.02714538574219,-186.05479431152344,4,32,-4.549196500000001,0.0008459126528049375,5028,0.017550110816955566
1257.0,311,4.020131587982178,9955,-132.1181182861328,77.82025909423828,8,32,-3.67175325,0.0008459126528049375,10056,0.0012381303822621703
1257.0,508,7.038054466247559,14983,-135.86087036132812,-28.163707733154297,12,29,-3.066261666666666,0.0008459126528049375,15084,0.000677208008710295
1257.0,705,6.301750183105469,20011,-138.22006225585938,120.08734130859375,16,28,-2.7257274999999996,0.0008459126528049375,20112,0.0009105649660341442
1257.0,5,9.540042877197266,25039,-117.38990020751953,225.06983947753906,20,25,-2.5503402499999996,0.0008459126528049375,25140,0.0007019337499514222
1257.0,201,3.6766936779022217,30067,-116.5112533569336,98.2795639038086,24,25,-2.407974583333333,0.0008459126528049375,30168,0.0007721834699623287
1257.0,387,3.375861167907715,35095,-112.82441711425781,-4.615422248840332,28,26,-2.2665465357142853,0.0008459126528049375,35196,0.0005553798982873559
1257.0,547,3.8515424728393555,40123,-110.72051239013672,29.170900344848633,32,27,-2.2008409687499997,0.0008459126528049375,40224,0.0005937470705248415
1257.0,707,11.469673156738281,45151,-110.5361099243164,-33.707542419433594,36,28,-2.1076670277777776,0.0008459126528049375,45252,0.00043670806917361915
1257.0,10,2.4876556396484375,50179,-105.73577117919922,-50.615352630615234,40,26,-2.036297875,0.0008459126528049375,50280,0.00047854005242697895
1257.0,203,1.8133422136306763,55207,-101.99873352050781,65.62287139892578,44,26,-1.981793568181818,0.0008459126528049375,55308,0.0005151651566848159
1257.0,395,4.373981952667236,60235,-90.64795684814453,40.23442077636719,48,26,-1.9419096041666666,0.0008459126528049375,60336,0.0003868996864184737
1257.0,589,4.478809356689453,65263,-84.64320373535156,39.88950729370117,52,26,-1.889132173076923,0.0008459126528049375,65364,0.0006675260956399143
1257.0,777,13.922426223754883,70291,-42.90421676635742,-5.619762897491455,56,26,-1.853723892857143,0.0008459126528049375,70392,0.0010768610518425703
1257.0,12,7.684252738952637,75319,-30.51669692993164,-2.4520273208618164,60,33,-1.8335273833333334,0.0008459126528049375,75420,0.0009542293264530599
1257.0,173,4.50880241394043,80347,-19.03258514404297,-27.212095260620117,64,31,-1.80787221875,0.0008459126528049375,80448,0.0009662811644375324
1257.0,337,12.206819534301758,85375,-14.318842887878418,-37.97258377075195,68,31,-1.7775200000000002,0.0008459126528049375,85476,0.0009040227741934359
1257.0,485,4.8636698722839355,90403,-1.3163888454437256,-34.645626068115234,72,31,-1.7494103472222222,0.0008459126528049375,90504,0.0013120954390615225
1257.0,629,24.499324798583984,95431,35.756534576416016,-51.793914794921875,76,32,-1.7307051973684213,0.0008459126528049375,95532,0.0016327827470377088
