train/ent_coef,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/learning_rate,rollout/ep_len_mean,time/fps,train/critic_loss,train/n_updates
0.016942566260695457,-4.37725575,-121.18163299560547,5032,-181.40585327148438,472,4,0.0008459126528049375,1258.0,10,1.2135944366455078,4931
0.0009796201484277844,-3.2240098749999997,-128.62527465820312,10064,-21.93047523498535,948,8,0.0008459126528049375,1258.0,10,5.959103107452393,9963
0.000907986075617373,-2.5246569999999995,-131.98477172851562,15096,78.35821533203125,1419,12,0.0008459126528049375,1258.0,10,4.739844799041748,14995
0.0015277413185685873,-2.18340025,-128.725341796875,20128,106.68656158447266,1890,16,0.0008459126528049375,1258.0,10,16.978607177734375,20027
0.0011329371482133865,-1.9494864500000002,-115.44886779785156,25160,-44.3289909362793,14,20,0.0008459126528049375,1258.0,10,4.035370826721191,25059
0.0016375655541196465,-1.805728666666667,-93.14436340332031,30192,68.83650207519531,494,24,0.0008459126528049375,1258.0,10,9.421713829040527,30091
0.0008168419008143246,-1.6995556071428572,-91.0167236328125,35224,55.18771743774414,962,28,0.0008459126528049375,1258.0,10,5.354975700378418,35123
0.0011593156959861517,-1.61484690625,-85.9696273803711,40256,-35.428096771240234,1425,32,0.0008459126528049375,1258.0,10,4.1910080909729,40155
0.0005556651740334928,-1.5742537222222224,-78.59042358398438,45288,104.28633880615234,1884,36,0.0008459126528049375,1258.0,10,3.7585318088531494,45187
0.0004775783163495362,-1.5253679249999998,-71.83391571044922,50320,-24.87141227722168,29,40,0.0008459126528049375,1258.0,10,4.123549938201904,50219
0.0006942076724953949,-1.471880159090909,-66.97695922851562,55352,-48.21307373046875,492,44,0.0008459126528049375,1258.0,10,2.9218456745147705,55251
0.0007124971598386765,-1.4570886250000001,-59.121341705322266,60384,-12.191922187805176,971,48,0.0008459126528049375,1258.0,10,9.749496459960938,60283
0.0006779294926673174,-1.4275799423076925,-55.59894943237305,65416,33.97905731201172,1449,52,0.0008459126528049375,1258.0,10,8.696637153625488,65315
