time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1315,5632,11,4,0.2,-0.026697164721554145,0.011006617045495659,-43.94484257698059,0.9985732436180115,0.0004092704424510632,-0.031519562005996704,0.0025229454040527344,160,0.291748046875,0.022368548,-2.1584095000000003,1258.0
1309,6144,12,4,0.2,-0.022271966299740598,0.001662057360590552,-43.91092920303345,0.9971137046813965,0.0004092704424510632,-0.021608736366033554,0.017511844635009766,176,0.2159423828125,0.013748353,-2.1584095000000003,1258.0
1304,6656,13,5,0.2,-0.029138903963030316,0.003512113311444409,-43.86858546733856,0.9959778785705566,0.0004092704424510632,-0.04292773827910423,0.00708383321762085,192,0.29736328125,0.022157133,-2.1534754000000005,1258.0
1300,7168,14,5,0.2,-0.030142110481392592,0.018631250510225073,-43.847567558288574,0.9960073232650757,0.0004092704424510632,-0.02559194341301918,0.0030331015586853027,208,0.3077392578125,0.025796246,-2.1534754000000005,1258.0
1296,7680,15,5,0.2,-0.024861919140676036,0.003915489243809134,-43.84754204750061,0.9960033893585205,0.0004092704424510632,-0.042185451835393906,0.17068344354629517,224,0.2637939453125,0.01690323,-2.1494898333333334,1258.0
1293,8192,16,6,0.2,-0.026752896752441302,0.022006054176017642,-43.83529448509216,0.995347797870636,0.0004092704424510632,-0.02023613452911377,0.01839625835418701,240,0.3128662109375,0.020763116,-2.1494898333333334,1258.0
1289,8704,17,6,0.2,-0.028172230027848855,0.001993283694901038,-43.8137971162796,0.9946621656417847,0.0004092704424510632,-0.04536130279302597,0.09067100286483765,256,0.30615234375,0.022725418,-2.1494898333333334,1258.0
1287,9216,18,7,0.2,-0.026923010635073297,0.004301769113226328,-43.809659004211426,0.9949123859405518,0.0004092704424510632,-0.03213842213153839,0.016111016273498535,272,0.278076171875,0.024550423,-2.135939285714286,1258.0
1284,9728,19,7,0.2,-0.025083523709326982,0.029337984567973763,-43.821211099624634,0.9956070184707642,0.0004092704424510632,-0.031702518463134766,0.02771890163421631,288,0.227783203125,0.0180359,-2.135939285714286,1258.0
1282,10240,20,7,0.2,-0.031666024355217814,0.002532704053010093,-43.857725739479065,0.9977377653121948,0.0004092704424510632,-0.04927768185734749,0.5598067045211792,304,0.294677734375,0.018448908,-2.1435850000000003,1258.0
1279,10752,21,8,0.2,-0.03271585120819509,0.02307788169127889,-43.91524386405945,0.9982403516769409,0.0004092704424510632,-0.04028463736176491,0.2900594472885132,320,0.332275390625,0.0351584,-2.1435850000000003,1258.0
1278,11264,22,8,0.2,-0.026749172597192228,0.0020977417334506754,-43.89130413532257,0.9968898892402649,0.0004092704424510632,-0.045852433890104294,-0.08653378486633301,336,0.2467041015625,0.016671803,-2.1435850000000003,1258.0
1276,11776,23,9,0.2,-0.026470520067960024,0.002502854826161638,-43.86452639102936,0.9971436858177185,0.0004092704424510632,-0.035440679639577866,0.24493467807769775,352,0.2703857421875,0.021264374,-2.144762888888889,1258.0
1273,12288,24,9,0.2,-0.024759497173363343,0.026039497752208263,-43.88509666919708,0.9976610541343689,0.0004092704424510632,-0.01780448481440544,0.15202105045318604,368,0.294921875,0.029149607,-2.144762888888889,1258.0
1271,12800,25,10,0.2,-0.02183520296239294,0.007237655474455096,-43.88985311985016,0.9977854490280151,0.0004092704424510632,-0.02903810329735279,0.24862313270568848,384,0.2139892578125,0.014207046,-2.1287432,1258.0
1269,13312,26,10,0.2,-0.024743473128182814,0.023229340877151117,-43.86359226703644,0.9956619143486023,0.0004092704424510632,-0.023619264364242554,0.5062175989151001,400,0.2635498046875,0.01980098,-2.1287432,1258.0
1267,13824,27,10,0.2,-0.023670714581385255,0.0019137709114147583,-43.80335533618927,0.9943052530288696,0.0004092704424510632,-0.036974504590034485,-2.3997433185577393,416,0.2698974609375,0.023891773,-2.1287432,1258.0
1266,14336,28,11,0.2,-0.025300721521489322,0.0032690483130863868,-43.80497062206268,0.9963269233703613,0.0004092704424510632,-0.03488969802856445,0.29472440481185913,432,0.2442626953125,0.016388295,-2.1237231818181823,1258.0
1265,14848,29,11,0.2,-0.02392322059313301,0.021727104554884136,-43.841007113456726,0.9956844449043274,0.0004092704424510632,-0.028507672250270844,0.1260364055633545,448,0.3203125,0.03587349,-2.1237231818181823,1258.0
