train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,time/episodes,train/n_updates,time/time_elapsed,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps
2.017117500305176,-122.25129699707031,0.0008459126528049375,0.01703774183988571,4,4931,167,30,-169.5768585205078,-5.420455,1258.0,5032
4.255103588104248,-127.60275268554688,0.0008459126528049375,0.0008132481016218662,8,9963,330,30,-38.907798767089844,-4.332591125,1258.0,10064
4.76405143737793,-125.80879974365234,0.0008459126528049375,0.0009510999079793692,12,14995,525,28,-58.25576400756836,-3.6704941666666673,1258.0,15096
3.9262988567352295,-109.29534149169922,0.0008459126528049375,0.001561552518978715,16,20027,722,27,-37.447261810302734,-3.31009925,1258.0,20128
8.561650276184082,-92.97128295898438,0.0008459126528049375,0.001156518585048616,20,25059,5,31,29.88461685180664,-3.1331065999999996,1258.0,25160
3.4424571990966797,-89.45978546142578,0.0008459126528049375,0.0007395890424959362,24,30091,174,29,-59.03247833251953,-2.927268625,1258.0,30192
1.5268155336380005,-67.51869201660156,0.0008459126528049375,0.00047992097097449005,28,35123,340,30,22.386295318603516,-2.8344370000000003,1258.0,35224
1.014784336090088,-62.74219512939453,0.0008459126528049375,0.00040700717363506556,32,40155,501,30,-2.2522549629211426,-2.73167359375,1258.0,40256
2.115793228149414,-60.4393424987793,0.0008459126528049375,0.00046943084453232586,36,45187,671,30,31.949722290039062,-2.6963489999999997,1258.0,45288
1.347783088684082,-56.65167999267578,0.0008459126528049375,0.0006435525137931108,40,50219,9,32,2.140737771987915,-2.64276035,1258.0,50320
1.532111406326294,-55.22633361816406,0.0008459126528049375,0.0004911162541247904,44,55251,200,26,3.488675355911255,-2.5884690227272724,1258.0,55352
0.9779952764511108,-50.80821228027344,0.0008459126528049375,0.00025041933986358345,48,60283,379,27,125.70549011230469,-2.5481816041666665,1258.0,60384
4.74755859375,-48.63787841796875,0.0008459126528049375,0.0004454640729818493,52,65315,552,27,-4.4086785316467285,-2.5170938461538457,1258.0,65416
0.723385214805603,-45.24577713012695,0.0008459126528049375,0.000601481762714684,56,70347,708,28,-32.42375946044922,-2.504213767857143,1258.0,70448
2.4318594932556152,-41.73529052734375,0.0008459126528049375,0.0004501654184423387,60,75379,13,35,-57.96608352661133,-2.5010423,1258.0,75480
1.0182898044586182,-41.26181411743164,0.0008459126528049375,0.0004323125467635691,64,80411,159,34,-101.9794921875,-2.4801952343750004,1258.0,80512
1.7550045251846313,-37.4833984375,0.0008459126528049375,0.00021794126951135695,68,85443,315,33,42.20762252807617,-2.4776781176470593,1258.0,85544
0.9632599949836731,-39.01457977294922,0.0008459126528049375,0.00038405193481594324,72,90475,448,34,-1.3538682460784912,-2.449361458333333,1258.0,90576
17.019132614135742,-28.484519958496094,0.0008459126528049375,0.0003517461009323597,76,95507,591,34,59.76121139526367,-2.4253024078947365,1258.0,95608
