train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,time/episodes,train/n_updates,time/time_elapsed,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps
1.9599273204803467,-122.65196990966797,0.0008459126528049375,0.017450248822569847,4,4931,170,29,-170.85687255859375,-5.30497925,1258.0,5032
3.167921543121338,-119.1166763305664,0.0008459126528049375,0.0010880117770284414,8,9963,360,27,-15.637151718139648,-4.256145,1258.0,10064
1.833348274230957,-109.8224105834961,0.0008459126528049375,0.0010353538673371077,12,14995,542,27,-15.291465759277344,-3.5527947500000003,1258.0,15096
1.7226462364196777,-92.59770202636719,0.0008459126528049375,0.0007294933893717825,16,20027,725,27,-31.271820068359375,-3.2674665,1258.0,20128
1.3589181900024414,-75.8414535522461,0.0008459126528049375,0.0006636401521973312,20,25059,6,26,-27.560611724853516,-3.1047366999999997,1258.0,25160
2.091174602508545,-66.95039367675781,0.0008459126528049375,0.00046235183253884315,24,30091,198,26,92.8429183959961,-3.0005911249999997,1258.0,30192
7.172290325164795,-50.94222640991211,0.0008459126528049375,0.00046633175224997103,28,35123,379,26,311.0789794921875,-2.890767142857143,1258.0,35224
1.7660043239593506,-46.825897216796875,0.0008459126528049375,0.00029919296503067017,32,40155,574,26,55.291873931884766,-2.820793625,1258.0,40256
0.6528923511505127,-44.292022705078125,0.0008459126528049375,0.00019181740935891867,36,45187,758,26,-35.30223846435547,-2.751244861111111,1258.0,45288
1.6738731861114502,-40.21106719970703,0.0008459126528049375,0.00018122153414878994,40,50219,10,30,-90.49806213378906,-2.710990925,1258.0,50320
0.79784095287323,-35.08860778808594,0.0008459126528049375,0.00032232064404524863,44,55251,182,29,-48.763885498046875,-2.6702603863636365,1258.0,55352
1.08986496925354,-31.256118774414062,0.0008459126528049375,0.0003200506034772843,48,60283,369,28,-29.191158294677734,-2.6397975,1258.0,60384
1.673764705657959,-31.789392471313477,0.0008459126528049375,0.0003728445153683424,52,65315,563,27,68.41460418701172,-2.6079451538461544,1258.0,65416
0.6035042405128479,-25.343944549560547,0.0008459126528049375,0.00029863137751817703,56,70347,753,27,-60.67339324951172,-2.5892324642857147,1258.0,70448
1.0196452140808105,-21.500768661499023,0.0008459126528049375,0.00028199097141623497,60,75379,16,29,-47.29444885253906,-2.5626377000000007,1258.0,75480
0.8966593146324158,-15.283681869506836,0.0008459126528049375,0.00028702698182314634,64,80411,217,25,-32.853458404541016,-2.541007484375,1258.0,80512
1.2254887819290161,-10.319263458251953,0.0008459126528049375,0.0004512163286563009,68,85443,417,25,-125.21519470214844,-2.532189529411765,1258.0,85544
1.2923741340637207,-1.5873398780822754,0.0008459126528049375,0.0003449451760388911,72,90475,616,25,32.91566467285156,-2.5129755972222223,1258.0,90576
1.620260238647461,5.085784912109375,0.0008459126528049375,0.00028131972067058086,76,95507,814,25,8.802875518798828,-2.5050009605263157,1258.0,95608
