train/ent_coef,train/n_updates,time/fps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate
0.01708383671939373,4931,28,4.85146951675415,1258.0,4,-123.09716796875,-176.57949829101562,5032,179,-4.463766,0.0008459126528049375
0.0011952912900596857,9963,27,5.229640007019043,1258.0,8,-127.13936614990234,21.995376586914062,10064,362,-3.5640502499999998,0.0008459126528049375
0.0016762034501880407,14995,27,30.858932495117188,1258.0,12,-120.20153045654297,134.31016540527344,15096,547,-2.77249075,0.0008459126528049375
0.0006661263760179281,20027,27,8.826177597045898,1258.0,16,-112.76591491699219,-25.755939483642578,20128,733,-2.4452101875,0.0008459126528049375
0.0007018155883997679,25059,26,13.10892105102539,1258.0,20,-106.502685546875,-6.9067864418029785,25160,5,-2.20258645,0.0008459126528049375
0.0012073032557964325,30091,26,93.88800048828125,1258.0,24,-87.97825622558594,225.86471557617188,30192,194,-2.0330475833333335,0.0008459126528049375
0.0008547809557057917,35123,29,2.595701217651367,1258.0,28,-84.6273193359375,-40.402591705322266,35224,351,-1.9388343214285715,0.0008459126528049375
0.0005037754308432341,40155,30,5.608550548553467,1258.0,32,-73.84598541259766,-36.243927001953125,40256,501,-1.8381750312499998,0.0008459126528049375
0.0006712948670610785,45187,31,29.4007625579834,1258.0,36,-75.4574966430664,0.15631479024887085,45288,652,-1.7727369444444443,0.0008459126528049375
0.0006973625277169049,50219,33,1.883335828781128,1258.0,40,-70.09356689453125,-0.4533090591430664,50320,9,-1.750399775,0.0008459126528049375
0.0017513894708827138,55251,32,23.269716262817383,1258.0,44,-60.82632064819336,15.43283748626709,55352,165,-1.7239393409090908,0.0008459126528049375
0.0012979126768186688,60283,32,15.27529239654541,1258.0,48,-57.539302825927734,-35.272064208984375,60384,321,-1.6978520208333334,0.0008459126528049375
0.0009911458473652601,65315,32,6.9621381759643555,1258.0,52,-43.154197692871094,35.32381820678711,65416,475,-1.658085634615385,0.0008459126528049375
0.0018196863820776343,70347,32,31.19445037841797,1258.0,56,-41.54237747192383,12.295969009399414,70448,630,-1.6375155,0.0008459126528049375
0.0023057505022734404,75379,30,11.258905410766602,1258.0,60,-21.790864944458008,13.508390426635742,75480,15,-1.6147711,0.0008459126528049375
0.002834632992744446,80411,29,23.54928207397461,1258.0,64,-17.526174545288086,-20.363508224487305,80512,185,-1.59338090625,0.0008459126528049375
0.0023383169900625944,85443,29,15.900733947753906,1258.0,68,-4.474421501159668,-19.32726287841797,85544,357,-1.579823544117647,0.0008459126528049375
