time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,4050,,,,,,,,,,,,,
2,1024,0,1907,-0.027429716603364795,0.016042601,-0.12915658950805664,-43.985034704208374,0.2,0.09879978921162547,16,0.0004092704424510632,0.247802734375,-0.03219310939311981,0.9996699690818787,,
3,1536,0,1610,-0.030143942538416013,0.027497206,-0.045064449310302734,-43.96062517166138,0.2,0.0032922501341090538,32,0.0004092704424510632,0.3267822265625,-0.02629845216870308,0.9989343285560608,-2.471424,1258.0
4,2048,1,1511,-0.03444786125328392,0.027933586,-0.00013244152069091797,-43.95681142807007,0.2,0.023845441290177405,48,0.0004092704424510632,0.37890625,-0.032582301646471024,0.9990811347961426,-2.471424,1258.0
5,2560,1,1458,-0.024398365087108687,0.016017769,0.0277135968208313,-43.920894503593445,0.2,0.003692403399327304,64,0.0004092704424510632,0.23193359375,-0.022840753197669983,0.9963487386703491,-2.4132819999999997,1258.0
6,3072,2,1419,-0.029579765920061618,0.026809487,0.009541988372802734,-43.84574103355408,0.2,0.012750385620165616,80,0.0004092704424510632,0.3109130859375,-0.034139927476644516,0.9954437613487244,-2.4132819999999997,1258.0
7,3584,2,1395,-0.019419063784880564,0.016581606,0.002406895160675049,-43.85827422142029,0.2,0.004609523777617142,96,0.0004092704424510632,0.208984375,-0.027191661298274994,0.9970830082893372,-2.4132819999999997,1258.0
8,4096,2,1380,-0.02948941642534919,0.018833384,0.01508110761642456,-43.87718737125397,0.2,0.002573392564954702,112,0.0004092704424510632,0.26708984375,-0.04145682975649834,0.9958696961402893,-2.428404333333333,1258.0
9,4608,3,1369,-0.02850244616274722,0.018720731,0.0061623454093933105,-43.85404825210571,0.2,0.004541177360806614,128,0.0004092704424510632,0.262939453125,-0.041831426322460175,0.9966796636581421,-2.428404333333333,1258.0
10,5120,3,1357,-0.02680482281721197,0.019707218,0.03160923719406128,-43.87225961685181,0.2,0.003913692016794812,144,0.0004092704424510632,0.252197265625,-0.02538963407278061,0.996263325214386,-2.4249647499999996,1258.0
11,5632,4,1349,-0.02329886579536833,0.016118724,0.022378861904144287,-43.84563362598419,0.2,0.004103633735212497,160,0.0004092704424510632,0.19287109375,-0.04197968542575836,0.9952059984207153,-2.4249647499999996,1258.0
12,6144,4,1342,-0.025931828902685083,0.018919589,0.06148087978363037,-43.8047308921814,0.2,0.004273148348147515,176,0.0004092704424510632,0.24267578125,-0.039404064416885376,0.9938051104545593,-2.4249647499999996,1258.0
13,6656,4,1336,-0.026687685458455235,0.020234652,0.11266833543777466,-43.76124548912048,0.2,0.002420359229290625,192,0.0004092704424510632,0.24658203125,-0.036589279770851135,0.992142915725708,-2.4461811999999994,1258.0
14,7168,5,1332,-0.031299406866310164,0.021619484,0.017948925495147705,-43.72500514984131,0.2,0.00856102404941339,208,0.0004092704424510632,0.2484130859375,-0.03532961755990982,0.9921764135360718,-2.4461811999999994,1258.0
15,7680,5,1327,-0.020746059861266986,0.019873114,0.16258347034454346,-43.72269368171692,0.2,0.003266635103500448,224,0.0004092704424510632,0.205322265625,-0.019208038225769997,0.9913728833198547,-2.4447244999999995,1258.0
