time/episodes,train/ent_coef,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss
4,0.017657849937677383,441,5028,1257.0,-5.011909,11,-124.1559066772461,4927,0.0008459126528049375,-173.92884826660156,2.077812671661377
8,0.0015028127236291766,891,10056,1257.0,-3.898649375,11,-130.7940673828125,9955,0.0008459126528049375,31.47370719909668,5.553180694580078
12,0.000958769756834954,1344,15084,1257.0,-3.157609916666667,11,-139.02899169921875,14983,0.0008459126528049375,-16.970590591430664,5.356387615203857
16,0.0009334839414805174,1806,20112,1257.0,-2.72743525,11,-141.4056854248047,20011,0.0008459126528049375,58.81867980957031,6.764090061187744
20,0.0009783885907381773,12,25140,1257.0,-2.4956871,11,-142.4789581298828,25039,0.0008459126528049375,25.357799530029297,10.809532165527344
24,0.0011637371499091387,471,30168,1257.0,-2.3633902916666667,10,-131.26992797851562,30067,0.0008459126528049375,-14.839195251464844,4.856883525848389
28,0.0007565010455437005,930,35196,1257.0,-2.230812678571428,10,-120.86994934082031,35095,0.0008459126528049375,96.544189453125,11.918478012084961
32,0.00045771696022711694,1389,40224,1257.0,-2.16538040625,10,-107.4453353881836,40123,0.0008459126528049375,44.59158706665039,6.724111557006836
36,0.0005550211644731462,1853,45252,1257.0,-2.0965188611111114,10,-81.87468719482422,45151,0.0008459126528049375,-53.65879821777344,5.294008255004883
40,0.0008901803521439433,25,50280,1257.0,-2.034137625,10,-52.88079833984375,50179,0.0008459126528049375,-26.49020767211914,9.518798828125
44,0.0003732630575541407,492,55308,1257.0,-1.976863840909091,10,-44.452266693115234,55207,0.0008459126528049375,-1.6358050107955933,3.5970404148101807
48,0.00025883340276777744,964,60336,1257.0,-1.9300267083333331,10,-34.06218719482422,60235,0.0008459126528049375,-8.82529067993164,0.5934462547302246
52,0.000505308446008712,1409,65364,1257.0,-1.891317038461538,10,-22.321044921875,65263,0.0008459126528049375,-87.65249633789062,3.1132402420043945
56,0.0002718812902458012,1853,70392,1257.0,-1.8719028214285713,11,-19.572961807250977,70291,0.0008459126528049375,-18.24757957458496,0.6728111505508423
60,0.0003640209324657917,38,75420,1257.0,-1.8375668999999997,11,-18.42516326904297,75319,0.0008459126528049375,19.122299194335938,4.690605640411377
64,0.00024465384194627404,508,80448,1257.0,-1.822239640625,10,-17.803205490112305,80347,0.0008459126528049375,-10.629342079162598,0.1959557831287384
68,0.0003558463940862566,990,85476,1257.0,-1.8030225882352942,10,-5.996522426605225,85375,0.0008459126528049375,9.619071960449219,0.8675817251205444
