train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/episodes
0.0008459126528049375,0.019341910257935524,4791,51.90568161010742,138,1223.0,-120.36201477050781,35,-4.3189245000000005,4892,-181.2486572265625,4
0.0008459126528049375,0.0012222810182720423,9683,1.8130180835723877,282,1223.0,-128.22952270507812,34,-3.3781841249999998,9784,-26.866172790527344,8
0.0008459126528049375,0.0011027776636183262,14575,3.7742629051208496,425,1223.0,-132.63241577148438,34,-2.744222666666666,14676,-14.989770889282227,12
0.0008459126528049375,0.000804402690846473,19467,3.873955488204956,571,1223.0,-136.9100341796875,34,-2.401654625,19568,28.983076095581055,16
0.0008459126528049375,0.0011831438168883324,24359,13.192464828491211,731,1223.0,-136.3562469482422,33,-2.20092645,24460,30.579648971557617,20
0.0008459126528049375,0.0007072707521729171,29251,15.857011795043945,159,1223.0,-126.05416870117188,27,-2.040430833333333,29352,31.094573974609375,24
0.0008459126528049375,0.0008290294208563864,34143,2.8238680362701416,339,1223.0,-115.16850280761719,27,-1.9198472142857146,34244,26.062108993530273,28
0.0008459126528049375,0.000739766750484705,39035,3.049116611480713,521,1223.0,-112.4254379272461,27,-1.8437535625,39136,10.115217208862305,32
0.0008459126528049375,0.0005493478383868933,43927,2.344607353210449,675,1223.0,-104.74394226074219,28,-1.801820138888889,44028,24.834592819213867,36
0.0008459126528049375,0.0004547300923150033,48819,3.4948127269744873,820,1223.0,-98.85078430175781,29,-1.7448892749999998,48920,-12.946197509765625,40
0.0008459126528049375,0.0004896197351627052,53711,3.030993938446045,128,1223.0,-97.44503021240234,29,-1.7031835,53812,38.81421661376953,44
0.0008459126528049375,0.00245672557502985,58603,15.948616981506348,309,1223.0,-81.66603088378906,28,-1.6654639375,58704,43.91930389404297,48
0.0008459126528049375,0.0013810662785544991,63495,6.876450538635254,491,1223.0,-70.01329803466797,27,-1.6388493461538463,63596,26.258710861206055,52
0.0008459126528049375,0.000869816867634654,68387,4.2030839920043945,674,1223.0,-69.29366302490234,27,-1.6114219285714284,68488,30.3856258392334,56
0.0008459126528049375,0.001232192968018353,73279,2.641383171081543,858,1223.0,-66.91561126708984,27,-1.5940822833333332,73380,-5.1578545570373535,60
0.0008459126528049375,0.000758498499635607,78171,6.7112016677856445,127,1223.0,-57.485836029052734,25,-1.5792792656249999,78272,-34.079288482666016,64
0.0008459126528049375,0.0009606991079635918,83063,3.883946180343628,320,1223.0,-51.29658508300781,25,-1.5693302941176468,83164,28.56766700744629,68
0.0008459126528049375,0.0008618803694844246,87955,7.061779975891113,512,1223.0,-49.024356842041016,25,-1.557539611111111,88056,8.84994888305664,72
0.0008459126528049375,0.000788360193837434,92847,4.464093208312988,671,1223.0,-43.59352111816406,26,-1.5373316447368421,92948,30.901853561401367,76
0.0008459126528049375,0.0009542525513097644,97739,5.3795366287231445,856,1223.0,-38.967044830322266,26,-1.5258559375,97840,43.967010498046875,80
