time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/loss,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1,0,512,4746,,,,,,,,,,,,,
2,0,1024,3328,0.10552686122900923,0.25927734375,1.001386046409607,16,-0.034253865480422974,0.019388419,0.2,-44.00685143470764,-0.030664697056636214,-0.26282966136932373,0.0004092704424510632,,
3,0,1536,3031,0.0029398661718005314,0.2572021484375,1.0019662380218506,32,-0.030817918479442596,0.019575847,0.2,-44.036622643470764,-0.028059517542715184,-0.0064661502838134766,0.0004092704424510632,-2.267692,1258.0
4,0,2048,2901,0.011400145449442789,0.326416015625,1.0018210411071777,48,-0.04768514633178711,0.032661844,0.2,-44.046513080596924,-0.03354608194786124,0.012640178203582764,0.0004092704424510632,-2.267692,1258.0
5,0,2560,2823,0.002321297270100331,0.279052734375,1.0002678632736206,64,-0.037704162299633026,0.019893754,0.2,-44.02156162261963,-0.02651497977785766,0.012298583984375,0.0004092704424510632,-2.147086,1258.0
6,1,3072,2777,0.018242989986902103,0.260498046875,1.0001417398452759,80,-0.02175503969192505,0.014401427,0.2,-43.981833815574646,-0.02440601453417912,0.020975887775421143,0.0004092704424510632,-2.147086,1258.0
7,1,3584,2744,0.0015006206649559317,0.222412109375,1.0001623630523682,96,-0.024851633235812187,0.015235932,0.2,-43.9877393245697,-0.024102027877233922,0.057979464530944824,0.0004092704424510632,-2.147086,1258.0
8,1,4096,2720,0.003759580613404978,0.269775390625,0.9994117021560669,112,-0.02717740461230278,0.018031018,0.2,-43.97831666469574,-0.024796346348011866,0.10644853115081787,0.0004092704424510632,-2.141592333333333,1258.0
9,1,4608,2702,0.024541178019717336,0.212890625,0.9985304474830627,128,-0.012619733810424805,0.011800364,0.2,-43.95081055164337,-0.019621474493760616,0.026415646076202393,0.0004092704424510632,-2.141592333333333,1258.0
10,1,5120,2688,0.0019765098732023034,0.2005615234375,0.9992728233337402,144,-0.019363651052117348,0.01599073,0.2,-43.942981243133545,-0.01856655343726743,0.03604954481124878,0.0004092704424510632,-2.1157955,1258.0
11,2,5632,2676,0.0314542647683993,0.326416015625,1.0008972883224487,160,-0.027228690683841705,0.022186182,0.2,-43.980639934539795,-0.03608121467550518,0.016469597816467285,0.0004092704424510632,-2.1157955,1258.0
12,2,6144,2665,0.002186993406212423,0.232177734375,1.0016714334487915,176,-0.04681555926799774,0.016570989,0.2,-44.02207398414612,-0.02725858986377716,-0.02357649803161621,0.0004092704424510632,-2.1157955,1258.0
13,2,6656,2657,0.005391026126744691,0.2208251953125,1.001400113105774,192,-0.045878637582063675,0.016232803,0.2,-44.026352286338806,-0.02322761862888001,0.0722159743309021,0.0004092704424510632,-2.1310949999999997,1258.0
