train/actor_loss,train/ent_coef_loss,train/critic_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
-121.89903259277344,-182.28721618652344,1.8117949962615967,4,27,-4.360279500000001,0.017660755664110184,4927,0.0008459126528049375,179,1257.0,5028
-125.0784912109375,10.151418685913086,6.6037821769714355,8,28,-3.3466378750000003,0.0013060288038104773,9955,0.0008459126528049375,355,1257.0,10056
-117.51594543457031,-55.76310729980469,2.1440720558166504,12,29,-2.7014865,0.0008447813452221453,14983,0.0008459126528049375,507,1257.0,15084
-116.84957885742188,17.121875762939453,4.166849136352539,16,30,-2.3518288125,0.0008770574349910021,20011,0.0008459126528049375,668,1257.0,20112
-105.51356506347656,143.06431579589844,3.675145149230957,20,32,-2.10513655,0.0007245353772304952,25039,0.0008459126528049375,4,1257.0,25140
-101.04663848876953,-46.54410171508789,4.557231903076172,24,31,-2.0108340833333336,0.0006095909629948437,30067,0.0008459126528049375,162,1257.0,30168
-93.23919677734375,-13.503849983215332,4.905584335327148,28,31,-1.9397406071428573,0.0009847353212535381,35095,0.0008459126528049375,318,1257.0,35196
-75.86483764648438,26.88894271850586,12.999176025390625,32,30,-1.86474190625,0.0010302984155714512,40123,0.0008459126528049375,493,1257.0,40224
-70.65674591064453,-42.788021087646484,12.284161567687988,36,29,-1.8043351944444446,0.0006512909894809127,45151,0.0008459126528049375,682,1257.0,45252
-52.154518127441406,33.40106964111328,6.971764087677002,40,26,-1.7552927749999998,0.001194450887851417,50179,0.0008459126528049375,10,1257.0,50280
-35.965545654296875,16.312122344970703,22.22752571105957,44,26,-1.7133810227272726,0.0014920416288077831,55207,0.0008459126528049375,201,1257.0,55308
-26.843891143798828,-15.71263313293457,4.496554374694824,48,26,-1.687228958333333,0.0013921072240918875,60235,0.0008459126528049375,390,1257.0,60336
-20.8520565032959,8.791614532470703,364.43292236328125,52,27,-1.660189519230769,0.0009673428721725941,65263,0.0008459126528049375,548,1257.0,65364
-16.9223575592041,27.899211883544922,8.284833908081055,56,28,-1.6209822142857142,0.001361354487016797,70291,0.0008459126528049375,709,1257.0,70392
-7.061963081359863,7.713442325592041,11.560105323791504,60,30,-1.6097271999999998,0.0010166096035391092,75319,0.0008459126528049375,13,1257.0,75420
-4.261215686798096,-44.64519500732422,5.95794677734375,64,30,-1.57670959375,0.0013609897578135133,80347,0.0008459126528049375,181,1257.0,80448
10.989029884338379,12.911553382873535,13.952119827270508,68,29,-1.5559132794117647,0.001573466695845127,85375,0.0008459126528049375,350,1257.0,85476
17.615901947021484,8.723222732543945,8.632224082946777,72,29,-1.535386875,0.001210965565405786,90403,0.0008459126528049375,522,1257.0,90504
27.690492630004883,-22.019296646118164,7.826172351837158,76,29,-1.524521407894737,0.001311750733293593,95431,0.0008459126528049375,694,1257.0,95532
