train/actor_loss,train/ent_coef_loss,train/critic_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
-120.83550262451172,-163.69972229003906,47.18475341796875,4,33,-4.627681000000001,0.017247341573238373,4927,0.0008459126528049375,151,1257.0,5028
-127.39881134033203,-13.218975067138672,3.898519992828369,8,32,-3.62108175,0.0008513721404597163,9955,0.0008459126528049375,309,1257.0,10056
-129.01710510253906,58.347999572753906,28.69731903076172,12,32,-2.91223975,0.0008402741514146328,14983,0.0008459126528049375,470,1257.0,15084
-118.45790100097656,-59.211360931396484,3.6744508743286133,16,30,-2.5859625625,0.0008716541342437267,20011,0.0008459126528049375,655,1257.0,20112
-104.27794647216797,-6.405289649963379,3.8683295249938965,20,31,-2.3648614,0.001077079214155674,25039,0.0008459126528049375,4,1257.0,25140
-102.59523010253906,36.05682373046875,1.3988384008407593,24,29,-2.2069297083333335,0.00047972489846870303,30067,0.0008459126528049375,175,1257.0,30168
-97.8790283203125,287.478271484375,46.60003662109375,28,27,-2.080114107142857,0.0005738746840506792,35095,0.0008459126528049375,371,1257.0,35196
-91.88090515136719,8.289615631103516,10.627664566040039,32,26,-1.9914397187500001,0.0007957938360050321,40123,0.0008459126528049375,565,1257.0,40224
-62.517547607421875,-58.08268356323242,5.6139044761657715,36,28,-1.9024523333333336,0.000959215103648603,45151,0.0008459126528049375,722,1257.0,45252
-49.192691802978516,-96.12255096435547,3.1748666763305664,40,31,-1.8360713750000002,0.0005015365313738585,50179,0.0008459126528049375,8,1257.0,50280
-42.3851203918457,-66.10035705566406,4.249023914337158,44,31,-1.7892396136363635,0.0006297015934251249,55207,0.0008459126528049375,166,1257.0,55308
-36.86745071411133,6.597148418426514,1.9890079498291016,48,31,-1.741116375,0.00044111438910476863,60235,0.0008459126528049375,325,1257.0,60336
-23.75987434387207,-14.194025993347168,4.284015655517578,52,31,-1.6945309615384618,0.0010514546884223819,65263,0.0008459126528049375,486,1257.0,65364
-18.150371551513672,97.04934692382812,3.55064058303833,56,30,-1.668325375,0.0007374746492132545,70291,0.0008459126528049375,660,1257.0,70392
-12.94416332244873,68.00398254394531,6.611412525177002,60,24,-1.6518831,0.000639959005638957,75319,0.0008459126528049375,17,1257.0,75420
-6.517461776733398,21.501802444458008,6.378055572509766,64,23,-1.6259810468749998,0.0006436451803892851,80347,0.0008459126528049375,228,1257.0,80448
0.020459264516830444,-31.422569274902344,11.278188705444336,68,24,-1.5955035882352941,0.0008785593090578914,85375,0.0008459126528049375,434,1257.0,85476
8.247354507446289,2.839115619659424,10.32111930847168,72,24,-1.5896664722222222,0.001092427410185337,90403,0.0008459126528049375,637,1257.0,90504
13.544575691223145,15.120561599731445,10.895498275756836,76,24,-1.5695097105263158,0.0005644145421683788,95431,0.0008459126528049375,841,1257.0,95532
