train/actor_loss,time/episodes,train/n_updates,time/fps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate
-122.43138885498047,4,4931,19,1.401176929473877,262,-5.0591775000000005,0.017144517973065376,-175.97396850585938,1258.0,5032,0.0008459126528049375
-122.85264587402344,8,9963,19,8.305548667907715,522,-3.9461558749999996,0.0012587409000843763,-8.372206687927246,1258.0,10064,0.0008459126528049375
-122.68827056884766,12,14995,19,2.0502336025238037,791,-3.367991416666667,0.0006017086561769247,-8.452962875366211,1258.0,15096,0.0008459126528049375
-116.86005401611328,16,20027,19,23.873157501220703,1045,-3.0527628125,0.0007061738870106637,-89.73652648925781,1258.0,20128,0.0008459126528049375
-115.75199890136719,20,25059,19,1.3877754211425781,8,-2.8371298,0.0005817339988425374,-5.2202067375183105,1258.0,25160,0.0008459126528049375
-110.39239501953125,24,30091,19,1.8053773641586304,261,-2.678206166666667,0.00037168714334256947,8.806482315063477,1258.0,30192,0.0008459126528049375
-109.51629638671875,28,35123,19,1.6074981689453125,525,-2.516422392857143,0.00025286548770964146,36.65167236328125,1258.0,35224,0.0008459126528049375
-103.05703735351562,32,40155,19,5.028926372528076,777,-2.3985618125,0.0008720536716282368,8.941550254821777,1258.0,40256,0.0008459126528049375
-93.625,36,45187,19,11.710776329040527,1025,-2.3252015,0.0009439499699510634,16.401641845703125,1258.0,45288,0.0008459126528049375
-92.11956787109375,40,50219,20,1.9481098651885986,15,-2.2688302499999997,0.000706349965184927,-2.76755428314209,1258.0,50320,0.0008459126528049375
-87.83334350585938,44,55251,19,15.187076568603516,271,-2.2433844772727274,0.0006025565671734512,12.175119400024414,1258.0,55352,0.0008459126528049375
-83.6239242553711,48,60283,19,0.8564404249191284,535,-2.2033218541666666,0.0006104711792431772,12.24670124053955,1258.0,60384,0.0008459126528049375
-82.04139709472656,52,65315,19,1.3045977354049683,773,-2.1578785000000003,0.0003604441590141505,2.5866475105285645,1258.0,65416,0.0008459126528049375
-76.94519805908203,56,70347,20,1.014852523803711,1018,-2.1329791785714285,0.00031348035554401577,0.24873006343841553,1258.0,70448,0.0008459126528049375
-68.2319564819336,60,75379,21,4.874836444854736,22,-2.0956702999999997,0.00038009652053005993,-100.30546569824219,1258.0,75480,0.0008459126528049375
-62.27202224731445,64,80411,20,4.479037284851074,268,-2.0693586875,0.0005788253620266914,37.78071594238281,1258.0,80512,0.0008459126528049375
-65.59851837158203,68,85443,19,2.2433338165283203,528,-2.031370132352941,0.0006086075445637107,-26.722370147705078,1258.0,85544,0.0008459126528049375
