time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
43,12,1808,22016,-0.09407186508178711,0.0004092704424510632,0.2,0.022688918,672,-44.01743149757385,1.001501202583313,0.2664794921875,-0.027780667442129925,0.001572407176354318,-0.04117259383201599,1223.0,-2.221463444444444
44,12,1810,22528,0.07435530424118042,0.0004092704424510632,0.2,0.02140259,688,-43.97822713851929,1.0003254413604736,0.21484375,-0.02251501547289081,0.08746653224807233,-0.009086770936846733,1223.0,-2.221463444444444
45,12,1809,23040,-0.014518141746520996,0.0004092704424510632,0.2,0.016135562,704,-43.95858716964722,1.000026822090149,0.20751953125,-0.025931055570254102,0.0044867499673273414,-0.04021979868412018,1223.0,-2.221463444444444
46,13,1808,23552,0.09741979837417603,0.0004092704424510632,0.2,0.016996522,720,-43.93704283237457,0.9990811944007874,0.2080078125,-0.023699556884821504,0.0029671595475520007,-0.03657795116305351,1223.0,-2.221941052631579
47,13,1806,24064,0.14295238256454468,0.0004092704424510632,0.2,0.020218017,736,-43.923004269599915,0.9994151592254639,0.193603515625,-0.023336258382187225,0.08153718465473503,0.0026193633675575256,1223.0,-2.221941052631579
48,13,1804,24576,-0.595533013343811,0.0004092704424510632,0.2,0.019487303,752,-43.932905316352844,0.9993326663970947,0.2210693359375,-0.023494899192883167,0.005978642147965729,-0.024194952100515366,1223.0,-2.22816855
49,13,1803,25088,0.283341646194458,0.0004092704424510632,0.2,0.020484239,768,-43.91805720329285,0.9983903765678406,0.18701171875,-0.022470531417638995,0.06836060888599604,0.000709235668182373,1223.0,-2.22816855
50,14,1802,25600,-0.7172918319702148,0.0004092704424510632,0.2,0.015491782,784,-43.90744960308075,0.9993717074394226,0.2318115234375,-0.025155165960313752,0.005900048345210962,-0.026849322021007538,1223.0,-2.22816855
51,14,1799,26112,0.021161913871765137,0.0004092704424510632,0.2,0.016904972,800,-43.937387228012085,0.9997484683990479,0.258544921875,-0.032200845453189686,0.002360914437304018,-0.04531775042414665,1223.0,-2.2295995238095236
52,14,1798,26624,0.08670741319656372,0.0004092704424510632,0.2,0.019787464,816,-43.92571270465851,0.9986130595207214,0.1832275390625,-0.02082194318063557,0.08236480102641508,0.007397666573524475,1223.0,-2.2295995238095236
53,15,1794,27136,-5.3932390213012695,0.0004092704424510632,0.2,0.021085598,832,-43.904378175735474,0.9988032579421997,0.244384765625,-0.023921078245621175,0.019989810665720142,-0.02775641717016697,1223.0,-2.2307454545454544
54,15,1793,27648,0.1229141354560852,0.0004092704424510632,0.2,0.027868003,848,-43.89615786075592,0.9974440336227417,0.30224609375,-0.03070510717225261,0.0635071816504933,-0.03287861868739128,1223.0,-2.2307454545454544
55,15,1790,28160,-1.160618782043457,0.0004092704424510632,0.2,0.020184074,864,-43.84775519371033,0.9959705471992493,0.2200927734375,-0.02233578363666311,0.005095036867714953,-0.03680562600493431,1223.0,-2.235172913043478
56,16,1789,28672,0.24441438913345337,0.0004092704424510632,0.2,0.01684062,880,-43.80803024768829,0.9948598742485046,0.1573486328125,-0.01647443653200753,0.07594685978256166,0.002645157277584076,1223.0,-2.235172913043478
57,16,1787,29184,-0.6266673803329468,0.0004092704424510632,0.2,0.013958561,896,-43.782796025276184,0.9943864941596985,0.2037353515625,-0.02338467273511924,0.0032789703545859084,-0.0319669172167778,1223.0,-2.235172913043478
58,16,1785,29696,0.0784611701965332,0.0004092704424510632,0.2,0.01937889,912,-43.757967710494995,0.9929319024085999,0.25244140625,-0.02570116549031809,0.0024407764612988103,-0.029437100514769554,1223.0,-2.2321549583333335
59,16,1785,30208,0.17777389287948608,0.0004092704424510632,0.2,0.022156924,928,-43.71596825122833,0.9921093583106995,0.20263671875,-0.028689194150501862,0.0704708868288435,-0.017385436221957207,1223.0,-2.2321549583333335
60,17,1790,30720,-1.799010992050171,0.0004092704424510632,0.2,0.015737988,944,-43.68752825260162,0.9910321831703186,0.2117919921875,-0.02449632748903241,0.005461712869873736,-0.03162088245153427,1223.0,-2.23230676
61,17,1795,31232,0.15284162759780884,0.0004092704424510632,0.2,0.017961446,960,-43.666585087776184,0.9908865690231323,0.20458984375,-0.022016625327523798,0.06936463562306017,-0.014835821464657784,1223.0,-2.23230676
62,17,1798,31744,-0.13099348545074463,0.0004092704424510632,0.2,0.026490957,976,-43.6574821472168,0.9904295802116394,0.253173828125,-0.026825299588381313,0.005050128849688917,-0.04353814572095871,1223.0,-2.23230676
63,17,1802,32256,0.3748980760574341,0.0004092704424510632,0.2,0.020503452,992,-43.642815828323364,0.9901767373085022,0.25439453125,-0.025893789308611304,0.004575654507789295,-0.03573260456323624,1223.0,-2.2365488461538465
64,18,1802,32768,0.48292404413223267,0.0004092704424510632,0.2,0.016250867,1008,-43.63776707649231,0.9897385835647583,0.1630859375,-0.019831440673442557,0.05731128074694425,-0.021962810307741165,1223.0,-2.2365488461538465
65,18,1800,33280,-4.013462543487549,0.0004092704424510632,0.2,0.020072427,1024,-43.63176369667053,0.9904086589813232,0.22119140625,-0.02395735301251989,0.012072800789610483,-0.04408038407564163,1223.0,-2.2378926666666668
