time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,3891,512,,,,,,,,,,,,,
0,2,2524,1024,0.2,0.0004092704424510632,0.015711816,16,0.996745228767395,-0.0321744903922081,-0.024547466047806665,-3.733107089996338,-43.94643950462341,0.10154780446737277,0.22021484375,,
0,3,2271,1536,0.2,0.0004092704424510632,0.018280987,32,0.9970447421073914,-0.042340271174907684,-0.0321887219324708,0.008619368076324463,-43.876476764678955,0.002625599408929702,0.2796630859375,1258.0,-1.989011
0,4,2144,2048,0.2,0.0004092704424510632,0.017127998,48,0.9970148801803589,-0.053942859172821045,-0.028902753052534536,-0.005009770393371582,-43.89913475513458,0.0028490333825175185,0.263427734375,1258.0,-1.989011
1,5,2076,2560,0.2,0.0004092704424510632,0.017801762,64,0.9942968487739563,-0.03214331716299057,-0.02789475812460296,0.015380561351776123,-43.85633718967438,0.0026236660160066094,0.2843017578125,1258.0,-2.073085
1,6,2034,3072,0.2,0.0004092704424510632,0.015097402,80,0.9927319288253784,-0.027968037873506546,-0.023831634360249154,0.011701583862304688,-43.77574896812439,0.005141119807376526,0.228515625,1258.0,-2.073085
1,7,2005,3584,0.2,0.0004092704424510632,0.017386647,96,0.9911055564880371,-0.039953988045454025,-0.027993510593660176,0.000674903392791748,-43.734654545784,0.0012038380900776247,0.250732421875,1258.0,-2.073085
2,8,1982,4096,0.2,0.0004092704424510632,0.021173315,112,0.9913950562477112,-0.032952237874269485,-0.029615039326017722,0.006861209869384766,-43.70129096508026,0.006534478408866562,0.2998046875,1258.0,-2.1363896666666666
2,9,1967,4608,0.2,0.0004092704424510632,0.018313497,128,0.9927049279212952,-0.04516470059752464,-0.026487744937185198,0.007264256477355957,-43.73020887374878,0.006046165450243279,0.2550048828125,1258.0,-2.1363896666666666
2,10,1954,5120,0.2,0.0004092704424510632,0.017769285,144,0.9937984943389893,-0.028979672119021416,-0.026169215780100785,0.018388032913208008,-43.76522767543793,0.0024058980161498766,0.2469482421875,1258.0,-2.15993
