time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean
4,0.017044875770807266,1257.0,4927,-173.05245971679688,5028,1.828845739364624,0.0008459126528049375,32,-120.34080505371094,153,-4.63956825
8,0.0009314074995927513,1257.0,9955,-30.83187484741211,10056,3.6877646446228027,0.0008459126528049375,32,-120.25975036621094,309,-3.742377875
12,0.0010551915038377047,1257.0,14983,4.232782363891602,15084,2.680762767791748,0.0008459126528049375,32,-113.95842742919922,465,-3.06552675
16,0.0005659728194586933,1257.0,20011,31.81961441040039,20112,7.168496608734131,0.0008459126528049375,32,-103.70912170410156,621,-2.7344098125
20,0.0007982497336342931,1257.0,25039,228.47393798828125,25140,14.154020309448242,0.0008459126528049375,26,-80.61502075195312,5,-2.4875932
24,0.0008059802930802107,1257.0,30067,48.241851806640625,30168,4.884670734405518,0.0008459126528049375,25,-67.58902740478516,198,-2.35679775
28,0.0002096542448271066,1257.0,35095,-41.4831657409668,35196,0.6345313191413879,0.0008459126528049375,25,-64.04186248779297,393,-2.2540457142857147
32,0.0005836186464875937,1257.0,40123,215.6849822998047,40224,65.19815063476562,0.0008459126528049375,25,-52.249202728271484,588,-2.13280496875
36,0.0004531988233793527,1257.0,45151,-37.744075775146484,45252,4.231998443603516,0.0008459126528049375,26,-24.258304595947266,769,-2.068666361111111
40,0.0002486846351530403,1257.0,50179,115.59060668945312,50280,1.4719947576522827,0.0008459126528049375,31,-20.65308380126953,8,-2.03753685
44,0.00035861029755324125,1257.0,55207,18.067182540893555,55308,1.0060323476791382,0.0008459126528049375,31,-17.32546043395996,169,-2.011082022727273
48,0.00029351573903113604,1257.0,60235,-56.8914680480957,60336,1.3961408138275146,0.0008459126528049375,29,-12.908026695251465,350,-1.9999600208333332
52,0.0007194233476184309,1257.0,65263,-43.57795715332031,65364,5.063638687133789,0.0008459126528049375,29,3.140068769454956,525,-1.9813447884615387
56,0.0004524804244283587,1257.0,70291,-80.28460693359375,70392,0.6745624542236328,0.0008459126528049375,29,6.18817138671875,682,-1.9619000178571429
60,0.00046562892384827137,1257.0,75319,-33.530887603759766,75420,1.2554576396942139,0.0008459126528049375,25,10.744706153869629,16,-1.9581805999999997
64,0.000297802354907617,1257.0,80347,-58.3007698059082,80448,1.473250150680542,0.0008459126528049375,28,14.229484558105469,194,-1.941534078125
