train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps
-165.84552001953125,0.017471347004175186,-4.50369375,-123.03055572509766,1257.0,419,4927,11,4,0.0008459126528049375,58.4014778137207,5028
-31.612646102905273,0.0009120685281231999,-3.5528401250000003,-131.1970977783203,1257.0,859,9955,11,8,0.0008459126528049375,1.6618642807006836,10056
-17.200239181518555,0.0006682311650365591,-2.831239416666667,-133.71270751953125,1257.0,1305,14983,11,12,0.0008459126528049375,57.734153747558594,15084
58.06195831298828,0.0006193914450705051,-2.4908557499999997,-140.292236328125,1257.0,1740,20011,11,16,0.0008459126528049375,3.174563407897949,20112
60.41925048828125,0.0003228737914469093,-2.2985486999999996,-140.0469970703125,1257.0,12,25039,10,20,0.0008459126528049375,2.5792970657348633,25140
9.540205001831055,0.0006809610058553517,-2.1821087083333333,-141.25607299804688,1257.0,472,30067,10,24,0.0008459126528049375,4.604755878448486,30168
-11.912877082824707,0.0008697331068105996,-2.10392625,-145.7679901123047,1257.0,920,35095,11,28,0.0008459126528049375,7.124335289001465,35196
10.052842140197754,0.00018854015797842294,-2.0299259687499998,-143.8585205078125,1257.0,1361,40123,11,32,0.0008459126528049375,5.0905680656433105,40224
9.409765243530273,0.0009252408635802567,-1.9882169444444442,-140.00775146484375,1257.0,1816,45151,11,36,0.0008459126528049375,4.18308162689209,45252
157.896728515625,0.0012515076668933034,-1.95704295,-121.22512817382812,1257.0,24,50179,11,40,0.0008459126528049375,61.26272964477539,50280
35.2529296875,0.001976983854547143,-1.9025385000000001,-112.7957763671875,1257.0,454,55207,11,44,0.0008459126528049375,8.501947402954102,55308
34.154884338378906,0.0010163376573473215,-1.88584675,-106.4442367553711,1257.0,879,60235,11,48,0.0008459126528049375,2.75372314453125,60336
-7.9993696212768555,0.0008527551544830203,-1.859704903846154,-106.95894622802734,1257.0,1307,65263,11,52,0.0008459126528049375,2.1939163208007812,65364
-16.410865783691406,0.0005729527329094708,-1.8333149464285714,-103.84632873535156,1257.0,1738,70291,11,56,0.0008459126528049375,23.353134155273438,70392
3.302626848220825,0.0012189877452328801,-1.8196211500000001,-99.0990982055664,1257.0,38,75319,10,60,0.0008459126528049375,3.7496438026428223,75420
72.419921875,0.001704124384559691,-1.790418609375,-83.58843994140625,1257.0,503,80347,10,64,0.0008459126528049375,17.959802627563477,80448
-1.7282490730285645,0.0006296835490502417,-1.7753068676470587,-74.66163635253906,1257.0,970,85375,10,68,0.0008459126528049375,5.316176414489746,85476
33.5660514831543,0.0009679085342213511,-1.7552113472222222,-61.56456756591797,1257.0,1432,90403,10,72,0.0008459126528049375,2.9922919273376465,90504
9.167804718017578,0.00252439989708364,-1.7341351578947368,-39.37065887451172,1257.0,1888,95431,10,76,0.0008459126528049375,15.355476379394531,95532
