rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef
-5.520697,-169.20889282226562,10,1.8343665599822998,4931,1258.0,-123.14148712158203,4,494,5032,0.0008459126528049375,0.01753603108227253
-4.4476835,56.927730560302734,10,7.725638389587402,9963,1258.0,-127.49376678466797,8,985,10064,0.0008459126528049375,0.0011601501610130072
-3.7118574166666662,43.06265640258789,10,4.780207633972168,14995,1258.0,-119.9433822631836,12,1483,15096,0.0008459126528049375,0.0011695604771375656
-3.4653252500000002,-85.13045501708984,10,7.528037071228027,20027,1258.0,-105.63423919677734,16,1970,20128,0.0008459126528049375,0.0017543408321216702
-3.2819631500000006,12.14961051940918,10,4.026379108428955,25059,1258.0,-94.42706298828125,20,15,25160,0.0008459126528049375,0.00102068146225065
-3.1629894999999997,22.15481185913086,10,2.1090025901794434,30091,1258.0,-90.10758972167969,24,511,30192,0.0008459126528049375,0.0003680374938994646
-3.032410464285714,65.95880889892578,10,1.473985195159912,35123,1258.0,-88.43061828613281,28,994,35224,0.0008459126528049375,0.00037840023287571967
-2.9183071875,51.55815505981445,10,1.3670194149017334,40155,1258.0,-87.0347900390625,32,1489,40256,0.0008459126528049375,0.0003671120502986014
-2.8988555277777777,-12.370561599731445,10,1.9235013723373413,45187,1258.0,-82.71229553222656,36,1979,45288,0.0008459126528049375,0.0002827878633979708
-2.8487489750000003,54.2791748046875,10,1.0919132232666016,50219,1258.0,-77.75847625732422,40,30,50320,0.0008459126528049375,0.00019627598521765321
-2.8021616136363634,32.7430419921875,10,1.4547686576843262,55251,1258.0,-75.7156753540039,44,515,55352,0.0008459126528049375,0.0004661614366341382
-2.7588697708333334,115.82015228271484,10,1.0802156925201416,60283,1258.0,-70.78622436523438,48,1009,60384,0.0008459126528049375,0.0002055564254987985
-2.729215634615385,55.75913619995117,10,3.2196836471557617,65315,1258.0,-57.32314682006836,52,1498,65416,0.0008459126528049375,0.0003503814514260739
-2.692510696428571,-23.701839447021484,10,2.0727500915527344,70347,1258.0,-50.5080451965332,56,1979,70448,0.0008459126528049375,0.00033809401793405414
-2.6625821666666667,-42.00822448730469,10,7.392755508422852,75379,1258.0,-42.75408172607422,60,46,75480,0.0008459126528049375,0.00045807220158167183
-2.629227640625,-80.64039611816406,10,7.537022113800049,80411,1258.0,-32.79060745239258,64,543,80512,0.0008459126528049375,0.0005618360009975731
-2.595802102941176,2.5568525791168213,10,2.879135847091675,85443,1258.0,-37.3962516784668,68,1039,85544,0.0008459126528049375,0.0006527024670504034
