train/ent_coef_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef
-178.7740020751953,36,139,1258.0,-4.1901255,5032,4,0.0008459126528049375,0.6765522956848145,4931,-122.27958679199219,0.01733756624162197
-42.531925201416016,35,281,1258.0,-3.097457,10064,8,0.0008459126528049375,1.6164826154708862,9963,-131.34666442871094,0.0010663069551810622
45.286991119384766,35,424,1258.0,-2.473672,15096,12,0.0008459126528049375,2.4472529888153076,14995,-133.39669799804688,0.0009013807284645736
-1.9310646057128906,35,568,1258.0,-2.14947275,20128,16,0.0008459126528049375,2.30631685256958,20027,-132.40447998046875,0.0011319483164697886
22.353290557861328,34,4,1258.0,-1.9751667500000003,25160,20,0.0008459126528049375,3.224226951599121,25059,-135.81185913085938,0.0008170721121132374
6.434861183166504,34,150,1258.0,-1.8728449583333333,30192,24,0.0008459126528049375,4.224006652832031,30091,-134.751220703125,0.0004977994249202311
51.971534729003906,34,296,1258.0,-1.7727327857142856,35224,28,0.0008459126528049375,3.55472993850708,35123,-134.1865997314453,0.0005771436262875795
69.28633117675781,34,442,1258.0,-1.67105990625,40256,32,0.0008459126528049375,5.16749906539917,40155,-122.70380401611328,0.0012276922352612019
10.007497787475586,34,587,1258.0,-1.6037863055555555,45288,36,0.0008459126528049375,4.99729585647583,45187,-113.5724105834961,0.0014928551390767097
40.3050422668457,35,9,1258.0,-1.582533675,50320,40,0.0008459126528049375,37.83622741699219,50219,-86.08985900878906,0.0021241153590381145
-35.446197509765625,35,152,1258.0,-1.538907227272727,55352,44,0.0008459126528049375,31.824424743652344,55251,-71.58831787109375,0.0034907336812466383
15.988677978515625,32,323,1258.0,-1.5160164999999999,60384,48,0.0008459126528049375,10.87053108215332,60283,-66.34111785888672,0.001091650454327464
-23.92759132385254,30,498,1258.0,-1.4940399230769232,65416,52,0.0008459126528049375,15.02321720123291,65315,-44.087432861328125,0.0011322549544274807
4.953597068786621,30,674,1258.0,-1.4815171428571428,70448,56,0.0008459126528049375,7.096806049346924,70347,-37.95999526977539,0.0006454366957768798
