train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,time/fps,train/ent_coef,time/episodes,train/n_updates,train/learning_rate,time/time_elapsed
-122.75928497314453,1258.0,-160.36102294921875,5032,1.940590500831604,-4.42930825,10,0.017440075054764748,4,4931,0.0008459126528049375,479
-130.2415313720703,1258.0,-28.122142791748047,10064,5.292885780334473,-3.33843175,10,0.0012047275668010116,8,9963,0.0008459126528049375,969
-129.6667022705078,1258.0,27.527544021606445,15096,5.343950271606445,-2.6459004999999998,10,0.0008303955546580255,12,14995,0.0008459126528049375,1460
-121.4365234375,1258.0,-48.35321807861328,20128,3.6400020122528076,-2.2654235,10,0.000974490656517446,16,20027,0.0008459126528049375,1953
-118.52403259277344,1258.0,12.70651912689209,25160,3.0333046913146973,-2.07097775,10,0.000421869131969288,20,25059,0.0008459126528049375,15
-112.95693969726562,1258.0,30.781150817871094,30192,3.6805830001831055,-1.9405556666666666,10,0.000678913202136755,24,30091,0.0008459126528049375,507
-115.29621887207031,1258.0,53.955406188964844,35224,1.9435980319976807,-1.8281868928571428,10,0.0006135526346042752,28,35123,0.0008459126528049375,997
-90.20500946044922,1258.0,46.57078552246094,40256,3.857067108154297,-1.75243546875,10,0.000892449461389333,32,40155,0.0008459126528049375,1493
-84.01790618896484,1258.0,91.53174591064453,45288,3.4905710220336914,-1.7062396666666666,10,0.000434878165833652,36,45187,0.0008459126528049375,1988
-81.57081604003906,1258.0,-46.10671615600586,50320,4.307648658752441,-1.6664879249999998,10,0.000486929202452302,40,50219,0.0008459126528049375,31
-73.72872924804688,1258.0,61.77558517456055,55352,4.313553333282471,-1.629321909090909,10,0.000779527414124459,44,55251,0.0008459126528049375,524
-68.2015380859375,1258.0,19.50501251220703,60384,2.8719894886016846,-1.5901787708333333,10,0.00048165806219913065,48,60283,0.0008459126528049375,1014
-63.93775177001953,1258.0,-18.188072204589844,65416,5.885563850402832,-1.57469525,10,0.0002636968856677413,52,65315,0.0008459126528049375,1503
-57.905723571777344,1258.0,-1.7151168584823608,70448,2.69968318939209,-1.5755413035714285,10,0.00041563535341992974,56,70347,0.0008459126528049375,2003
-52.730018615722656,1258.0,-80.6987533569336,75480,4.0579657554626465,-1.5654851166666668,10,0.00029912791796959937,60,75379,0.0008459126528049375,47
-45.30039978027344,1258.0,38.81801986694336,80512,2.825540542602539,-1.54464425,9,0.0003892061940860003,64,80411,0.0008459126528049375,557
-48.55271530151367,1258.0,-16.397310256958008,85544,1.339641809463501,-1.52244,9,0.0005321385688148439,68,85443,0.0008459126528049375,1076
-36.75849151611328,1258.0,-32.98408508300781,90576,4.384153366088867,-1.5152009166666667,9,0.0006737962830811739,72,90475,0.0008459126528049375,1598
-31.424985885620117,1258.0,61.13983917236328,95608,4.752828121185303,-1.5044375789473683,9,0.00041028799023479223,76,95507,0.0008459126528049375,2128
