train/ent_coef,time/episodes,time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean
0.017339518293738365,4,5032,-121.01042938232422,0.0008459126528049375,27,180,-4.084702500000001,4931,1.240567922592163,-177.23532104492188,1258.0
0.0009710673475638032,8,10064,-125.70035552978516,0.0008459126528049375,28,349,-3.1860110000000006,9963,4.302731513977051,-9.233816146850586,1258.0
0.0008852633181959391,12,15096,-123.89724731445312,0.0008459126528049375,30,501,-2.4572802500000006,14995,4.217898368835449,-18.33530616760254,1258.0
0.0015939975855872035,16,20128,-111.6934585571289,0.0008459126528049375,29,675,-2.070158,20027,12.410614967346191,123.15632629394531,1258.0
0.0008633269462734461,20,25160,-109.48310089111328,0.0008459126528049375,27,5,-1.8566078500000003,25059,15.696603775024414,-9.54435920715332,1258.0
0.0007808805094100535,24,30192,-100.48805236816406,0.0008459126528049375,26,192,-1.72994225,30091,28.326873779296875,19.37936019897461,1258.0
0.0010947504779323936,28,35224,-73.6271743774414,0.0008459126528049375,28,353,-1.6159096428571427,35123,8.029162406921387,-13.771061897277832,1258.0
0.0008967998437583447,32,40256,-69.03269958496094,0.0008459126528049375,30,505,-1.5327090625,40155,5.094425678253174,27.186466217041016,1258.0
0.0003593167057260871,36,45288,-66.0057601928711,0.0008459126528049375,29,681,-1.4816403055555556,45187,4.364099502563477,47.41703414916992,1258.0
0.0008258221787400544,40,50320,-63.25657272338867,0.0008459126528049375,27,11,-1.4310144249999999,50219,4.588413715362549,-19.965295791625977,1258.0
0.0007616491056978703,44,55352,-58.84791564941406,0.0008459126528049375,26,198,-1.3870426818181818,55251,3.298988103866577,17.300111770629883,1258.0
0.0006921111489646137,48,60384,-51.77577209472656,0.0008459126528049375,29,356,-1.3828692083333334,60283,6.965002059936523,-62.898773193359375,1258.0
0.0005271994159556925,52,65416,-45.900230407714844,0.0008459126528049375,30,508,-1.368403019230769,65315,6.297389507293701,25.603796005249023,1258.0
0.001924804993905127,56,70448,-24.335098266601562,0.0008459126528049375,30,660,-1.368405267857143,70347,19.110488891601562,-52.31209945678711,1258.0
0.0014084288850426674,60,75480,-12.036904335021973,0.0008459126528049375,35,13,-1.3544347499999998,75379,14.741235733032227,29.299070358276367,1258.0
0.000650918111205101,64,80512,-10.923379898071289,0.0008459126528049375,33,162,-1.339333671875,80411,8.143373489379883,-57.31267547607422,1258.0
0.0006378760444931686,68,85544,3.1080245971679688,0.0008459126528049375,33,313,-1.3087885147058822,85443,11.76904582977295,35.99751663208008,1258.0
0.0013128076680004597,72,90576,7.989415168762207,0.0008459126528049375,33,465,-1.3030468888888889,90475,12.729696273803711,-61.56092071533203,1258.0
0.001235691481269896,76,95608,30.698471069335938,0.0008459126528049375,33,615,-1.294027,95507,13.964702606201172,-76.23336791992188,1258.0
