train/ent_coef,time/episodes,time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean
0.017205417156219482,4,5032,-121.52096557617188,0.0008459126528049375,33,151,-4.149926499999999,4931,1.4255867004394531,-182.3932647705078,1258.0
0.0010363466572016478,8,10064,-129.1450958251953,0.0008459126528049375,30,334,-3.1813801249999996,9963,4.775056838989258,-24.509395599365234,1258.0
0.0012811325723305345,12,15096,-122.5812759399414,0.0008459126528049375,29,518,-2.5798065,14995,8.971511840820312,-18.632041931152344,1258.0
0.0010126761626452208,16,20128,-112.75846862792969,0.0008459126528049375,29,685,-2.3077093750000004,20027,7.712501525878906,-17.444068908691406,1258.0
0.0010940246284008026,20,25160,-103.68304443359375,0.0008459126528049375,34,4,-2.07641925,25059,2.542038917541504,-64.9602279663086,1258.0
0.0005364255048334599,24,30192,-102.08164978027344,0.0008459126528049375,33,153,-1.9401010833333334,30091,14.872198104858398,54.909881591796875,1258.0
0.0013535624602809548,28,35224,-84.12557220458984,0.0008459126528049375,33,303,-1.8277816785714287,35123,5.926927089691162,-23.71230697631836,1258.0
0.0005060096154920757,32,40256,-81.80482482910156,0.0008459126528049375,33,452,-1.7526318437500001,40155,3.197683334350586,133.40576171875,1258.0
0.0005316995084285736,36,45288,-71.10042572021484,0.0008459126528049375,33,601,-1.6736702777777779,45187,13.073259353637695,-95.02304077148438,1258.0
0.0010420710314065218,40,50320,-65.99361419677734,0.0008459126528049375,33,9,-1.6098940750000001,50219,5.372706413269043,75.71398162841797,1258.0
0.0008186183986254036,44,55352,-60.37825012207031,0.0008459126528049375,32,166,-1.5775678863636364,55251,45.694454193115234,-21.060434341430664,1258.0
0.0011211516102775931,48,60384,-55.90276336669922,0.0008459126528049375,29,348,-1.538726354166667,60283,27.60642433166504,81.9151840209961,1258.0
0.0008608231437392533,52,65416,-48.79509735107422,0.0008459126528049375,30,513,-1.5047520961538463,65315,9.729095458984375,24.889928817749023,1258.0
0.0007579142111353576,56,70448,-50.538997650146484,0.0008459126528049375,30,679,-1.4815081785714288,70347,13.773128509521484,-23.29993438720703,1258.0
0.0005099053378216922,60,75480,-47.19205856323242,0.0008459126528049375,26,18,-1.4560906833333334,75379,8.858182907104492,-18.713375091552734,1258.0
0.0002507907338440418,64,80512,-35.96305847167969,0.0008459126528049375,25,212,-1.4398770781250003,80411,3.4064478874206543,-32.23347091674805,1258.0
0.0004665799788199365,68,85544,-29.040674209594727,0.0008459126528049375,25,406,-1.4097476176470591,85443,10.598555564880371,9.389020919799805,1258.0
0.0005269850371405482,72,90576,-23.167285919189453,0.0008459126528049375,25,601,-1.3927192083333335,90475,4.227947235107422,-8.661927223205566,1258.0
0.0006916928105056286,76,95608,-9.162308692932129,0.0008459126528049375,26,791,-1.3655851973684212,95507,5.293215751647949,-6.934479713439941,1258.0
