train/ent_coef,time/episodes,time/total_timesteps,train/actor_loss,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean
0.017444858327507973,4,5032,-123.31484985351562,0.0008459126528049375,32,155,-4.33714775,4931,2.0202009677886963,-171.10140991210938,1258.0
0.0012517600553110242,8,10064,-129.28994750976562,0.0008459126528049375,31,316,-3.35091,9963,6.583245277404785,41.242061614990234,1258.0
0.0006793328793719411,12,15096,-132.27894592285156,0.0008459126528049375,31,476,-2.6878709166666663,14995,4.3153605461120605,-29.966468811035156,1258.0
0.001203298568725586,16,20128,-137.11268615722656,0.0008459126528049375,31,642,-2.3789214375,20027,4.774600028991699,34.269752502441406,1258.0
0.0011111480416730046,20,25160,-129.76345825195312,0.0008459126528049375,25,6,-2.14256915,25059,27.126522064208984,62.11506652832031,1258.0
0.00190704595297575,24,30192,-112.84310150146484,0.0008459126528049375,25,203,-1.9744953333333333,30091,14.912576675415039,50.56708526611328,1258.0
0.0011748475953936577,28,35224,-93.86402893066406,0.0008459126528049375,28,362,-1.878166607142857,35123,3.6161980628967285,18.984758377075195,1258.0
0.00041247933404520154,32,40256,-91.16848754882812,0.0008459126528049375,29,520,-1.8200994375,40155,7.480386257171631,40.596221923828125,1258.0
0.0002485694130882621,36,45288,-87.07881927490234,0.0008459126528049375,29,678,-1.7580086944444442,45187,4.977132797241211,19.082157135009766,1258.0
0.00048255507135763764,40,50320,-80.76522827148438,0.0008459126528049375,31,10,-1.689857725,50219,4.624946594238281,99.3083267211914,1258.0
0.0012199472403153777,44,55352,-71.86235809326172,0.0008459126528049375,27,197,-1.6391015681818182,55251,5.25835657119751,-11.709739685058594,1258.0
0.0006265477277338505,48,60384,-66.30802917480469,0.0008459126528049375,26,394,-1.6062487916666666,60283,7.297793865203857,-31.026630401611328,1258.0
0.000783177965786308,52,65416,-64.49961853027344,0.0008459126528049375,26,592,-1.5852662884615383,65315,6.950675010681152,-9.031268119812012,1258.0
0.0008463538251817226,56,70448,-57.090213775634766,0.0008459126528049375,25,789,-1.5556874642857144,70347,5.078742980957031,-62.223907470703125,1258.0
0.0009208710980601609,60,75480,-52.38369369506836,0.0008459126528049375,24,19,-1.5260454166666666,75379,7.2271881103515625,-7.6703081130981445,1258.0
0.0007800371968187392,64,80512,-49.824588775634766,0.0008459126528049375,28,192,-1.5026731718750002,80411,13.9921875,20.14029312133789,1258.0
0.0011172430822625756,68,85544,-40.057861328125,0.0008459126528049375,28,365,-1.4725638970588237,85443,17.538373947143555,-23.972002029418945,1258.0
0.0007191476179286838,72,90576,-24.0602970123291,0.0008459126528049375,28,539,-1.444423263888889,90475,9.368534088134766,-29.10422134399414,1258.0
0.0008597955456934869,76,95608,-14.653059959411621,0.0008459126528049375,28,715,-1.4250862499999999,95507,29.27998924255371,43.27054214477539,1258.0
