time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
4237,0,1,512,,,,,,,,,,,,,
2537,0,2,1024,0.2,-0.024064934463240206,16,1.0002820491790771,-1.2205586433410645,0.012242563,-43.99084997177124,0.0872304696986248,-0.03313663974404335,0.0004092704424510632,0.20556640625,,
2242,0,3,1536,0.2,-0.03047829060233198,32,1.0003150701522827,-0.04534757137298584,0.020592343,-43.99735474586487,0.0034794848324963823,-0.041428640484809875,0.0004092704424510632,0.2786865234375,-2.57887,1258.0
2114,0,4,2048,0.2,-0.03128041222225875,48,0.9980675578117371,-0.0038591623306274414,0.02711581,-43.96316134929657,0.06929232692345977,-0.005023282021284103,0.0004092704424510632,0.348388671875,-2.57887,1258.0
2048,1,5,2560,0.2,-0.02468609021161683,64,0.995466411113739,-0.0024614334106445312,0.015106719,-43.88724195957184,0.0038750121602788568,-0.03540925309062004,0.0004092704424510632,0.2265625,-2.737228,1258.0
2003,1,6,3072,0.2,-0.022348380647599697,80,0.9950341582298279,0.000467836856842041,0.017993711,-43.8313010931015,0.08957743016071618,0.01548268273472786,0.0004092704424510632,0.2371826171875,-2.737228,1258.0
1975,1,7,3584,0.2,-0.025479321571765468,96,0.9935509562492371,0.03901839256286621,0.013344834,-43.812955141067505,0.0015837359878787538,-0.02444724552333355,0.0004092704424510632,0.206787109375,-2.737228,1258.0
1956,2,8,4096,0.2,-0.026747443102067336,112,0.9946698546409607,0.0020792484283447266,0.021580838,-43.79032242298126,0.007908030762337148,-0.03822534531354904,0.0004092704424510632,0.28662109375,-2.687312,1258.0
1938,2,9,4608,0.2,-0.024022938741836697,128,0.9939148426055908,0.0013478398323059082,0.013456164,-43.81160533428192,0.09639075864106417,0.012251622974872589,0.0004092704424510632,0.238037109375,-2.687312,1258.0
1926,2,10,5120,0.2,-0.021477007438079454,144,0.9950148463249207,-0.0223541259765625,0.013318679,-43.796976923942566,0.003652393847005442,-0.032188329845666885,0.0004092704424510632,0.2005615234375,-2.69451325,1258.0
1912,2,11,5632,0.2,-0.0263550185773056,160,0.9943863153457642,0.008389949798583984,0.017883241,-43.82222902774811,0.11553229438140988,0.02076130360364914,0.0004092704424510632,0.267333984375,-2.69451325,1258.0
1902,3,12,6144,0.2,-0.032569419796345755,176,0.9948698282241821,0.0072768330574035645,0.018194197,-43.805301666259766,0.0015841187323530903,-0.042913634330034256,0.0004092704424510632,0.297607421875,-2.69451325,1258.0
1893,3,13,6656,0.2,-0.023817782814148813,192,0.9960167407989502,0.005937099456787109,0.022915725,-43.832332253456116,0.01157893861818593,-0.020881230011582375,0.0004092704424510632,0.236328125,-2.6904486,1258.0
1885,3,14,7168,0.2,-0.028069814754417166,208,0.9951842427253723,0.007179975509643555,0.018969985,-43.84567487239838,0.11711810110136867,0.004236936569213867,0.0004092704424510632,0.2890625,-2.6904486,1258.0
1878,4,15,7680,0.2,-0.02376766768429661,224,0.9927972555160522,-0.18695056438446045,0.014423063,-43.79111671447754,0.0035395227096159942,-0.044688887894153595,0.0004092704424510632,0.2291259765625,-2.684896333333333,1258.0
1873,4,16,8192,0.2,-0.02443795753788436,240,0.9935702681541443,0.010852336883544922,0.017053254,-43.75537168979645,0.12314768158830702,0.025978025048971176,0.0004092704424510632,0.2806396484375,-2.684896333333333,1258.0
1868,4,17,8704,0.2,-0.02290014913887717,256,0.993889570236206,-0.504440188407898,0.011960805,-43.77955222129822,0.002443502529786201,-0.038472507148981094,0.0004092704424510632,0.1910400390625,-2.684896333333333,1258.0
1864,4,18,9216,0.2,-0.023855852312408388,272,0.9944401383399963,0.053162992000579834,0.0213825,-43.789225459098816,0.011336344614392146,-0.035342611372470856,0.0004092704424510632,0.2587890625,-2.6916965714285714,1258.0
1861,5,19,9728,0.2,-0.021593899946310557,288,0.994223952293396,0.1282173991203308,0.021986637,-43.79740619659424,0.09128540055826306,-0.006950464099645615,0.0004092704424510632,0.2166748046875,-2.6916965714285714,1258.0
1858,5,20,10240,0.2,-0.02001953069702722,304,0.9953799247741699,-0.9374343156814575,0.0147049315,-43.808443546295166,0.004921046813251451,-0.0308982003480196,0.0004092704424510632,0.166259765625,-2.687403125,1258.0
1856,5,21,10752,0.2,-0.03729643498081714,320,0.9954050779342651,0.22866475582122803,0.04056588,-43.8356294631958,0.09432125277817249,-0.009668204933404922,0.0004092704424510632,0.308349609375,-2.687403125,1258.0
1854,6,22,11264,0.2,-0.026311001711292192,336,0.9938079714775085,-0.3569920063018799,0.015931284,-43.81037366390228,0.002237329688796308,-0.031362250447273254,0.0004092704424510632,0.236328125,-2.687403125,1258.0
1853,6,23,11776,0.2,-0.02815933493548073,352,0.9947039484977722,0.14446371793746948,0.017607361,-43.787877202034,0.007760065171169117,-0.040485087782144547,0.0004092704424510632,0.244873046875,-2.6861984444444444,1258.0
1852,6,24,12288,0.2,-0.023396319360472262,368,0.9945544600486755,0.36534011363983154,0.022058513,-43.81370949745178,0.0733352245297283,-0.005395302549004555,0.0004092704424510632,0.256591796875,-2.6861984444444444,1258.0
1850,6,25,12800,0.2,-0.02509872392693069,384,0.9929383993148804,-1.4179623126983643,0.016810056,-43.784621477127075,0.007900543918367475,-0.03668473660945892,0.0004092704424510632,0.238037109375,-2.7014891,1258.0
1849,7,26,13312,0.2,-0.03382553027040558,400,0.992599368095398,0.2984094023704529,0.022942472,-43.743433356285095,0.09739555581472814,-0.009204134345054626,0.0004092704424510632,0.3138427734375,-2.7014891,1258.0
1847,7,27,13824,0.2,-0.02390645010746084,416,0.9920374751091003,-1.218843698501587,0.015815813,-43.73957026004791,0.0029487975662050303,-0.028241202235221863,0.0004092704424510632,0.240966796875,-2.7014891,1258.0
1847,7,28,14336,0.2,-0.023098460136679932,432,0.9917472004890442,0.4679136276245117,0.023229137,-43.721360087394714,0.011667550163110718,-0.02728043682873249,0.0004092704424510632,0.2608642578125,-2.6932222727272728,1258.0
1844,8,29,14848,0.2,-0.024439025728497654,448,0.9916704297065735,0.3205205798149109,0.025047429,-43.721384048461914,0.03904303320450708,-0.02135397493839264,0.0004092704424510632,0.24853515625,-2.6932222727272728,1258.0
1842,8,30,15360,0.2,-0.023662992782192305,464,0.9924877285957336,-1.2351219654083252,0.012881547,-43.725828766822815,0.006874098340631463,-0.034939296543598175,0.0004092704424510632,0.20263671875,-2.6940426666666664,1258.0
1841,8,31,15872,0.2,-0.01981902847182937,480,0.9925171732902527,0.29913270473480225,0.015410051,-43.74740695953369,0.11081259476486593,0.0008209533989429474,0.0004092704424510632,0.146728515625,-2.6940426666666664,1258.0
1839,8,32,16384,0.2,-0.02747057813394349,496,0.9923578500747681,-0.26687347888946533,0.020461965,-43.73379862308502,0.004652588177123107,-0.023453887552022934,0.0004092704424510632,0.2633056640625,-2.6994449230769226,1258.0
1839,9,33,16896,0.2,-0.027412912517320365,512,0.9917725324630737,0.32893842458724976,0.028856182,-43.73254156112671,0.12168480362743139,-0.013430342078208923,0.0004092704424510632,0.193603515625,-2.6994449230769226,1258.0
1837,9,34,17408,0.2,-0.020318077120464295,528,0.9914668202400208,-0.9475842714309692,0.017236436,-43.708120822906494,0.0030608379893237725,-0.02952517569065094,0.0004092704424510632,0.2235107421875,-2.6994449230769226,1258.0
1836,9,35,17920,0.2,-0.026037919000373222,544,0.9915711283683777,-0.04004096984863281,0.01921102,-43.70967888832092,0.005602261400781572,-0.0397191159427166,0.0004092704424510632,0.257568359375,-2.687121142857143,1258.0
1836,10,36,18432,0.2,-0.018617468056618236,560,0.9914162158966064,0.19807612895965576,0.014000105,-43.70763850212097,0.17530099244322628,0.007987571880221367,0.0004092704424510632,0.126708984375,-2.687121142857143,1258.0
1834,10,37,18944,0.2,-0.022909635998075828,576,0.9939327836036682,-0.45695388317108154,0.015632804,-43.73442077636719,0.006094237745855935,-0.032949984073638916,0.0004092704424510632,0.215576171875,-2.6772958,1258.0
1833,10,38,19456,0.2,-0.01598862264654599,592,0.9943827390670776,0.46457439661026,0.014870752,-43.79396569728851,0.16200879565440118,0.033515773713588715,0.0004092704424510632,0.128173828125,-2.6772958,1258.0
1832,10,39,19968,0.2,-0.024503708715201356,608,0.9955369830131531,-1.5060405731201172,0.018927353,-43.80459189414978,0.0020609475941455457,-0.024334019050002098,0.0004092704424510632,0.244384765625,-2.6772958,1258.0
1831,11,40,20480,0.2,-0.02464278947445564,624,0.9950193762779236,0.02835613489151001,0.024600971,-43.829126596450806,0.010230127110844478,-0.028298983350396156,0.0004092704424510632,0.251220703125,-2.679764625,1258.0
1830,11,41,20992,0.2,-0.016211377806030214,640,0.9944774508476257,0.21708029508590698,0.016230674,-43.806514263153076,0.20038351858966053,0.04325249046087265,0.0004092704424510632,0.087890625,-2.679764625,1258.0
1830,11,42,21504,0.2,-0.027266754274023697,656,0.9939776659011841,-1.691225290298462,0.019614972,-43.7921576499939,0.0035288044273329433,-0.03502577915787697,0.0004092704424510632,0.2747802734375,-2.687932882352941,1258.0
1830,12,43,22016,0.2,-0.016781992540927604,672,0.9936366081237793,0.2939244508743286,0.016584892,-43.780267000198364,0.21783685102127492,0.031806088984012604,0.0004092704424510632,0.0960693359375,-2.687932882352941,1258.0
1832,12,44,22528,0.2,-0.032154054002603516,688,0.9938854575157166,-3.320492744445801,0.020692509,-43.77298140525818,0.0020522001177596394,-0.04583534598350525,0.0004092704424510632,0.28857421875,-2.687932882352941,1258.0
1832,12,45,23040,0.2,-0.02216801847680472,704,0.9958152770996094,0.044975876808166504,0.02094708,-43.806281089782715,0.009555845885188319,-0.029017213732004166,0.0004092704424510632,0.2388916015625,-2.6773732777777774,1258.0
