time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
4158,0,1,512,,,,,,,,,,,,,
2571,0,2,1024,0.2,-0.03284900027210824,16,0.9997687935829163,-2.5869717597961426,0.01816076,-43.98710775375366,0.17646008765586885,-0.03687738627195358,0.0004092704424510632,0.2745361328125,,
2299,0,3,1536,0.2,-0.030781788664171472,32,1.0014766454696655,-0.02803504467010498,0.0202808,-43.999558448791504,0.0034199032197648194,-0.02585776522755623,0.0004092704424510632,0.281982421875,-2.74195,1258.0
2202,0,4,2048,0.2,-0.02401658584130928,48,1.003998041152954,0.0008109807968139648,0.022638049,-44.065274596214294,0.014553748100297526,-0.020018339157104492,0.0004092704424510632,0.2677001953125,-2.74195,1258.0
2143,1,5,2560,0.2,-0.031104914232855663,64,1.0038602352142334,-0.010088920593261719,0.02915799,-44.11386740207672,0.0035107228613924235,-0.03496125712990761,0.0004092704424510632,0.334228515625,-2.7282725,1258.0
2115,1,6,3072,0.2,-0.022840041448944248,80,1.0028918981552124,0.0017768144607543945,0.017694715,-44.08672380447388,0.01239297102438286,-0.02973591908812523,0.0004092704424510632,0.26318359375,-2.7282725,1258.0
2090,1,7,3584,0.2,-0.028865907705039717,96,1.0012601613998413,-0.01231229305267334,0.015275587,-44.047624588012695,0.0016256787439488107,-0.045778099447488785,0.0004092704424510632,0.26025390625,-2.7282725,1258.0
2072,1,8,4096,0.2,-0.027028827491449192,112,1.0012195110321045,-0.0018404722213745117,0.01714459,-44.01284039020538,0.009640412099543028,-0.027461735531687737,0.0004092704424510632,0.295166015625,-2.7634713333333334,1258.0
2057,2,9,4608,0.2,-0.01941472088219598,128,0.9995017051696777,-0.006187796592712402,0.014721349,-43.997283816337585,0.0018688446034502704,-0.014758514240384102,0.0004092704424510632,0.2076416015625,-2.7634713333333334,1258.0
2037,2,10,5120,0.2,-0.024457965642795898,144,0.9973507523536682,-0.002970099449157715,0.015798144,-43.93042194843292,0.00317956339858938,-0.018388500437140465,0.0004092704424510632,0.2537841796875,-2.7606735000000002,1258.0
2017,2,11,5632,0.2,-0.02339521626709029,160,0.99713134765625,0.0005589127540588379,0.024576206,-43.89023578166962,0.013775117753539234,-0.029057437554001808,0.0004092704424510632,0.2540283203125,-2.7606735000000002,1258.0
2000,3,12,6144,0.2,-0.027066203154390678,176,0.9972110986709595,-0.0007741451263427734,0.016655736,-43.89466667175293,0.0019400781675358303,-0.04041226580739021,0.0004092704424510632,0.2418212890625,-2.7606735000000002,1258.0
1986,3,13,6656,0.2,-0.021770990555523895,192,0.9983633756637573,0.0013297200202941895,0.017207762,-43.90765714645386,0.00903025570733007,-0.018871603533625603,0.0004092704424510632,0.247314453125,-2.7401154,1258.0
1974,3,14,7168,0.2,-0.03247067108168267,208,0.9996320605278015,-0.0002557039260864258,0.026884988,-43.95056891441345,0.010344140144297853,-0.029123930260539055,0.0004092704424510632,0.3468017578125,-2.7401154,1258.0
1961,3,15,7680,0.2,-0.033120942855020985,224,0.9992533326148987,-0.0031991004943847656,0.025649954,-43.967607259750366,0.002221500519226538,-0.05203960835933685,0.0004092704424510632,0.292724609375,-2.709826666666667,1258.0
1951,4,16,8192,0.2,-0.026944948418531567,240,1.000581979751587,0.001802682876586914,0.027833259,-43.96861910820007,0.02860429440625012,-0.03309107571840286,0.0004092704424510632,0.2921142578125,-2.709826666666667,1258.0
1944,4,17,8704,0.2,-0.019031228148378432,256,1.0036404132843018,-0.012720108032226562,0.01616132,-44.03975200653076,0.0023730663924652617,-0.03425955772399902,0.0004092704424510632,0.2000732421875,-2.709826666666667,1258.0
1937,4,18,9216,0.2,-0.019465999532258138,272,1.0057263374328613,0.004435598850250244,0.018770661,-44.128368973731995,0.011419857939472422,-0.027455395087599754,0.0004092704424510632,0.2156982421875,-2.734202285714286,1258.0
1920,5,19,9728,0.2,-0.02605325613694731,288,1.007022738456726,0.0015666484832763672,0.013181386,-44.174304723739624,0.03671882819617167,-0.018252164125442505,0.0004092704424510632,0.1900634765625,-2.734202285714286,1258.0
1905,5,20,10240,0.2,-0.02845455298665911,304,1.0069849491119385,0.022152304649353027,0.022426957,-44.197842717170715,0.0024080133516690694,-0.04188118502497673,0.0004092704424510632,0.2664794921875,-2.738520125,1258.0
1891,5,21,10752,0.2,-0.020835455536143854,320,1.00617253780365,0.02079617977142334,0.016385872,-44.17884850502014,0.05623877083417028,0.006521718576550484,0.0004092704424510632,0.2213134765625,-2.738520125,1258.0
