time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef
5028,1.9548280239105225,-172.88856506347656,4,-124.61784362792969,4927,1257.0,73,68,-4.99753675,0.0008459126528049375,0.017345644533634186
10056,4.8521623611450195,-12.074966430664062,8,-133.21145629882812,9955,1257.0,72,137,-3.855340125,0.0008459126528049375,0.0012082449393346906
15084,9.636177062988281,25.837284088134766,12,-134.91835021972656,14983,1257.0,72,207,-3.2803702499999994,0.0008459126528049375,0.0008404180407524109
20112,3.804962635040283,89.1698226928711,16,-127.47547912597656,20011,1257.0,72,278,-3.0180358125,0.0008459126528049375,0.000638086290564388
25140,30.65143585205078,133.2189483642578,20,-101.38534545898438,25039,1257.0,71,1,-2.8445036999999997,0.0008459126528049375,0.0011561557184904814
30168,3.5522654056549072,-35.37715530395508,24,-87.39288330078125,30067,1257.0,71,72,-2.7413972083333333,0.0008459126528049375,0.0006594249280169606
35196,170.3343963623047,61.4727897644043,28,-68.78467559814453,35095,1257.0,71,142,-2.6249465357142863,0.0008459126528049375,0.001131358090788126
40224,1.7339890003204346,-30.926467895507812,32,-49.99636459350586,40123,1257.0,71,213,-2.554262875,0.0008459126528049375,0.0008501579868607223
45252,27.355022430419922,-29.55059814453125,36,-36.68360137939453,45151,1257.0,71,283,-2.501830527777778,0.0008459126528049375,0.0008067643502727151
50280,14.932039260864258,258.9739990234375,40,-30.173660278320312,50179,1257.0,71,3,-2.4738920500000003,0.0008459126528049375,0.00031021700124256313
55308,1.0134086608886719,1.83927583694458,44,-24.851295471191406,55207,1257.0,71,74,-2.4195912500000003,0.0008459126528049375,0.0003450369695201516
60336,1.533125400543213,-33.248111724853516,48,-17.71703338623047,60235,1257.0,71,145,-2.382594625,0.0008459126528049375,0.0006504738121293485
65364,0.7110670804977417,29.166702270507812,52,-16.23548126220703,65263,1257.0,71,216,-2.350503480769231,0.0008459126528049375,0.00018768622248899192
70392,2.422321081161499,193.0268096923828,56,-7.843151569366455,70291,1257.0,70,288,-2.3173494999999997,0.0008459126528049375,0.0005654168780893087
75420,0.5430010557174683,18.661386489868164,60,-2.493366241455078,75319,1257.0,66,6,-2.294897666666666,0.0008459126528049375,0.00025417323922738433
80448,0.976543128490448,108.0345458984375,64,1.0476064682006836,80347,1257.0,64,83,-2.273166078125,0.0008459126528049375,0.00027176024741493165
85476,0.6172531843185425,-11.30860424041748,68,2.317337989807129,85375,1257.0,64,162,-2.256057970588235,0.0008459126528049375,0.0005378100322559476
90504,0.7681703567504883,22.986286163330078,72,8.349787712097168,90403,1257.0,64,239,-2.228302875,0.0008459126528049375,0.0005074958899058402
95532,7.723629951477051,109.48579406738281,76,17.345945358276367,95431,1257.0,64,317,-2.190932552631579,0.0008459126528049375,0.0014909855090081692
