time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef
5028,3.3989596366882324,-172.73834228515625,4,-120.30652618408203,4927,1257.0,68,73,-5.25486525,0.0008459126528049375,0.017142940312623978
10056,19.648103713989258,5.29482364654541,8,-122.96000671386719,9955,1257.0,67,148,-4.1511595,0.0008459126528049375,0.0011906397994607687
15084,1.704709529876709,10.141695976257324,12,-125.3873519897461,14983,1257.0,67,224,-3.513749166666667,0.0008459126528049375,0.0004096620250493288
20112,10.254251480102539,163.61453247070312,16,-105.3582992553711,20011,1257.0,67,300,-3.1380874375,0.0008459126528049375,0.0014381861547008157
25140,3.891803741455078,5.505028247833252,20,-76.17650604248047,25039,1257.0,66,2,-2.9465376500000002,0.0008459126528049375,0.0008787825936451554
30168,3.0356078147888184,-64.15494537353516,24,-58.49972915649414,30067,1257.0,66,78,-2.8031525,0.0008459126528049375,0.0010995111661031842
35196,1.1404041051864624,-0.5331623554229736,28,-43.37139892578125,35095,1257.0,66,154,-2.6987269642857146,0.0008459126528049375,0.0006990497931838036
40224,0.5350291728973389,71.27063751220703,32,-40.34628677368164,40123,1257.0,66,230,-2.610039875,0.0008459126528049375,0.00031073723221197724
45252,1.0833148956298828,-66.57254028320312,36,-40.13505172729492,45151,1257.0,66,305,-2.5415390555555555,0.0008459126528049375,0.00022044785146135837
50280,0.72666335105896,6.141273498535156,40,-38.936824798583984,50179,1257.0,66,4,-2.4781400249999996,0.0008459126528049375,0.0001638779358472675
55308,0.9847482442855835,27.670358657836914,44,-32.293052673339844,55207,1257.0,67,79,-2.4340381818181815,0.0008459126528049375,0.00033365548006258905
60336,0.28328949213027954,-105.84828186035156,48,-25.084096908569336,60235,1257.0,67,154,-2.397226416666667,0.0008459126528049375,0.0003160604683216661
65364,0.1562722623348236,-11.273845672607422,52,-23.80643081665039,65263,1257.0,67,229,-2.3674380769230767,0.0008459126528049375,0.00029036024352535605
70392,0.9646715521812439,-54.037376403808594,56,-13.75766372680664,70291,1257.0,66,304,-2.3433428035714283,0.0008459126528049375,0.00043397850822657347
75420,0.9697501063346863,14.606172561645508,60,-10.727344512939453,75319,1257.0,64,6,-2.313783466666666,0.0008459126528049375,0.0006800731644034386
80448,0.40667393803596497,-48.84315872192383,64,-5.455636024475098,80347,1257.0,63,86,-2.294418640625,0.0008459126528049375,0.0004860421468038112
85476,0.8072355389595032,-39.021846771240234,68,0.7424092292785645,85375,1257.0,63,166,-2.267089911764706,0.0008459126528049375,0.0004752590903081
90504,0.8827425241470337,-0.42616212368011475,72,3.400562047958374,90403,1257.0,62,246,-2.242910597222222,0.0008459126528049375,0.00035020607174374163
95532,1.480256199836731,-31.61600685119629,76,10.339496612548828,95431,1257.0,62,327,-2.221381986842105,0.0008459126528049375,0.000611163501162082
