time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,4179,0,,,,,,,,,,,,,
2,1024,1915,0,0.18762476689880714,0.2,-0.02699275381746702,-0.01284646987915039,16,0.015378725,0.241455078125,-43.979838132858276,0.0004092704424510632,0.9994617104530334,-0.032493073493242264,,
3,1536,1634,0,0.006083074113121256,0.2,-0.02986902737757191,-0.02935028076171875,32,0.019192645,0.2752685546875,-43.97290909290314,0.0004092704424510632,0.9997379183769226,-0.025176210328936577,-3.11026,1257.0
4,2048,1525,1,0.006150923771201633,0.2,-0.020982384055969305,0.0018463134765625,48,0.015615927,0.2445068359375,-43.99462616443634,0.0004092704424510632,1.000908613204956,-0.027351802214980125,-3.11026,1257.0
5,2560,1460,1,0.006930157687747851,0.2,-0.025812740612309426,0.0008062124252319336,64,0.037628774,0.3560791015625,-44.01720380783081,0.0004092704424510632,1.0010709762573242,-0.03732419013977051,-3.0801534999999998,1257.0
6,3072,1422,2,0.005845582345500588,0.2,-0.02197153064480517,0.0020754337310791016,80,0.012319932,0.21044921875,-43.99392855167389,0.0004092704424510632,0.9992418885231018,-0.04085586592555046,-3.0801534999999998,1257.0
7,3584,1396,2,0.011980532523011789,0.2,-0.028560037360875867,0.0005602240562438965,96,0.01698455,0.2799072265625,-43.9352148771286,0.0004092704424510632,0.9979329705238342,-0.03651637211441994,-3.0801534999999998,1257.0
8,4096,1378,2,0.005374252628826071,0.2,-0.026483381909201853,-0.003628253936767578,112,0.01956366,0.2740478515625,-43.91542184352875,0.0004092704424510632,0.9979304671287537,-0.035443264991045,-2.9981416666666667,1257.0
9,4608,1365,3,0.013070694112684578,0.2,-0.03302361299574841,0.0005196928977966309,128,0.026222754,0.3758544921875,-43.90642833709717,0.0004092704424510632,0.9968004822731018,-0.036527980118989944,-2.9981416666666667,1257.0
10,5120,1355,3,0.0021485990582732484,0.2,-0.030796471604844555,0.01413273811340332,144,0.018044468,0.3104248046875,-43.867193937301636,0.0004092704424510632,0.9957416653633118,-0.0353081077337265,-3.0210507499999997,1257.0
