time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,4111,0,,,,,,,,,,,,,
2,1024,1871,0,0.23641712742391974,0.2,-0.0341863230423769,0.0222129225730896,16,0.017583337,0.2685546875,-43.99824666976929,0.0004092704424510632,1.0006886720657349,-0.0243472158908844,,
3,1536,1592,0,0.006292150559602305,0.2,-0.033599603921175,0.008354127407073975,32,0.018924667,0.2685546875,-44.00047254562378,0.0004092704424510632,1.000116229057312,-0.039052799344062805,-2.871756,1257.0
4,2048,1483,1,0.0020447915740078315,0.2,-0.023224399279570207,-0.001481175422668457,48,0.01634638,0.2073974609375,-43.97103142738342,0.0004092704424510632,0.998970091342926,-0.03904997929930687,-2.871756,1257.0
5,2560,1412,1,0.0074550838326103985,0.2,-0.029710089962463826,0.0029235482215881348,64,0.029428817,0.35693359375,-43.94321155548096,0.0004092704424510632,0.9984665513038635,-0.03327403590083122,-2.9783825,1257.0
6,3072,1368,2,0.007963782292790711,0.2,-0.02562497642065864,-0.0005173683166503906,80,0.016301395,0.245361328125,-43.92817139625549,0.0004092704424510632,0.9978816509246826,-0.016026755794882774,-2.9783825,1257.0
7,3584,1347,2,0.011623356200288981,0.2,-0.03283873954205774,0.005156099796295166,96,0.028611558,0.3477783203125,-43.923807859420776,0.0004092704424510632,0.9986972212791443,-0.04182572662830353,-2.9783825,1257.0
8,4096,1332,3,0.0055628492118557915,0.2,-0.030931327026337385,0.00327455997467041,112,0.022430776,0.30224609375,-43.963696241378784,0.0004092704424510632,1.0002985000610352,-0.039634641259908676,-2.9844636666666666,1257.0
9,4608,1319,3,0.027345189882908016,0.2,-0.029441338730975986,0.0016176104545593262,128,0.020531427,0.2862548828125,-43.997650384902954,0.0004092704424510632,1.0006589889526367,-0.024066969752311707,-2.9844636666666666,1257.0
10,5120,1310,3,0.002905090670537902,0.2,-0.023560682748211548,0.0025166869163513184,144,0.015208288,0.2344970703125,-43.987812757492065,0.0004092704424510632,0.9994968771934509,-0.03707340732216835,-3.02576725,1257.0
11,5632,1302,4,0.02292808028869331,0.2,-0.03568086476298049,-0.0003981590270996094,160,0.024077006,0.3360595703125,-43.97471213340759,0.0004092704424510632,1.0006197690963745,-0.017788514494895935,-3.02576725,1257.0
12,6144,1295,4,0.009802098065847531,0.2,-0.026708642370067537,0.005990505218505859,176,0.030051108,0.2857666015625,-44.003620982170105,0.0004092704424510632,1.0005590915679932,-0.03157757967710495,-3.02576725,1257.0
13,6656,1289,5,0.00482757714780746,0.2,-0.03549591190676438,0.004262745380401611,192,0.020452922,0.3006591796875,-43.99898707866669,0.0004092704424510632,1.001079797744751,-0.05188237875699997,-3.0013668,1257.0
14,7168,1283,5,0.05762171919923276,0.2,-0.02558605684316717,0.0015667080879211426,208,0.02430402,0.275390625,-44.007222294807434,0.0004092704424510632,1.0004606246948242,-0.0027909576892852783,-3.0013668,1257.0
15,7680,1279,6,0.005277738186123315,0.2,-0.02175494124821853,-0.00366365909576416,224,0.013239261,0.17724609375,-43.96689462661743,0.0004092704424510632,0.9989946484565735,-0.03113607130944729,-3.013783,1257.0
16,8192,1275,6,0.05842777935322374,0.2,-0.028569495858391747,0.0009386539459228516,240,0.019339085,0.248779296875,-43.9313040971756,0.0004092704424510632,0.9981674551963806,-0.0012224353849887848,-3.013783,1257.0
17,8704,1272,6,0.011283725529210642,0.2,-0.024364849494304508,0.009864747524261475,256,0.018961767,0.244873046875,-43.92819321155548,0.0004092704424510632,0.9993591904640198,-0.037263933569192886,-3.013783,1257.0
18,9216,1268,7,0.007263675564900041,0.2,-0.025345446192659438,0.004129767417907715,272,0.01450908,0.22314453125,-43.949020981788635,0.0004092704424510632,0.9990696310997009,-0.04571777582168579,-3.00028,1257.0
19,9728,1265,7,0.09857587586157024,0.2,-0.0261560926301172,0.0029694437980651855,288,0.026072845,0.260498046875,-43.941126585006714,0.0004092704424510632,0.9991762042045593,0.0140528604388237,-3.00028,1257.0
20,10240,1263,8,0.004397085875098128,0.2,-0.02551188260258641,-0.08061599731445312,304,0.019722464,0.2528076171875,-43.93136417865753,0.0004092704424510632,0.9977751970291138,-0.04393768310546875,-3.018409375,1257.0
21,10752,1261,8,0.08741522021591663,0.2,-0.023555720821605064,0.012308776378631592,320,0.017760994,0.247802734375,-43.88208830356598,0.0004092704424510632,0.9972328543663025,0.009304620325565338,-3.018409375,1257.0
22,11264,1260,8,0.016557726077735424,0.2,-0.026220674975775182,0.02389580011367798,336,0.02872264,0.28125,-43.880849719047546,0.0004092704424510632,0.997199296951294,-0.02583710476756096,-3.018409375,1257.0
