time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/std,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,4098,0,,,,,,,,,,,,,
2,1024,1879,0,0.13393176870886236,0.2,-0.03623484747367911,-0.019500255584716797,16,0.018618999,0.300537109375,-43.9911550283432,0.0004092704424510632,1.0004477500915527,-0.041826967149972916,,
3,1536,1613,0,0.0054497375240316615,0.2,-0.03236129123251885,0.0034949779510498047,32,0.02058198,0.27490234375,-44.019410133361816,0.0004092704424510632,1.0019210577011108,-0.04412675276398659,-3.080828,1257.0
4,2048,1498,1,0.005025114529416896,0.2,-0.030538354214513674,-0.011673212051391602,48,0.021169063,0.30029296875,-44.053820848464966,0.0004092704424510632,1.0023404359817505,-0.026393376290798187,-3.080828,1257.0
5,2560,1428,1,0.005860920304257888,0.2,-0.026091700157849118,0.019212424755096436,64,0.029206442,0.3670654296875,-44.051442980766296,0.0004092704424510632,1.0022969245910645,-0.02650284394621849,-3.0295775000000003,1257.0
6,3072,1379,2,0.012443575833458453,0.2,-0.027941280146478675,-0.0008636713027954102,80,0.019473698,0.2943115234375,-44.04618775844574,0.0004092704424510632,1.0014779567718506,-0.032042622566223145,-3.0295775000000003,1257.0
7,3584,1357,2,0.012729483045404777,0.2,-0.02780984564742539,0.008363902568817139,96,0.021870367,0.3126220703125,-44.017662525177,0.0004092704424510632,1.0011481046676636,-0.034065742045640945,-3.0295775000000003,1257.0
8,4096,1343,3,0.004724311460449826,0.2,-0.026610099244862795,-0.0014814138412475586,112,0.019057166,0.2552490234375,-44.02653408050537,0.0004092704424510632,1.0021512508392334,-0.03017152100801468,-3.001367333333333,1257.0
9,4608,1328,3,0.038756987545639277,0.2,-0.02841373032424599,0.0023447275161743164,128,0.016236274,0.2723388671875,-44.047221422195435,0.0004092704424510632,1.0018759965896606,-0.019517898559570312,-3.001367333333333,1257.0
10,5120,1318,3,0.002319102124602068,0.2,-0.026690670289099216,0.008183121681213379,144,0.017008165,0.23779296875,-44.029704332351685,0.0004092704424510632,1.001731514930725,-0.02237202413380146,-3.0291365,1257.0
