train/n_updates,train/actor_loss,train/ent_coef,time/fps,train/critic_loss,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss
4791,-122.54579162597656,0.019387025386095047,20,0.9829926490783691,233,4,-4.55870775,4892,0.0008459126528049375,1223.0,-158.87545776367188
9683,-128.9285888671875,0.0012364854337647557,20,20.005525588989258,468,8,-3.61222725,9784,0.0008459126528049375,1223.0,28.191661834716797
