time/fps,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/actor_loss
11,4931,0.017244447022676468,0.7110599279403687,1258.0,5032,4,425,-4.88705725,0.0008459126528049375,-172.40626525878906,-120.5392837524414
11,9963,0.001050107297487557,3.259817361831665,1258.0,10064,8,865,-3.94015725,0.0008459126528049375,-30.670278549194336,-126.9600830078125
11,14995,0.0009040714940056205,3.356109619140625,1258.0,15096,12,1309,-3.2936336666666666,0.0008459126528049375,37.211585998535156,-130.8351287841797
11,20027,0.0006055610720068216,12.844449996948242,1258.0,20128,16,1753,-2.9239640000000002,0.0008459126528049375,39.78718185424805,-132.0875701904297
11,25059,0.0008742653299123049,3.1192760467529297,1258.0,25160,20,13,-2.7075050000000003,0.0008459126528049375,-58.075157165527344,-135.0587615966797
11,30091,0.0011848409194499254,5.428878307342529,1258.0,30192,24,460,-2.549972375,0.0008459126528049375,23.6624755859375,-138.2478790283203
11,35123,0.001236979616805911,4.086256504058838,1258.0,35224,28,916,-2.451235107142857,0.0008459126528049375,20.462385177612305,-138.64805603027344
11,40155,0.0004291424120310694,3.3068926334381104,1258.0,40256,32,1368,-2.398606625,0.0008459126528049375,-24.14281463623047,-138.46908569335938
11,45187,0.0008677960140630603,3.993570327758789,1258.0,45288,36,1803,-2.336728805555556,0.0008459126528049375,-0.3970812261104584,-138.88894653320312
11,50219,0.0010297930566594005,3.9191651344299316,1258.0,50320,40,27,-2.29482305,0.0008459126528049375,-33.186248779296875,-121.68753051757812
11,55251,0.0015253849560394883,3.9061903953552246,1258.0,55352,44,463,-2.249799181818182,0.0008459126528049375,-7.339184284210205,-121.22407531738281
11,60283,0.0006495774141512811,82.79155731201172,1258.0,60384,48,904,-2.2165580416666666,0.0008459126528049375,-27.07927703857422,-104.10482788085938
11,65315,0.0013817546423524618,2.9659037590026855,1258.0,65416,52,1347,-2.1799400961538464,0.0008459126528049375,-19.02400779724121,-108.93363952636719
11,70347,0.0014937487430870533,19.193618774414062,1258.0,70448,56,1791,-2.147592125,0.0008459126528049375,44.74961471557617,-108.26588439941406
