time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef_loss
5032,1258.0,-119.35923767089844,0.0008459126528049375,0.017047924920916557,-4.45473625,4,33,4931,152,3.383610248565674,-165.3763885498047
10064,1258.0,-123.73377990722656,0.0008459126528049375,0.0011463328264653683,-3.402147375,8,30,9963,335,4.98863410949707,8.529393196105957
15096,1258.0,-118.52210998535156,0.0008459126528049375,0.0010216616792604327,-2.819769583333334,12,29,14995,517,3.177764892578125,126.59117126464844
20128,1258.0,-116.17438507080078,0.0008459126528049375,0.0004704665916506201,-2.4847864375000004,16,28,20027,700,3.295091152191162,105.55596923828125
25160,1258.0,-94.41506958007812,0.0008459126528049375,0.0016168897273018956,-2.2613780500000003,20,27,25059,5,6.115204811096191,-28.208091735839844
30192,1258.0,-83.0059585571289,0.0008459126528049375,0.0007178515079431236,-2.1586625833333333,24,26,30091,193,7.436638832092285,-39.298248291015625
35224,1258.0,-80.54240417480469,0.0008459126528049375,0.0005961306160315871,-2.113791714285714,28,27,35123,368,8.013432502746582,272.3934020996094
40256,1258.0,-55.238670349121094,0.0008459126528049375,0.000765907287131995,-2.03107796875,32,29,40155,519,9.223677635192871,-40.77421569824219
45288,1258.0,-48.265403747558594,0.0008459126528049375,0.0008909370517358184,-1.9755429166666667,36,30,45187,671,4.407546043395996,-100.30587005615234
50320,1258.0,-40.1871337890625,0.0008459126528049375,0.0004756318230647594,-1.9372561750000004,40,26,50219,11,1.8480198383331299,-50.75851058959961
55352,1258.0,-28.882919311523438,0.0008459126528049375,0.0013462149072438478,-1.8786820681818184,44,28,55251,187,11.979757308959961,-50.2265739440918
60384,1258.0,-22.14152717590332,0.0008459126528049375,0.000653970695566386,-1.8349845625,48,30,60283,341,5.048271179199219,50.16621780395508
65416,1258.0,-15.829465866088867,0.0008459126528049375,0.00028509143157862127,-1.7877732307692307,52,29,65315,528,6.765761375427246,-0.8654587268829346
70448,1258.0,-16.907573699951172,0.0008459126528049375,0.0006133054266683757,-1.7478779285714285,56,28,70347,716,1.5806138515472412,15.250171661376953
75480,1258.0,-11.035161018371582,0.0008459126528049375,0.0004337149439379573,-1.72225605,60,26,75379,18,1.7651643753051758,1.5345381498336792
80512,1258.0,-9.716203689575195,0.0008459126528049375,0.0004964655381627381,-1.6952386874999998,64,25,80411,215,7.189818382263184,67.88684844970703
85544,1258.0,-2.551480293273926,0.0008459126528049375,0.0006222635274752975,-1.6733972941176471,68,26,85443,394,1.5275874137878418,25.514453887939453
90576,1258.0,3.011472702026367,0.0008459126528049375,0.0007787932991050184,-1.6516301944444445,72,27,90475,565,1.93526029586792,-60.39836120605469
