time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/std,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
4084,1,512,0,,,,,,,,,,,,,
1886,2,1024,0,0.02110662,1.0003159046173096,-43.994099140167236,-0.039497386664152145,-0.2655360698699951,16,0.2,0.2979736328125,0.15058728014264489,-0.03661874099634588,0.0004092704424510632,,
1610,3,1536,0,0.018853351,0.9989802241325378,-43.980939865112305,-0.03479781374335289,0.01673293113708496,32,0.2,0.2554931640625,0.0023698181539657526,-0.0267833477264503,0.0004092704424510632,1223.0,-2.304261
1504,4,2048,1,0.023968613,0.9964607357978821,-43.91351926326752,-0.02183566242456436,0.000298917293548584,48,0.2,0.307373046875,0.021027628739830106,-0.030536569887772202,0.0004092704424510632,1223.0,-2.304261
1446,5,2560,1,0.020878054,0.9956263899803162,-43.85897445678711,-0.033190611749887466,0.013593614101409912,64,0.2,0.256103515625,0.0017613732343306765,-0.02644021378364414,0.0004092704424510632,1223.0,-2.3273824999999997
1410,6,3072,2,0.020722423,0.9953057169914246,-43.84033966064453,-0.02356455847620964,0.0027456283569335938,80,0.2,0.3004150390625,0.025691149232443422,-0.027425705673522316,0.0004092704424510632,1223.0,-2.3273824999999997
1379,7,3584,2,0.01589251,0.9951156377792358,-43.83379566669464,-0.038127828389406204,0.025803804397583008,96,0.2,0.27099609375,0.0021681862308469135,-0.027754415401432198,0.0004092704424510632,1223.0,-2.3273824999999997
1356,8,4096,3,0.017077183,0.9954071044921875,-43.83363485336304,-0.03160594776272774,0.012104153633117676,112,0.2,0.24951171875,0.002827182830515085,-0.02701705665094778,0.0004092704424510632,1223.0,-2.330796
1344,9,4608,3,0.019810025,0.9934964776039124,-43.81632161140442,-0.022487100213766098,0.003262460231781006,128,0.2,0.2896728515625,0.04467168403789401,-0.02842583111487329,0.0004092704424510632,1223.0,-2.330796
1334,10,5120,3,0.020725917,0.9940649271011353,-43.78041636943817,-0.03598673269152641,0.05319476127624512,144,0.2,0.267822265625,0.001539030607091263,-0.02665331633761525,0.0004092704424510632,1223.0,-2.3320074999999996
1323,11,5632,4,0.017341364,0.9921834468841553,-43.774734139442444,-0.017407014966011047,0.00635296106338501,160,0.2,0.227294921875,0.048676939331926405,-0.02376254250702914,0.0004092704424510632,1223.0,-2.3320074999999996
1315,12,6144,4,0.018212222,0.9916278123855591,-43.72773230075836,-0.036940108984708786,0.06166279315948486,176,0.2,0.1959228515625,0.0009796371168704354,-0.022425109666073695,0.0004092704424510632,1223.0,-2.3335257999999994
1309,13,6656,5,0.02047636,0.9910872578620911,-43.70851957798004,-0.022805966436862946,0.030630946159362793,192,0.2,0.2545166015625,0.048475367366336286,-0.02716581232380122,0.0004092704424510632,1223.0,-2.3335257999999994
